Codigo,BioVol_500,PeH_500,PeS_500,PeAFW_500,BioVol_300,PeH_300,PeS_300,PeAFW_300,Act.sp,Act.sen,Ale.sp,Ast.fla,Ast.sp,Aul.kit,Aul.arch,Bac.pax,Bac.del,Bac.fur,Bac.hya,Cer.bic,Cer.den,Cer.pel,Cer.horr,Cha.lac,Cha.aff,Cha.bre,Cha.com,Cha.cur,Cha.dan,Cha.deb,Cha.den,Cha.div,Cha.lor,Cha.par,Cha.per,Cha.pro,Cha.pse,Cha.rad,Cha.sp,Cha.coa,Cha.sub,Cli.fra,Cos.jon,Cos.sp,Cos.ast,Cos.cen,Cos.gig,Cos.gra,Cos.mar,Cos.per,Cos.rad,Cos.sp1,Cos.sp2,Cos.sp3,Cos.wai,Cyc.str,Din.cau,Dip.gru,Dit.bri,Ento.sp,Euc.zod,Gon.sp,Gon.pol,Gui.del,Gui.fla,Gui.str,Gyr.spi,Gyr.spi,Hem.mem,Hem.sin,Hob.lon,Lep.dan,Lio.elo,Lio.pac,Lit.und,Lyr.sp,Mel.sp,Meu.mem,Nav.sp,Neo.rob,Neo.pela,Nit.sp,Nit.clos,Nit.sform,Nit.smoi,Odo.aur,Odo.sp,Orn.thu,Orn.sp,Orn.ste,Pha.sp,Pha.mit,Pha.sp1,Pha.sp2,Pha.rap,Pla.sp,Plan.mur,Pod.bip,Pro.ala,Pro.cor,Pro.lim,Pro.mex,Pro.rha,Pro.sp,Pro.com,Pro.sp1,Pro.sp2,Pro.sp3,Pro.sp4,Pro.sp5,Pro.pyf,Pro.pyrum,Pro.sp6,Pro.sp7,Pro.sp8,Pro.sp9,Pse.sp,Pse.cal,Py.sp,Py.bah,Pyrph.sp,Rhi.ber,Rhi.hab,Rhi.imb,Rhi.set,Scri.sp,Ske.tro,Ske.cos,Ske.pse,Ste.sp,Ste.tu,Stre.tam,Surr.sp,Syn.sp,Thal.nips,Thal.sp,Thal.fra,Thalasi.sp,Trie.chi,Trie.mob,Trip.kar,Trip.ari,Trip.bre,Trip.vul,Trip.dec,Trip.fus,Trip.mac,Trip.mas,Trip.mue,Trip.pen,Tripo.sp,Trip.ter,Trip.can,Trip.eug,Trip.ext,Trip.lun,Trip.tri
A01A,58.77,67.58,4.79,3.98,123.06,75.95,5.43,4.75,0,0,0,0,0,0,0,0,0,50,0,0,0,75,0,0,50,0,0,225,150,125,0,125,175,0,25,0,0,0,0,0,0,0,25,0,0,0,100,200,0,50,25,0,175,0,25,0,50,0,75,0,0,25,25,0,50,0,0,0,25,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,125,0,0,0,0,25,0,275,0,0,0,125,0,0,0,0,0,0,0,0,25,1225,3400,0,0,0,0,0,0,150,0,0,0,175,0,0,25,0,0,0,25,0,50,350,0,0,0,0,150,0,0,0
A01B,151.16,100.31,7.67,6.46,1016.19,796.97,53.17,47.28,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,125,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,75,0,0,0,250,0,0,0,0,0,0,75,0,0,25,50,0,0,0,0,0,0,0,25,0,100,0,0,0,0,0,0,0,0
A02A,236.90,188.06,12.84,6.16,440.31,365.44,25.81,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,75,0,0,0,100,25,0,0,0,0,0,0,75,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,300,0,0,0,0,0,0,0,0,100,0,75,0,0,0,0,0,0,0,0,75,75,0,0,0,0,25,0,25,0
A02B,69.93,73.65,4.78,4.28,783.95,919.16,54.74,49.41,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,175,0,0,0,0,250,0,0,0,0,0,0,0,0,0,125,0,0,0,125,375,0,50,0,0,0,0,0,0,300,0,100,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,25,0,0,0,50,0,0,0,150,0,0,0,50,0,0,75,0,0,975,3975,0,0,0,0,0,0,50,0,0,0,400,75,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
A03A,243.75,204.48,16.82,14.75,75.43,77.41,7.05,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,25,175,0,50,75,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0
A03B,33.75,29.31,3.90,3.05,760.97,626.23,52.53,39.48,0,50,0,0,0,0,0,275,0,0,0,0,0,25,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,50,0,300,0,0,0,0,75,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1925,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,175,875,0,0,0,75,0,0,50,100,125,0,125,150,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
A04A,416.53,201.17,17.35,13.14,759.59,563.70,41.53,36.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,50,75,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04B,86.47,51.05,4.34,3.73,121.49,18.94,2.34,1.93,0,25,0,0,0,0,0,0,0,0,100,0,0,0,0,0,300,0,0,0,0,0,0,0,100,0,75,0,0,0,350,0,0,0,400,0,50,0,0,100,0,125,0,0,0,0,0,0,150,0,100,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,200,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,100,75,300,50,500,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
A05A,366.52,222.69,43.94,40.23,337.76,230.31,21.49,19.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,550,0,0,0,100,0,0,25,0,0,50,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,25,0,0,0,0,25,0,0,0,50,50,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
A05B,66.50,27.10,2.36,1.20,1256.07,753.35,38.35,14.63,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,150,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1925,50,0,0,0,175,0,25,100,125,175,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,125,25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,925,0,0,0,25,0,0,0,25,100,100,150,150,0,0,0,0,0,0,0,25,0,0,0,0,0,50,0,0,0
