codigo,hora,fecha,altura,fecha_Hora,
1,S06B,10:33:00,29/04/2021,0.502,29/04/2021 10:33
2,S05B,11:18:00,29/04/2021,0.407,29/04/2021 11:18
3,S06A,16:23:00,29/04/2021,3.863,29/04/2021 16:23
4,S05A,17:09:00,29/04/2021,4.101,29/04/2021 17:09
5,S04A,6:38:00,30/04/2021,3.826,30/04/2021 6:38
6,S03A,7:05:00,30/04/2021,3.645,30/04/2021 7:05
7,S04B,11:59:00,30/04/2021,0.509,30/04/2021 11:59
8,S03B,12:40:00,30/04/2021,0.593,30/04/2021 12:40
9,G06A,6:42:00,01/05/2021,3.793,01/05/2021 6:42
10,G05A,7:09:00,01/05/2021,3.773,01/05/2021 7:09
11,G04A,7:55:12,01/05/2021,3.548,01/05/2021 7:55
12,G06B,12:54:00,01/05/2021,0.681,01/05/2021 12:54
13,G05B,13:28:00,01/05/2021,0.738,01/05/2021 13:28
14,G04B,13:55:00,01/05/2021,0.87,01/05/2021 13:55
15,G03A,7:38:00,02/05/2021,3.613,02/05/2021 7:38
16,G02A,8:01:00,02/05/2021,3.601,02/05/2021 8:01
17,G01A,8:28:00,02/05/2021,3.518,02/05/2021 8:28
18,G03B,13:46:00,02/05/2021,0.89,02/05/2021 13:46
19,G02B,14:20:00,02/05/2021,0.924,02/05/2021 14:20
20,G01B,14:43:00,02/05/2021,1.007,02/05/2021 14:43
21,A06A,8:20:00,03/05/2021,3.406,03/05/2021 8:20
22,A05A,8:43:00,03/05/2021,3.432,03/05/2021 8:43
23,A04A,9:07:00,03/05/2021,3.41,03/05/2021 9:07
24,A03A,9:29:00,03/05/2021,3.346,03/05/2021 9:29
25,A06B,14:19:00,03/05/2021,1.136,03/05/2021 14:19
26,A05B,14:49:00,03/05/2021,1.086,03/05/2021 14:49
27,A04B,15:17:00,03/05/2021,1.193,03/05/2021 15:17
28,A03B,15:46:00,03/05/2021,1.189,03/05/2021 15:46
29,S02A,9:33:00,04/05/2021,3.284,04/05/2021 9:33
30,S01A,9:58:00,04/05/2021,3.292,04/05/2021 9:58
31,A02A,10:39:00,04/05/2021,3.205,04/05/2021 10:39
32,A01A,11:00:00,04/05/2021,3.114,04/05/2021 11:00
33,S02B,15:40:00,04/05/2021,1.243,04/05/2021 15:40
34,S01B,16:04:00,04/05/2021,1.225,04/05/2021 16:04
35,A02B,16:35:00,04/05/2021,1.26,04/05/2021 16:35
36,A01B,16:54:00,04/05/2021,1.313,04/05/2021 16:54
