"combinada","altura","fecha","hora","fecha_Hora"
"1","29/04/2021 0:00",0.142,"2021-04-29","0:00:00",2021-04-29 00:00:00
"2","29/04/2021 0:10",0.232,"2021-04-29","0:10:00",2021-04-29 00:10:00
"3","29/04/2021 0:20",0.332,"2021-04-29","0:20:00",2021-04-29 00:20:00
"4","29/04/2021 0:30",0.443,"2021-04-29","0:30:00",2021-04-29 00:30:00
"5","29/04/2021 0:40",0.563,"2021-04-29","0:40:00",2021-04-29 00:40:00
"6","29/04/2021 0:50",0.692,"2021-04-29","0:50:00",2021-04-29 00:50:00
"7","29/04/2021 1:00",0.829,"2021-04-29","1:00:00",2021-04-29 01:00:00
"8","29/04/2021 1:10",0.972,"2021-04-29","1:10:00",2021-04-29 01:10:00
"9","29/04/2021 1:20",1.121,"2021-04-29","1:20:00",2021-04-29 01:20:00
"10","29/04/2021 1:30",1.275,"2021-04-29","1:30:00",2021-04-29 01:30:00
"11","29/04/2021 1:40",1.432,"2021-04-29","1:40:00",2021-04-29 01:40:00
"12","29/04/2021 1:50",1.592,"2021-04-29","1:50:00",2021-04-29 01:50:00
"13","29/04/2021 2:00",1.753,"2021-04-29","2:00:00",2021-04-29 02:00:00
"14","29/04/2021 2:10",1.914,"2021-04-29","2:10:00",2021-04-29 02:10:00
"15","29/04/2021 2:20",2.074,"2021-04-29","2:20:00",2021-04-29 02:20:00
"16","29/04/2021 2:30",2.232,"2021-04-29","2:30:00",2021-04-29 02:30:00
"17","29/04/2021 2:40",2.387,"2021-04-29","2:40:00",2021-04-29 02:40:00
"18","29/04/2021 2:50",2.538,"2021-04-29","2:50:00",2021-04-29 02:50:00
"19","29/04/2021 3:00",2.683,"2021-04-29","3:00:00",2021-04-29 03:00:00
"20","29/04/2021 3:10",2.822,"2021-04-29","3:10:00",2021-04-29 03:10:00
"21","29/04/2021 3:20",2.953,"2021-04-29","3:20:00",2021-04-29 03:20:00
"22","29/04/2021 3:30",3.075,"2021-04-29","3:30:00",2021-04-29 03:30:00
"23","29/04/2021 3:40",3.189,"2021-04-29","3:40:00",2021-04-29 03:40:00
"24","29/04/2021 3:50",3.292,"2021-04-29","3:50:00",2021-04-29 03:50:00
"25","29/04/2021 4:00",3.385,"2021-04-29","4:00:00",2021-04-29 04:00:00
"26","29/04/2021 4:10",3.466,"2021-04-29","4:10:00",2021-04-29 04:10:00
