Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.152508286,27.03082036,21279.07668,20448.53082,12.20279309,1515.066644,1005.632983,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
0.45,0.457416295,26.84893576,22582.90648,21777.59885,13.07128336,1515.547072,1006.335509,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
0.75,0.76201108,26.81269568,25426.59927,24537.0357,14.89261432,1517.390584,1007.707498,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
1.05,1.066128228,26.83048199,29154.03125,28124.40684,17.29675649,1519.979717,1009.499738,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
1.35,1.369863763,26.86942689,30714.64847,29607.66131,18.30218205,1521.140531,1010.240973,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
1.65,1.67346231,26.8723215,31062.60593,29941.40712,18.52928608,1521.392362,1010.411194,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
1.95,1.976992103,26.8883603,31665.40554,30513.01424,18.91901991,1521.847421,1010.69909,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
2.25,2.28046092,26.89713267,31914.46259,30747.80912,19.07934947,1522.042775,1010.817655,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
2.55,2.583899355,26.91604623,32106.09137,30921.16378,19.19778883,1522.218155,1010.901869,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
2.85,2.887304488,26.93618092,32408.5492,31200.35843,19.38877596,1522.47297,1011.039955,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
3.15,3.19059844,26.9882408,33692.93834,32404.38397,20.21522944,1523.474377,1011.643628,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
3.45,3.493642956,27.07530144,35939.20428,34506.95751,21.66840968,1525.218911,1012.705585,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
3.75,3.796562913,27.0656912,35463.15084,34056.16062,21.35570765,1524.871441,1012.475878,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
4.05,4.099550527,27.01331422,34946.7525,33594.04512,21.03582487,1524.414919,1012.253748,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
4.214389671,4.265471871,27.13712209,38128.87897,36565.96053,23.10340763,1526.890812,1013.763912,2.6223044,-78.3999769,01/05/2021,  12:58:34,G06,Baja
