Codigo,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Oxigeno_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max
A01A,23.629305594405594,33.35830769230769,4.429786013986014,1022.5884783216783,36.5,23.0109,34.0329,4.1732,1023.2344,36.5,143,143,143,143,143,3.604694425383519,1.3656765001673807,0.7649909733980387,2.1331084508901883,20.71231517720798,18.989,29.1131,3.0036,1018.161,1,27.8242,34.8715,5.5377,1025.2425,72
A01B,24.925926618705034,32.63176474820144,4.776714814814815,1021.6619071942446,35.5,27.1831,32.5467,5.1191,1020.9157,35.5,139,139,139,139,139,3.3570632176978203,1.8671432336734783,0.7668960915934253,2.3882361373865155,20.134961302835094,19.5587,26.3101,3.4588,1015.5157,1,29.0835,34.7949,5.7862,1025.0283,70
A02A,24.765406422018348,32.85191926605505,4.50558623853211,1021.8380266055046,28,26.6886,32.6441,4.446,1021.0454,28,109,109,109,109,109,3.2284924978051754,1.6506331075208387,0.7116204812580267,2.149817653406152,15.804798849294686,19.6752,26.0307,1.6455,1015.8097,1,27.9672,35.1583,5.6368,1025.0151,55
A02B,26.760786274509805,31.969043137254904,5.174452631578947,1020.5767852941176,26.25,27.8378,31.9342,5.3894,1020.2519500000001,26.25,102,102,102,102,102,2.140998028913092,1.682826776911709,0.5496753321893472,1.8848875437420298,14.794424625513491,21.6692,26.0718,4.2724,1015.046,1,30.0171,34.461,5.7999,1024.2534,51.5
A03A,26.307468493150687,32.374168493150684,4.893904166666666,1021.0089547945206,19,26.89,32.5875,4.95485,1020.9875,19,73,73,73,73,73,1.5604236492835946,1.6927040963332993,0.417473652516868,1.6067058931968952,10.608565721466153,22.8963,26.3669,3.8106,1016.2367,1,27.9678,34.8675,5.6264,1024.0066,37
A03B,27.412946268656718,31.00572686567164,5.1657712121212125,1019.6434432835821,17.5,27.8251,31.595,5.2745,1019.9367,17.5,67,67,67,67,67,0.8746078236850031,2.657057761919449,0.4083311483305795,2.066478859127132,9.742518497116988,24.7979,12.9911,3.9206,1006.6157,1,27.9243,33.7753,5.8218,1022.515,34
A04A,27.685185185185183,31.74971111111111,5.0808136363636365,1020.0872703703703,7.5,27.6652,32.1568,5.17185,1020.3084,7.5,27,27,27,27,27,0.18601769498895204,0.8608731606444403,0.351141841229919,0.6153556806463244,3.968626966596886,27.0485,29.0194,4.4429,1018.3309,1,27.9436,32.3155,5.451,1020.5859,14
A04B,27.82998695652174,30.87352608695652,5.162738888888889,1019.3864608695652,6.5,27.8967,31.5339,5.2179,1019.8541,6.5,23,23,23,23,23,0.144023581731818,1.2851218107165743,0.13056658945168845,0.9446966332393448,3.391164991562634,27.2907,28.0665,4.8781,1017.2762,1,27.9204,31.8749,5.3069,1020.1235,12
A05A,27.528133333333333,29.577175,4.866225,1018.5132666666666,3.75,27.66545,30.340899999999998,4.972849999999999,1019.0577000000001,3.75,12,12,12,12,12,0.329734919245289,2.0031435686417765,0.34736153061982195,1.4159823665654399,1.8027756377319946,26.7885,26.6379,4.2866,1016.3502,1,27.8392,31.5669,5.245,1019.884,6.5
A05B,27.6894875,28.74825,4.947025,1017.81985,2.75,27.72615,28.60945,4.88985,1017.68245,2.75,8,8,8,8,8,0.1213111517368223,1.0963082582662855,0.13843955058676935,0.8350934815080217,1.224744871391589,27.4224,27.5804,4.8552,1016.9223,1,27.7833,30.7672,5.1532,1019.2961,4.5
A06A,27.616708695652175,28.679908695652173,4.697177272727273,1017.8061173913044,6.5,27.7111,29.2132,4.8611,1018.1968,6.5,23,23,23,23,23,0.2150276365177347,0.8990585166075594,0.3048062709200842,0.6542340140487508,3.391164991562634,26.8459,27.287,4.0689,1016.7737,1,27.7757,29.4662,4.9995,1018.3592,12
