Especies,Conteo,Estacion,Densidad
Actinocyclus senarius,2,S06B,33
Bacillaria paxillifer,26,S06B,433
Bacteriastrum hyalinum,4,S06B,67
Cerataulina pelagica,1,S06B,17
Chaetoceros affinis,31,S06B,517
Chaetoceros compressus,8,S06B,133
Chaetoceros curvisetus,268,S06B,4467
Chaetoceros danicus,3,S06B,50
Chaetoceros denticulatus,1,S06B,17
Chaetoceros diversus,4,S06B,67
Chaetoceros lorenzianus,58,S06B,967
Chaetoceros peruvianus,5,S06B,83
Chaetoceros sp 1,47,S06B,783
Chaetoceros subtilis,9,S06B,150
Coscinodiscopsis jonesiana,151,S06B,2517
Coscinodiscus asteromphalus,29,S06B,483
Coscinodiscus granii,19,S06B,317
Coscinodiscus perforatus,26,S06B,433
Coscinodiscus radiatus,15,S06B,250
Coscinodiscus sp 1,40,S06B,667
Coscinodiscus sp 2,29,S06B,483
Coscinodiscus wailesii,1,S06B,17
Ditylum brightwellii,10,S06B,167
Guinardia flaccida,34,S06B,567
Gyrosigma sp,9,S06B,150
Lioloma elongatum,5,S06B,83
Lithodesmium undulatum,5,S06B,83
Navicula sp,1,S06B,17
Nitzschia sigmaformis,1,S06B,17
Nitzschia sigmoidea,1,S06B,17
Prorocentrum lima,1,S06B,17
Prorocentrum sp,1,S06B,17
Proboscia alata,2,S06B,33
Protoperidinium sp 1,5,S06B,83
Pseudonitzschia sp,4,S06B,67
Rhizosolenia imbricata,6,S06B,100
Rhizosolenia setigera,2,S06B,33
Skeletonema costatum,840,S06B,14000
Stephanopyxis sp,2,S06B,33
Stephanopyxis turris,13,S06B,217
Thalassiosira nitzschioides,28,S06B,467
Trieres chinensis,50,S06B,833
Trieres mobiliensis,13,S06B,217
Tripos eugrammus,4,S06B,67
Aulacodiscus kittonii,1,S05B,17
Bacillaria paxillifer,14,S05B,233
Bacteriastrum hyalinum,7,S05B,117
Cerataulina sp,5,S05B,83
Ceratocorys horrida,1,S05B,17
Chaetoceros paradoxus,3,S05B,50
Chaetoceros affinis,12,S05B,200
Chaetoceros brevis,4,S05B,67
Chaetoceros curvisetus,171,S05B,2850
Chaetoceros danicus,6,S05B,100
Chaetoceros debilis,58,S05B,967
Chaetoceros diversus,6,S05B,100
Chaetoceros lorenzianus,24,S05B,400
Chaetoceros paradoxus,19,S05B,317
Chaetoceros sp 1,35,S05B,583
Chaetoceros sp 3,7,S05B,117
Coscinodiscopsis jonesiana,53,S05B,883
Coscinodiscus asteromphalus,1,S05B,17
Coscinodiscus radiatus,13,S05B,217
Coscinodiscus sp 1,13,S05B,217
Coscinodiscus sp 2,50,S05B,833
Coscinodiscus granii,2,S05B,33
Dinophysis caudata,2,S05B,33
Ditylum brightwellii,5,S05B,83
Guinardia flaccida,17,S05B,283
Gyrosigma sp,2,S05B,33
Gyrosigma sp 2,2,S05B,33
Hobaniella longicruris,2,S05B,33
Lioloma elongatum,3,S05B,50
Lithodesmium undulatum,9,S05B,150
Melosira sp,2,S05B,33
Nitzschia sigmaformis,2,S05B,33
Nitzschia sp,9,S05B,150
Phalacroma mitra,1,S05B,17
Proboscia sp,3,S05B,50
Protoperidinium sp 1,1,S05B,17
Protoperidinium sp 2,1,S05B,17
Protoperidinium sp 3,1,S05B,17
Pseudonitzschia sp,5,S05B,83
Rhizosolenia imbricata,7,S05B,117
Skeletonema costatum,442,S05B,7367
Stephanopyxis turris,5,S05B,83
Thalassionema nitzschioides,21,S05B,350
Trieres chinensis,38,S05B,633
Trieres mobiliensis,20,S05B,333
Tripos extensus,2,S05B,33
Bacteriastrum delicatulum,3,S06A,50
Bacteriastrum hyalinum,5,S06A,83
Cerataulina pelagica,1,S06A,17
Cerataulina sp,3,S06A,50
Chaetoceros affinis,29,S06A,483
Chaetoceros coarctatus,4,S06A,67
Chaetoceros curvisetus,70,S06A,1167
Chaetoceros danicus,15,S06A,250
Chaetoceros denticulatus,2,S06A,33
Chaetoceros diversus,6,S06A,100
Chaetoceros lorenzianus,21,S06A,350
Chaetoceros peruvianus,4,S06A,67
Chaetoceros radicans,1,S06A,17
Chaetoceros sp 1,63,S06A,1050
Chaetoceros sp 2,5,S06A,83
Coscinodiscopsis jonesiana,6,S06A,100
Coscinodiscus gigas,1,S06A,17
Coscinodiscus granii,4,S06A,67
Coscinodiscus marginatus,1,S06A,17
Coscinodiscus perforatus,6,S06A,100
Coscinodiscus radiatus,1,S06A,17
Coscinodiscus sp 1,3,S06A,50
coscinodiscus sp 2,20,S06A,333
Coscinodiscus wailesii,2,S06A,33
Coscinodiscus asteromphalus,9,S06A,150
Ditylum brightwellii,5,S06A,83
Gonyaulax sp,1,S06A,17
Guinardia flaccida,17,S06A,283
Hemiaulus sinensis,2,S06A,33
