Especies,Conteo,Estacion,,Suma de Conteo,Etiquetas de columna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinocyclus senarius,2,S06B,,Etiquetas de fila,A01A,A01B,A02A,A02B,A03A,A03B,A04A,A04B,A05A,A05B,A06A,G01A,G01B,G02A,G02B,G03B,G04A,G04B,G05A,G05B,G06A,G06B,S01A,S01B,S02A,S02B,S03A,S03B,S04A,S04B,S05A,S05B,S06A,S06B,Total general
Bacillaria paxillifer,26,S06B,,Actinociclus sp,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6
Bacteriastrum hyalinum,4,S06B,,Actinocyclus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
Cerataulina pelagica,1,S06B,,Actinoptychus senarius,,,,,,2,,,,,8,,,,,,,,,1,,,,,,,,,,,,,,2,13
Chaetoceros affinis,31,S06B,,Actinotycus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4
Chaetoceros compressus,8,S06B,,Actynoptychus senarius,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Chaetoceros curvisetus,268,S06B,,aff Dactiliosolen,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Chaetoceros danicus,3,S06B,,aff Surriliella,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Chaetoceros denticulatus,1,S06B,,Alexandrium sp,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
Chaetoceros diversus,4,S06B,,Asteromphalus sp,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3
Chaetoceros lorenzianus,58,S06B,,Aulacodiscus archagelskianus,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Chaetoceros peruvianus,5,S06B,,Aulacodiscus archangelskianus,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Chaetoceros sp 1,47,S06B,,Aulacodiscus kittonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Chaetoceros subtilis,9,S06B,,Bacillaria paxillifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,15,,14,,26,67
Coscinodiscopsis jonesiana,151,S06B,,Bacteriasrum delicaulum,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Coscinodiscus asteromphalus,29,S06B,,Bacteriasrum hyalinum,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
Coscinodiscus granii,19,S06B,,Bacteriastrum delicatulum,,,,,,,,,,,,,,,,,3,,7,,7,,,,,,2,5,,,,,3,,27
Coscinodiscus perforatus,26,S06B,,Bacteriastrum furcatum,1,2,,,,,,,,,,,,1,,,1,,,1,1,,,,,,,,1,,,,,,8
Coscinodiscus radiatus,15,S06B,,Bacteriastrum hyalinum,2,,,,,,,4,,,,4,,6,,,4,1,7,,,,,,,,,,9,8,23,7,5,4,84
Coscinodiscus sp 1,40,S06B,,Bacteriastrum hyalium,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,5
Coscinodiscus sp 2,29,S06B,,Balliralia paxilifera,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
