FID,Estacion,Latitud_dg,Longitud_dg,Latitud_hx,Longitud_hx,Cod_Estaci
0,1,2.78403,-78.40050,"2° 47' 2.513"" N","78° 24' 1.902"" W",G01
1,1,2.84930,-78.22260,"2° 50' 57.483"" N","78° 13' 21.223"" W",A01
2,5,2.65385,-78.40040,"2° 39' 13.855"" N","78° 24' 1.346"" W",G05
3,2,2.81677,-78.22250,"2° 49' 0.383"" N","78° 13' 20.965"" W",A02
4,6,2.62130,-78.40030,"2° 37' 16.676"" N","78° 24' 1.235"" W",G06
5,6,2.67020,-78.31950,"2° 40' 12.731"" N","78° 19' 10.102"" W",S06
6,5,2.70275,-78.31950,"2° 42' 9.912"" N","78° 19' 10.208"" W",S05
7,2,2.75150,-78.40050,"2° 45' 5.391"" N","78° 24' 1.688"" W",G02
8,6,2.68657,-78.22240,"2° 41' 11.647"" N","78° 13' 20.561"" W",A06
9,3,2.71895,-78.40040,"2° 43' 8.213"" N","78° 24' 1.573"" W",G03
10,3,2.78422,-78.22250,"2° 47' 3.199"" N","78° 13' 20.862"" W",A03
11,1,2.83294,-78.31970,"2° 49' 58.568"" N","78° 19' 10.763"" W",S01
12,4,2.73530,-78.31950,"2° 44' 7.094"" N","78° 19' 10.314"" W",S04
13,5,2.71912,-78.22240,"2° 43' 8.831"" N","78° 13' 20.661"" W",A05
14,4,2.68640,-78.40040,"2° 41' 11.034"" N","78° 24' 1.459"" W",G04
15,2,2.80040,-78.31960,"2° 48' 1.457"" N","78° 19' 10.531"" W",S02
16,3,2.76785,-78.31960,"2° 46' 4.276"" N","78° 19' 10.422"" W",S03
17,4,2.75167,-78.22240,"2° 45' 6.015"" N","78° 13' 20.761"" W",A04
