Consecutivo,Estacion,Marea,Latitud,Longitud,x,y,Hora,Fecha,CodigoEstacion
1,S06,Baja,"2° 40' 12.731"" N","78° 19' 10.102"" W",2.6702001,-78.3195038,16:23:00,2021-04-29,S06B
2,S05,Baja,"2° 42' 9.912"" N","78° 19' 10.208"" W",2.70275,-78.3195038,17:09:00,2021-04-29,S05B
3,S06,Alta,"2° 40' 12.731"" N","78° 19' 10.102"" W",2.6702001,-78.3195038,10:33:00,2021-04-29,S06A
4,S05,Alta,"2° 42' 9.912"" N","78° 19' 10.208"" W",2.70275,-78.3195038,11:18:00,2021-04-29,S05A
5,S04,Alta,"2° 44' 7.094"" N","78° 19' 10.314"" W",2.7353001,-78.3195038,06:50:00,2021-04-30,S04A
6,S03,Alta,"2° 46' 4.276"" N","78° 19' 10.422"" W",2.7678499,-78.319603,07:13:00,2021-04-30,S03A
7,S04,Baja,"2° 44' 7.094"" N","78° 19' 10.314"" W",2.7353001,-78.3195038,12:27:00,2021-04-30,S04B
8,S03,Baja,"2° 46' 4.276"" N","78° 19' 10.422"" W",2.7678499,-78.319603,12:40:00,2021-04-30,S03B
9,G06,Alta,"2° 37' 16.676"" N","78° 24' 1.235"" W",2.6213,-78.4002991,06:53:00,2021-05-01,G06A
10,G05,Alta,"2° 39' 13.855"" N","78° 24' 1.346"" W",2.6538501,-78.4003983,07:21:00,2021-05-01,G05A
11,G04,Alta,"2° 41' 11.034"" N","78° 24' 1.459"" W",2.6863999,-78.4003983,07:47:00,2021-05-01,G04A
12,G06,Baja,"2° 37' 16.676"" N","78° 24' 1.235"" W",2.6213,-78.4002991,13:17:00,2021-05-01,G06B
13,G05,Baja,"2° 39' 13.855"" N","78° 24' 1.346"" W",2.6538501,-78.4003983,13:43:00,2021-05-01,G05B
14,G04,Baja,"2° 41' 11.034"" N","78° 24' 1.459"" W",2.6863999,-78.4003983,14:21:00,2021-05-01,G04B
15,G03,Alta,"2° 43' 8.213"" N","78° 24' 1.573"" W",2.71895,-78.4003983,07:46:00,2021-05-02,G03A
16,G02,Alta,"2° 45' 5.391"" N","78° 24' 1.688"" W",2.7514999,-78.4004974,08:14:00,2021-05-02,G02A
17,G01,Alta,"2° 47' 2.513"" N","78° 24' 1.902"" W",2.78403,-78.4004974,08:41:00,2021-05-02,G01A
18,G03,Baja,"2° 43' 8.213"" N","78° 24' 1.573"" W",2.71895,-78.4003983,14:09:00,2021-05-02,G03B
19,G02,Baja,"2° 45' 5.391"" N","78° 24' 1.688"" W",2.7514999,-78.4004974,14:32:00,2021-05-02,G02B
20,G01,Baja,"2° 47' 2.513"" N","78° 24' 1.902"" W",2.78403,-78.4004974,14:43:00,2021-05-02,G01B
21,A06,Alta,"2° 41' 11.647"" N","78° 13' 20.561"" W",2.6865699,-78.2223969,08:29:00,2021-05-03,A06A
22,A05,Alta,"2° 43' 8.831"" N","78° 13' 20.661"" W",2.71912,-78.2223969,08:55:00,2021-05-03,A05A
23,A04,Alta,"2° 45' 6.015"" N","78° 13' 20.761"" W",2.7516699,-78.2223969,09:20:00,2021-05-03,A04A
24,A03,Alta,"2° 47' 3.199"" N","78° 13' 20.862"" W",2.78422,-78.2225037,09:42:00,2021-05-03,A03A
25,A06,Baja,"2° 41' 11.647"" N","78° 13' 20.561"" W",2.6865699,-78.2223969,14:40:00,2021-05-03,A06B
26,A05,Baja,"2° 43' 8.831"" N","78° 13' 20.661"" W",2.71912,-78.2223969,15:10:00,2021-05-03,A05B
27,A05,Baja,"2° 43' 8.831"" N","78° 13' 20.661"" W",2.71912,-78.2223969,15:38:00,2021-05-03,A05B
28,A04,Baja,"2° 45' 6.015"" N","78° 13' 20.761"" W",2.7516699,-78.2223969,16:07:00,1900-01-00,A04B
29,S02,Alta,"2° 48' 1.457"" N","78° 19' 10.531"" W",2.8004,-78.319603,09:46:00,2021-05-04,S02A
30,S01,Alta,"2° 49' 58.568"" N","78° 19' 10.763"" W",2.8329401,-78.3197021,10:09:00,2021-05-04,S01A
31,A02,Alta,"2° 49' 0.383"" N","78° 13' 20.965"" W",2.8167701,-78.2225037,11:11:00,2021-05-04,A02A
32,A01,Alta,"2° 50' 57.483"" N","78° 13' 21.223"" W",2.8492999,-78.2226028,10:50:00,2021-05-04,A01A
33,S02,Baja,"2° 48' 1.457"" N","78° 19' 10.531"" W",2.8004,-78.319603,15:52:00,2021-05-04,S02B
34,S01,Baja,"2° 49' 58.568"" N","78° 19' 10.763"" W",2.8329401,-78.3197021,16:14:00,2021-05-04,S01B
35,A02,Baja,"2° 49' 0.383"" N","78° 13' 20.965"" W",2.8167701,-78.2225037,16:46:00,2021-05-04,A02B
36,A01,Baja,"2° 50' 57.483"" N","78° 13' 21.223"" W",2.8492999,-78.2226028,17:05:00,2021-05-04,A01B
