Transecto,No.Estacion,Marea,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Oxigeno_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max
Amarales,NA,Alta,23.62930559,33.35830769,4.429786014,1022.588478,36.5,23.0109,34.0329,4.1732,1023.2344,36.5,143,143,143,143,143,3.604694425,1.3656765,0.764990973,2.133108451,20.71231518,18.989,29.1131,3.0036,1018.161,1,27.8242,34.8715,5.5377,1025.2425,72
Amarales,NA,Baja,24.92592662,32.63176475,4.776714815,1021.661907,35.5,27.1831,32.5467,5.1191,1020.9157,35.5,139,139,139,139,139,3.357063218,1.867143234,0.766896092,2.388236137,20.1349613,19.5587,26.3101,3.4588,1015.5157,1,29.0835,34.7949,5.7862,1025.0283,70
Amarales,NA,Alta,24.76540642,32.85191927,4.505586239,1021.838027,28,26.6886,32.6441,4.446,1021.0454,28,109,109,109,109,109,3.228492498,1.650633108,0.711620481,2.149817653,15.80479885,19.6752,26.0307,1.6455,1015.8097,1,27.9672,35.1583,5.6368,1025.0151,55
Amarales,NA,Baja,26.76078627,31.96904314,5.174452632,1020.576785,26.25,27.8378,31.9342,5.3894,1020.25195,26.25,102,102,102,102,102,2.140998029,1.682826777,0.549675332,1.884887544,14.79442463,21.6692,26.0718,4.2724,1015.046,1,30.0171,34.461,5.7999,1024.2534,51.5
Amarales,NA,Alta,26.30746849,32.37416849,4.893904167,1021.008955,19,26.89,32.5875,4.95485,1020.9875,19,73,73,73,73,73,1.560423649,1.692704096,0.417473653,1.606705893,10.60856572,22.8963,26.3669,3.8106,1016.2367,1,27.9678,34.8675,5.6264,1024.0066,37
Amarales,NA,Baja,27.41294627,31.00572687,5.165771212,1019.643443,17.5,27.8251,31.595,5.2745,1019.9367,17.5,67,67,67,67,67,0.874607824,2.657057762,0.408331148,2.066478859,9.742518497,24.7979,12.9911,3.9206,1006.6157,1,27.9243,33.7753,5.8218,1022.515,34
Amarales,NA,Alta,27.68518519,31.74971111,5.080813636,1020.08727,7.5,27.6652,32.1568,5.17185,1020.3084,7.5,27,27,27,27,27,0.186017695,0.860873161,0.351141841,0.615355681,3.968626967,27.0485,29.0194,4.4429,1018.3309,1,27.9436,32.3155,5.451,1020.5859,14
Amarales,NA,Baja,27.82998696,30.87352609,5.162738889,1019.386461,6.5,27.8967,31.5339,5.2179,1019.8541,6.5,23,23,23,23,23,0.144023582,1.285121811,0.130566589,0.944696633,3.391164992,27.2907,28.0665,4.8781,1017.2762,1,27.9204,31.8749,5.3069,1020.1235,12
Amarales,NA,Alta,27.52813333,29.577175,4.866225,1018.513267,3.75,27.66545,30.3409,4.97285,1019.0577,3.75,12,12,12,12,12,0.329734919,2.003143569,0.347361531,1.415982367,1.802775638,26.7885,26.6379,4.2866,1016.3502,1,27.8392,31.5669,5.245,1019.884,6.5
Amarales,NA,Baja,27.6894875,28.74825,4.947025,1017.81985,2.75,27.72615,28.60945,4.88985,1017.68245,2.75,8,8,8,8,8,0.121311152,1.096308258,0.138439551,0.835093482,1.224744871,27.4224,27.5804,4.8552,1016.9223,1,27.7833,30.7672,5.1532,1019.2961,4.5
Amarales,NA,Alta,27.6167087,28.6799087,4.697177273,1017.806117,6.5,27.7111,29.2132,4.8611,1018.1968,6.5,23,23,23,23,23,0.215027637,0.899058517,0.304806271,0.654234014,3.391164992,26.8459,27.287,4.0689,1016.7737,1,27.7757,29.4662,4.9995,1018.3592,12
Amarales,NA,Baja,27.71968,25.78039,4.862714286,1015.58935,3.25,27.7634,25.6498,4.6622,1015.4716,3.25,10,10,10,10,10,0.23380814,0.471261497,0.524137696,0.320873887,1.513825177,27.1291,25.1681,4.4,1015.3519,1,28.0521,26.7234,5.9775,1016.2686,5.5
Guascama,NA,Alta,22.99051256,33.78077343,4.642200483,1023.188891,52.5,22.8021,34.3582,4.6286,1023.716,52.5,207,207,207,207,207,3.136871667,1.332562905,0.614288326,1.973619358,29.94995826,18.6777,26.6972,3.699,1016.352,1,27.9617,34.8283,5.958,1025.4253,104
Guascama,NA,Baja,22.40481298,33.43946442,4.344801471,1023.059893,52.75,21.58365,34.40955,4.2228,1023.75745,52.75,208,208,208,208,208,4.332502312,2.399997036,0.992723823,2.902184525,30.09429625,16.7434,11.8956,2.7393,1005.5034,1,27.9914,35.1955,5.7265,1026.0758,104.5
Guascama,NA,Alta,24.57066582,25.37596962,6.816074051,1016.368427,40.25,24.8735,25.17615,5.3402,1016.09865,40.25,158,158,158,158,158,1.113894569,1.936945412,3.257570423,1.718657528,22.87739059,18.5766,21.6159,3.0846,1013.6721,1,25.0046,34.3434,14.1077,1024.833,79.5
Guascama,NA,Baja,23.9296039,32.93914416,4.513569935,1022.161305,39.25,24.1155,32.7802,4.4226,1021.53855,39.25,154,154,154,154,154,4.03329305,2.344962931,0.93975349,2.784366184,22.30003737,17.7418,16.3038,2.8656,1008.5972,1,28.1403,34.9796,5.6552,1025.5933,77.5
Guascama,NA,Alta,24.86211207,33.17633707,4.95712087,1022.077059,29.75,24.3478,33.61545,5.0898,1022.4959,29.75,116,116,116,116,116,2.930264802,1.381094839,0.587940565,1.928186824,16.81517172,20.0313,29.4392,3.6433,1018.3837,1,28.0467,34.8173,5.9422,1024.7292,58.5
Guascama,NA,Baja,25.64994825,32.69938772,4.88554955,1021.462261,29.25,26.97145,32.2562,5.0543,1020.55345,29.25,114,114,114,114,114,2.395665415,2.052597799,0.543927135,2.165820693,16.52649388,21.4459,23.9402,3.6623,1014.189,1,28.0223,35.2585,5.6441,1024.8019,57.5
Guascama,NA,Alta,27.76434615,30.07826154,5.053484615,1018.817808,4,27.9336,31.5692,5.0093,1019.8788,4,13,13,13,13,13,0.383894499,3.869187564,0.181570477,2.736962249,1.947220241,26.6895,18.8356,4.7962,1010.8592,1,28.0072,31.9827,5.3371,1020.1528,7
Guascama,NA,Baja,27.37267143,18.19117143,4.563416667,1010.012943,2.5,27.4119,18.2258,4.5951,1010.0366,2.5,7,7,7,7,7,0.094727094,0.350589949,0.059470612,0.245987045,1.08012345,27.1688,17.7717,4.4523,1009.7801,1,27.4304,18.7465,4.601,1010.4144,4
Guascama,NA,Alta,27.78103636,30.09862727,5.148483333,1018.823836,3.5,27.8521,30.4999,5.1499,1019.069,3.5,11,11,11,11,11,0.296171819,2.727149036,0.059344769,1.898298072,1.658312395,26.9316,22.1402,5.082,1013.3003,1,27.961,31.6075,5.2538,1019.8895,6
Guascama,NA,Baja,27.30175,19.22626667,4.391566667,1010.801767,2.25,27.26915,18.87605,4.3413,1010.5609,2.25,6,6,6,6,6,0.089607159,0.984339441,0.126806401,0.73826862,0.935414347,27.2365,18.2066,4.2976,1010.0279,1,27.4788,20.9487,4.5358,1012.1163,3.5
Guascama,NA,Alta,27.71565,29.10966923,4.124172727,1018.077846,4,27.6937,29.4891,3.818,1018.3702,4,13,13,13,13,13,0.173045115,1.896161961,0.786225308,1.377366471,1.947220241,27.4699,25.3984,3.6084,1015.3639,1,28.0073,31.4951,5.8209,1019.7824,7
