codigo,hora,fecha,altura
S06B,10:33:00,2021-04-29,0.226
S05B,11:18:00,2021-04-29,0.119
S06A,16:23:00,2021-04-29,3.539
S05A,17:09:00,2021-04-29,3.804
S04A,06:38:00,2021-04-30,3.518
S03A,07:05:00,2021-04-30,3.303
S04B,11:59:00,2021-04-30,0.217
S03B,12:40:00,2021-04-30,0.301
G06A,06:42:00,2021-05-01,3.495
G05A,07:09:00,2021-05-01,3.474
G04A,07:55:12,2021-05-01,3.211
G06B,12:54:00,2021-05-01,0.389
G05B,13:28:00,2021-05-01,0.451
G04B,13:55:00,2021-05-01,0.546
G03A,7:38:00,2021-05-02,3.318
G02A,8:01:00,2021-05-02,3.306
G01A,8:28:00,2021-05-02,3.212
G03B,13:46:00,2021-05-02,0.592
G02B,14:20:00,2021-05-02,0.628
G01B,14:43:00,2021-05-02,0.697
A06A,8:20:00,2021-05-03,3.111
A05A,8:43:00,2021-05-03,3.136
A04A,9:07:00,2021-05-03,3.107
A03A,9:29:00,2021-05-03,3.046
A06B,14:19:00,2021-05-03,0.835
A05B,14:49:00,2021-05-03,0.788
A04B,15:17:00,2021-05-03,0.813
A03B,15:46:00,2021-05-03,0.908
S02A,9:33:00,2021-05-04,2.984
S01A,9:58:00,2021-05-04,2.996
A01A,10:39:00,2021-05-04,2.818
A02A,11:00:00,2021-05-04,2.905
S02B,15:40:00,2021-05-04,0.944
S01B,16:04:00,2021-05-04,0.927
A02B,16:35:00,2021-05-04,0.974
A01B,16:54:00,2021-05-04,1.002
