combinada,altura,fecha,hora
29/04/2021 0:00,0.142,2021-04-29,0:00:00
29/04/2021 0:10,0.232,2021-04-29,0:10:00
29/04/2021 0:20,0.332,2021-04-29,0:20:00
29/04/2021 0:30,0.443,2021-04-29,0:30:00
29/04/2021 0:40,0.563,2021-04-29,0:40:00
29/04/2021 0:50,0.692,2021-04-29,0:50:00
29/04/2021 1:00,0.829,2021-04-29,1:00:00
29/04/2021 1:10,0.972,2021-04-29,1:10:00
29/04/2021 1:20,1.121,2021-04-29,1:20:00
29/04/2021 1:30,1.275,2021-04-29,1:30:00
29/04/2021 1:40,1.432,2021-04-29,1:40:00
29/04/2021 1:50,1.592,2021-04-29,1:50:00
29/04/2021 2:00,1.753,2021-04-29,2:00:00
29/04/2021 2:10,1.914,2021-04-29,2:10:00
29/04/2021 2:20,2.074,2021-04-29,2:20:00
29/04/2021 2:30,2.232,2021-04-29,2:30:00
29/04/2021 2:40,2.387,2021-04-29,2:40:00
29/04/2021 2:50,2.538,2021-04-29,2:50:00
29/04/2021 3:00,2.683,2021-04-29,3:00:00
29/04/2021 3:10,2.822,2021-04-29,3:10:00
29/04/2021 3:20,2.953,2021-04-29,3:20:00
29/04/2021 3:30,3.075,2021-04-29,3:30:00
29/04/2021 3:40,3.189,2021-04-29,3:40:00
29/04/2021 3:50,3.292,2021-04-29,3:50:00
29/04/2021 4:00,3.385,2021-04-29,4:00:00
29/04/2021 4:10,3.466,2021-04-29,4:10:00
29/04/2021 4:20,3.536,2021-04-29,4:20:00
29/04/2021 4:30,3.592,2021-04-29,4:30:00
29/04/2021 4:40,3.636,2021-04-29,4:40:00
29/04/2021 4:50,3.667,2021-04-29,4:50:00
29/04/2021 5:00,3.685,2021-04-29,5:00:00
29/04/2021 5:10,3.689,2021-04-29,5:10:00
29/04/2021 5:20,3.68,2021-04-29,5:20:00
29/04/2021 5:30,3.657,2021-04-29,5:30:00
29/04/2021 5:40,3.621,2021-04-29,5:40:00
29/04/2021 5:50,3.572,2021-04-29,5:50:00
29/04/2021 6:00,3.51,2021-04-29,6:00:00
29/04/2021 6:10,3.436,2021-04-29,6:10:00
29/04/2021 6:20,3.351,2021-04-29,6:20:00
29/04/2021 6:30,3.254,2021-04-29,6:30:00
29/04/2021 6:40,3.147,2021-04-29,6:40:00
29/04/2021 6:50,3.031,2021-04-29,6:50:00
29/04/2021 7:00,2.906,2021-04-29,7:00:00
29/04/2021 7:10,2.773,2021-04-29,7:10:00
29/04/2021 7:20,2.634,2021-04-29,7:20:00
29/04/2021 7:30,2.49,2021-04-29,7:30:00
29/04/2021 7:40,2.341,2021-04-29,7:40:00
29/04/2021 7:50,2.188,2021-04-29,7:50:00
29/04/2021 8:00,2.034,2021-04-29,8:00:00
29/04/2021 8:10,1.879,2021-04-29,8:10:00
29/04/2021 8:20,1.725,2021-04-29,8:20:00
29/04/2021 8:30,1.572,2021-04-29,8:30:00
29/04/2021 8:40,1.421,2021-04-29,8:40:00
29/04/2021 8:50,1.275,2021-04-29,8:50:00
29/04/2021 9:00,1.133,2021-04-29,9:00:00
29/04/2021 9:10,0.997,2021-04-29,9:10:00
29/04/2021 9:20,0.868,2021-04-29,9:20:00
29/04/2021 9:30,0.747,2021-04-29,9:30:00
29/04/2021 9:40,0.634,2021-04-29,9:40:00
29/04/2021 9:50,0.531,2021-04-29,9:50:00
29/04/2021 10:00,0.438,2021-04-29,10:00:00
29/04/2021 10:10,0.356,2021-04-29,10:10:00
29/04/2021 10:20,0.285,2021-04-29,10:20:00
29/04/2021 10:30,0.226,2021-04-29,10:30:00
29/04/2021 10:40,0.179,2021-04-29,10:40:00
29/04/2021 10:50,0.145,2021-04-29,10:50:00
29/04/2021 11:00,0.123,2021-04-29,11:00:00
29/04/2021 11:10,0.115,2021-04-29,11:10:00
29/04/2021 11:20,0.119,2021-04-29,11:20:00
29/04/2021 11:30,0.136,2021-04-29,11:30:00
29/04/2021 11:40,0.165,2021-04-29,11:40:00
29/04/2021 11:50,0.208,2021-04-29,11:50:00
29/04/2021 12:00,0.262,2021-04-29,12:00:00
29/04/2021 12:10,0.328,2021-04-29,12:10:00
29/04/2021 12:20,0.406,2021-04-29,12:20:00
29/04/2021 12:30,0.494,2021-04-29,12:30:00
29/04/2021 12:40,0.593,2021-04-29,12:40:00
29/04/2021 12:50,0.701,2021-04-29,12:50:00
29/04/2021 13:00,0.818,2021-04-29,13:00:00
29/04/2021 13:10,0.943,2021-04-29,13:10:00
29/04/2021 13:20,1.075,2021-04-29,13:20:00
29/04/2021 13:30,1.213,2021-04-29,13:30:00
29/04/2021 13:40,1.357,2021-04-29,13:40:00
29/04/2021 13:50,1.505,2021-04-29,13:50:00
29/04/2021 14:00,1.657,2021-04-29,14:00:00
29/04/2021 14:10,1.811,2021-04-29,14:10:00
29/04/2021 14:20,1.966,2021-04-29,14:20:00
29/04/2021 14:30,2.122,2021-04-29,14:30:00
29/04/2021 14:40,2.276,2021-04-29,14:40:00
29/04/2021 14:50,2.429,2021-04-29,14:50:00
29/04/2021 15:00,2.578,2021-04-29,15:00:00
29/04/2021 15:10,2.723,2021-04-29,15:10:00
29/04/2021 15:20,2.863,2021-04-29,15:20:00
29/04/2021 15:30,2.997,2021-04-29,15:30:00
29/04/2021 15:40,3.123,2021-04-29,15:40:00
29/04/2021 15:50,3.241,2021-04-29,15:50:00
29/04/2021 16:00,3.351,2021-04-29,16:00:00
29/04/2021 16:10,3.45,2021-04-29,16:10:00
29/04/2021 16:20,3.539,2021-04-29,16:20:00
29/04/2021 16:30,3.616,2021-04-29,16:30:00
29/04/2021 16:40,3.682,2021-04-29,16:40:00
29/04/2021 16:50,3.736,2021-04-29,16:50:00
29/04/2021 17:00,3.777,2021-04-29,17:00:00
29/04/2021 17:10,3.804,2021-04-29,17:10:00
29/04/2021 17:20,3.819,2021-04-29,17:20:00
29/04/2021 17:30,3.82,2021-04-29,17:30:00
29/04/2021 17:40,3.808,2021-04-29,17:40:00
29/04/2021 17:50,3.783,2021-04-29,17:50:00
29/04/2021 18:00,3.744,2021-04-29,18:00:00
29/04/2021 18:10,3.692,2021-04-29,18:10:00
29/04/2021 18:20,3.627,2021-04-29,18:20:00
29/04/2021 18:30,3.549,2021-04-29,18:30:00
29/04/2021 18:40,3.46,2021-04-29,18:40:00
29/04/2021 18:50,3.359,2021-04-29,18:50:00
29/04/2021 19:00,3.247,2021-04-29,19:00:00
29/04/2021 19:10,3.126,2021-04-29,19:10:00
29/04/2021 19:20,2.995,2021-04-29,19:20:00
29/04/2021 19:30,2.856,2021-04-29,19:30:00
29/04/2021 19:40,2.71,2021-04-29,19:40:00
29/04/2021 19:50,2.557,2021-04-29,19:50:00
29/04/2021 20:00,2.4,2021-04-29,20:00:00
29/04/2021 20:10,2.239,2021-04-29,20:10:00
29/04/2021 20:20,2.075,2021-04-29,20:20:00
29/04/2021 20:30,1.91,2021-04-29,20:30:00
29/04/2021 20:40,1.744,2021-04-29,20:40:00
29/04/2021 20:50,1.58,2021-04-29,20:50:00
29/04/2021 21:00,1.418,2021-04-29,21:00:00
29/04/2021 21:10,1.259,2021-04-29,21:10:00
29/04/2021 21:20,1.105,2021-04-29,21:20:00
29/04/2021 21:30,0.957,2021-04-29,21:30:00
29/04/2021 21:40,0.815,2021-04-29,21:40:00
29/04/2021 21:50,0.68,2021-04-29,21:50:00
29/04/2021 22:00,0.554,2021-04-29,22:00:00
29/04/2021 22:10,0.438,2021-04-29,22:10:00
29/04/2021 22:20,0.331,2021-04-29,22:20:00
29/04/2021 22:30,0.234,2021-04-29,22:30:00
29/04/2021 22:40,0.149,2021-04-29,22:40:00
29/04/2021 22:50,0.076,2021-04-29,22:50:00
29/04/2021 23:00,0.015,2021-04-29,23:00:00
29/04/2021 23:10,-0.034,2021-04-29,23:10:00
29/04/2021 23:20,-0.07,2021-04-29,23:20:00
29/04/2021 23:30,-0.093,2021-04-29,23:30:00
29/04/2021 23:40,-0.103,2021-04-29,23:40:00
29/04/2021 23:50,-0.099,2021-04-29,23:50:00
30/04/2021 0:00,-0.083,2021-04-30,0:00:00
30/04/2021 0:10,-0.053,2021-04-30,0:10:00
30/04/2021 0:20,-0.011,2021-04-30,0:20:00
30/04/2021 0:30,0.044,2021-04-30,0:30:00
30/04/2021 0:40,0.111,2021-04-30,0:40:00
