Fecha_filtro	Marea_filtro
29/04/2021 00:00:00	0.142
29/04/2021 00:10:00	0.232
29/04/2021 00:20:00	0.332
29/04/2021 00:30:00	0.443
29/04/2021 00:40:00	0.563
29/04/2021 00:50:00	0.692
29/04/2021 01:00:00	0.829
29/04/2021 01:10:00	0.972
29/04/2021 01:20:00	1.121
29/04/2021 01:30:00	1.275
29/04/2021 01:40:00	1.432
29/04/2021 01:50:00	1.592
29/04/2021 02:00:00	1.753
29/04/2021 02:10:00	1.914
29/04/2021 02:20:00	2.074
29/04/2021 02:30:00	2.232
29/04/2021 02:40:00	2.387
29/04/2021 02:50:00	2.538
29/04/2021 03:00:00	2.683
29/04/2021 03:10:00	2.822
29/04/2021 03:20:00	2.953
29/04/2021 03:30:00	3.075
29/04/2021 03:40:00	3.189
29/04/2021 03:50:00	3.292
29/04/2021 04:00:00	3.385
29/04/2021 04:10:00	3.466
29/04/2021 04:20:00	3.536
29/04/2021 04:30:00	3.592
29/04/2021 04:40:00	3.636
29/04/2021 04:50:00	3.667
29/04/2021 05:00:00	3.685
29/04/2021 05:10:00	3.689
29/04/2021 05:20:00	3.68
29/04/2021 05:30:00	3.657
29/04/2021 05:40:00	3.621
29/04/2021 05:50:00	3.572
29/04/2021 06:00:00	3.51
29/04/2021 06:10:00	3.436
29/04/2021 06:20:00	3.351
29/04/2021 06:30:00	3.254
29/04/2021 06:40:00	3.147
29/04/2021 06:50:00	3.031
29/04/2021 07:00:00	2.906
29/04/2021 07:10:00	2.773
29/04/2021 07:20:00	2.634
29/04/2021 07:30:00	2.49
29/04/2021 07:40:00	2.341
29/04/2021 07:50:00	2.188
29/04/2021 08:00:00	2.034
29/04/2021 08:10:00	1.879
29/04/2021 08:20:00	1.725
29/04/2021 08:30:00	1.572
29/04/2021 08:40:00	1.421
29/04/2021 08:50:00	1.275
29/04/2021 09:00:00	1.133
29/04/2021 09:10:00	0.997
29/04/2021 09:20:00	0.868
29/04/2021 09:30:00	0.747
29/04/2021 09:40:00	0.634
