Fecha_filtro	Marea_filtro
29/04/2021 00:00:00	0.135
29/04/2021 00:30:00	0.437
29/04/2021 01:00:00	0.822
29/04/2021 01:30:00	1.268
29/04/2021 02:00:00	1.746
29/04/2021 02:30:00	2.226
29/04/2021 03:00:00	2.676
29/04/2021 03:30:00	3.069
29/04/2021 04:00:00	3.378
29/04/2021 04:30:00	3.586
29/04/2021 05:00:00	3.678
29/04/2021 05:30:00	3.65
29/04/2021 06:00:00	3.503
29/04/2021 06:30:00	3.247
29/04/2021 07:00:00	2.899
29/04/2021 07:30:00	2.483
29/04/2021 08:00:00	2.028
29/04/2021 08:30:00	1.565
29/04/2021 09:00:00	1.126
29/04/2021 09:30:00	0.74
29/04/2021 10:00:00	0.432
29/04/2021 10:30:00	0.22
29/04/2021 11:00:00	0.117
29/04/2021 11:30:00	0.129
29/04/2021 12:00:00	0.255
29/04/2021 12:30:00	0.488
29/04/2021 13:00:00	0.811
29/04/2021 13:30:00	1.207
29/04/2021 14:00:00	1.65
29/04/2021 14:30:00	2.115
29/04/2021 15:00:00	2.571
29/04/2021 15:30:00	2.99
29/04/2021 16:00:00	3.344
29/04/2021 16:30:00	3.61
29/04/2021 17:00:00	3.77
29/04/2021 17:30:00	3.814
29/04/2021 18:00:00	3.737
29/04/2021 18:30:00	3.543
29/04/2021 19:00:00	3.241
29/04/2021 19:30:00	2.849
29/04/2021 20:00:00	2.393
29/04/2021 20:30:00	1.903
29/04/2021 21:00:00	1.411
29/04/2021 21:30:00	0.95
29/04/2021 22:00:00	0.548
29/04/2021 22:30:00	0.228
29/04/2021 23:00:00	0.008
29/04/2021 23:30:00	-0.1
30/04/2021 00:00:00	-0.089
30/04/2021 00:30:00	0.037
30/04/2021 01:00:00	0.272
30/04/2021 01:30:00	0.602
30/04/2021 02:00:00	1.004
30/04/2021 02:30:00	1.453
30/04/2021 03:00:00	1.922
30/04/2021 03:30:00	2.38
30/04/2021 04:00:00	2.798
30/04/2021 04:30:00	3.151
30/04/2021 05:00:00	3.417
30/04/2021 05:30:00	3.579
30/04/2021 06:00:00	3.627
30/04/2021 06:30:00	3.559
30/04/2021 07:00:00	3.38
30/04/2021 07:30:00	3.101
30/04/2021 08:00:00	2.742
30/04/2021 08:30:00	2.329
30/04/2021 09:00:00	1.89
30/04/2021 09:30:00	1.455
30/04/2021 10:00:00	1.052
30/04/2021 10:30:00	0.708
30/04/2021 11:00:00	0.444
30/04/2021 11:30:00	0.274
30/04/2021 12:00:00	0.211
30/04/2021 12:30:00	0.256
30/04/2021 13:00:00	0.407
30/04/2021 13:30:00	0.654
30/04/2021 14:00:00	0.981
30/04/2021 14:30:00	1.37
30/04/2021 15:00:00	1.795
30/04/2021 15:30:00	2.231
30/04/2021 16:00:00	2.649
30/04/2021 16:30:00	3.023
30/04/2021 17:00:00	3.328
30/04/2021 17:30:00	3.544
30/04/2021 18:00:00	3.657
30/04/2021 18:30:00	3.658
30/04/2021 19:00:00	3.547
30/04/2021 19:30:00	3.328
30/04/2021 20:00:00	3.013
30/04/2021 20:30:00	2.624
30/04/2021 21:00:00	2.185
30/04/2021 21:30:00	1.726
30/04/2021 22:00:00	1.278
30/04/2021 22:30:00	0.868
30/04/2021 23:00:00	0.52
30/04/2021 23:30:00	0.255
01/05/2021 00:00:00	0.086
01/05/2021 00:30:00	0.024
01/05/2021 01:00:00	0.07
01/05/2021 01:30:00	0.223
01/05/2021 02:00:00	0.472
01/05/2021 02:30:00	0.802
01/05/2021 03:00:00	1.191
01/05/2021 03:30:00	1.615
01/05/2021 04:00:00	2.047
01/05/2021 04:30:00	2.461
01/05/2021 05:00:00	2.831
01/05/2021 05:30:00	3.134
01/05/2021 06:00:00	3.352
01/05/2021 06:30:00	3.472
01/05/2021 07:00:00	3.486
01/05/2021 07:30:00	3.395
01/05/2021 08:00:00	3.205
01/05/2021 08:30:00	2.929
01/05/2021 09:00:00	2.587
01/05/2021 09:30:00	2.204
01/05/2021 10:00:00	1.805
01/05/2021 10:30:00	1.417
01/05/2021 11:00:00	1.064
01/05/2021 11:30:00	0.769
01/05/2021 12:00:00	0.548
01/05/2021 12:30:00	0.417
01/05/2021 13:00:00	0.382
01/05/2021 13:30:00	0.444
01/05/2021 14:00:00	0.601
01/05/2021 14:30:00	0.841
01/05/2021 15:00:00	1.149
01/05/2021 15:30:00	1.506
01/05/2021 16:00:00	1.89
01/05/2021 16:30:00	2.277
01/05/2021 17:00:00	2.641
01/05/2021 17:30:00	2.96
01/05/2021 18:00:00	3.212
01/05/2021 18:30:00	3.38
01/05/2021 19:00:00	3.454
01/05/2021 19:30:00	3.427
01/05/2021 20:00:00	3.3
01/05/2021 20:30:00	3.081
01/05/2021 21:00:00	2.782
01/05/2021 21:30:00	2.422
01/05/2021 22:00:00	2.027
01/05/2021 22:30:00	1.623
01/05/2021 23:00:00	1.234
01/05/2021 23:30:00	0.885
02/05/2021 00:00:00	0.596
02/05/2021 00:30:00	0.382
02/05/2021 01:00:00	0.256
02/05/2021 01:30:00	0.225
02/05/2021 02:00:00	0.29
02/05/2021 02:30:00	0.448
02/05/2021 03:00:00	0.687
02/05/2021 03:30:00	0.992
02/05/2021 04:00:00	1.345
02/05/2021 04:30:00	1.723
02/05/2021 05:00:00	2.103
02/05/2021 05:30:00	2.463
02/05/2021 06:00:00	2.78
02/05/2021 06:30:00	3.035
02/05/2021 07:00:00	3.213
02/05/2021 07:30:00	3.302
02/05/2021 08:00:00	3.3
02/05/2021 08:30:00	3.205
02/05/2021 09:00:00	3.026
02/05/2021 09:30:00	2.776
02/05/2021 10:00:00	2.472
02/05/2021 10:30:00	2.135
