Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.150551364,28.11364428,49323.70313,46432.23394,30.13997254,1536.465457,1018.71111,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
0.45,0.451644798,28.11223347,49329.1231,46438.56968,30.1444994,1536.472128,1018.716252,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
0.75,0.752735902,28.10591283,49375.61096,46487.86579,30.1802431,1536.50064,1018.746382,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
1.05,1.05379963,28.07875822,49633.78106,46754.84386,30.3742611,1536.648988,1018.901914,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
1.35,1.354793741,28.02743491,50165.37613,47301.34148,30.77204506,1536.957695,1019.218101,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
1.65,1.655735788,28.00931266,50205.76853,47355.6117,30.81153026,1536.963793,1019.254849,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
1.95,1.956648759,27.99761759,50496.22184,47640.08661,31.01887478,1537.160881,1019.415474,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
2.25,2.257498698,27.97098971,50967.99128,48109.34396,31.36140964,1537.466967,1019.682388,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
2.55,2.558272339,27.93296051,51388.97404,48541.56423,31.67740332,1537.719793,1019.933117,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
2.85,2.85898309,27.90518129,51681.58146,48843.59169,31.89846656,1537.895647,1020.109323,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
3.15,3.159652216,27.89603484,51869.57281,49029.73632,32.03479168,1538.02391,1020.215921,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
3.45,3.460296178,27.88577024,51974.83723,49138.77305,32.11465292,1538.090193,1020.280489,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
3.75,3.760927503,27.87941682,52003.75926,49172.02419,32.13895551,1538.106667,1020.302077,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
4.05,4.061550146,27.87788798,52071.39899,49237.4043,32.18682737,1538.158766,1020.339809,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
4.35,4.362165134,27.87634145,52094.63261,49260.81418,32.20391774,1538.178383,1020.354433,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
4.65,4.662775367,27.87088823,52118.15441,49288.13961,32.22388222,1538.1923,1020.372474,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
4.95,4.963381248,27.86450839,52128.38151,49303.76078,32.23526051,1538.195094,1020.384367,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
5.25,5.263982925,27.85872244,52149.43111,49329.06879,32.25374706,1538.206708,1020.401406,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
5.55,5.564579709,27.85032546,52165.38109,49351.99607,32.27048768,1538.210643,1020.417976,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
5.85,5.865173494,27.84473514,52162.06836,49354.0825,32.27193521,1538.204728,1020.422156,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
6.15,6.165762953,27.82762601,52181.29451,49388.26373,32.29693453,1538.197876,1020.447736,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
6.45,6.466345826,27.81127716,52190.12021,49411.9088,32.3142022,1538.184559,1020.467263,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
6.75,6.766923881,27.79532588,52188.16912,49424.99004,32.32371621,1538.163941,1020.480837,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
7.05,7.067497113,27.77796435,52195.41834,49448.11626,32.3406025,1538.147925,1020.500401,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
7.35,7.368062954,27.75539424,52216.20601,49488.97337,32.37050322,1538.133948,1020.531416,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
7.65,7.668619448,27.72744942,52231.83594,49530.02328,32.40054444,1538.108039,1020.564263,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
7.95,7.969168321,27.71461818,52245.79417,49555.31879,32.41902723,1538.103813,1020.583565,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
8.25,8.269712343,27.70045915,52247.54471,49570.29364,32.42993099,1538.0886,1020.597599,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
8.55,8.570248733,27.67300089,52274.06616,49621.31005,32.46729391,1538.071433,1020.635784,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
8.85,8.870774702,27.63465407,52273.14486,49656.58631,32.49308832,1538.017534,1020.668771,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
9.15,9.171286627,27.57206233,52290.12003,49731.85159,32.54823168,1537.939955,1020.731578,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
9.45,9.471782976,27.52343071,52292.3914,49780.06072,32.58350983,1537.872663,1020.774966,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
9.75,9.772267329,27.46477287,52269.25805,49813.67039,32.60804012,1537.771225,1020.81347,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
10.05,10.07273745,27.39186733,52261.33556,49875.42745,32.65322254,1537.659168,1020.872028,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
10.21161505,10.23459994,27.37139511,52256.29688,49890.11345,32.66393399,1537.62686,1020.887314,2.7041184,-78.3186185,29/04/2021,  16:58:04,S05,Alta
