"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","NA","NA"
"A01A",5.94824885437573,-0.0714095582426055,-0.513676893969643,-2.06255149387067,0.202054361028572,-2.50858320759597,0.675762121824114,-0.605073006509591,0.517232707951903,-0.549784338948793,0.190211519385787,-0.154869507228338,0.138772673922977,-0.122447445174891,-0.209803380396496,0.183552393907894,-0.441113066122179,-0.0355916844516958,0.433723796914538,0.146985546984056,0.160819920133203,-0.111057782814348,-0.0338492034545677,-0.00168341496138395,-0.0127519702689048,-0.0102956565163818,-0.0100991524389469,-0.0333798616964676,-0.020615617136003,-0.0149727407784845,-0.00376182301726276,-0.00142147971852216,-0.00105337896941788,-0.00010330701818961,-2.71555578418292e-06,-2.77555756156289e-17
"A01B",3.84791943850779,-0.343303757048334,0.269758137339433,-0.760367722471261,-0.967518246379492,1.52855672985322,0.967156617986003,-0.982489168672536,-0.629866181313583,0.297648973027416,-0.93055944721998,0.51869166211679,-0.0937246494103207,-0.0831111974841644,0.204760395504775,-0.0755453421654779,-0.127558667224343,0.118004363714794,0.0569634377026053,-0.0106226487031194,-0.157431263723297,-0.143092580065245,-0.288979579382923,-0.0507134327870798,0.0213463978809495,-0.0917264093417346,0.00037916465764623,-0.00478183474002105,0.0230664684904421,-0.00679012230889201,0.0042480449121601,-0.00187660862394437,0.000573112447812789,8.84023739794546e-06,9.84164560749456e-07,-2.77555756156289e-17
"A02A",4.20686314324858,-0.491632961218822,-0.195423387316452,-1.19551081101107,0.249558601507771,-1.63871867874861,-0.0469872252107853,-1.54736851063661,-1.80768567547641,-0.860959825171625,0.53324147685633,0.0822079671137152,-0.607620072662985,0.223503678184308,0.540000993796466,-0.191488502335398,-0.202168718586581,-0.0409536653988629,-0.122128494219142,0.0599933638872197,-0.105494924689625,0.00743474917924577,0.181242963498057,0.0409647600038884,-0.0182218023365314,0.00307819490425491,0.0338697334275881,0.00690229790298371,0.0183010483108658,0.00291671101624052,-0.000353474162116849,0.00075557739040962,0.00114285963152222,5.33083733090106e-05,1.57808430800016e-06,6.93889390390723e-17
"A02B",2.06080907022775,-2.09210646234834,0.928569192370991,-0.677658227822715,-1.17036705540631,1.60794190616095,2.1418491571847,-0.639818528110907,-0.575006775853411,-0.148370066922894,-1.5919338273104,-0.133631207815309,0.366492954095396,-0.139840700244366,-0.359072459693533,0.275786520783081,0.0598566834057683,-0.249563972263223,-0.0747974144189278,0.0790797946559558,0.156248503519556,0.0827693603284494,0.107462575759979,0.0349510678062879,-0.0109294518238817,0.0874294111265,0.0399356965434029,0.00479077078633835,0.00164849384534083,0.00131575582924517,-0.00110835034897695,0.00137271061667782,-0.00050055701261275,-1.70311003718578e-05,-2.60093194953681e-06,-5.55111512312578e-17
"A03A",1.29032271094228,-2.36121631768583,-0.169691150115852,-0.263318547819144,0.398061073546845,0.469836795934539,-1.20793225194374,-0.604786459134176,-0.0323145336841579,-0.663697895799087,0.470978769724461,1.06704278109719,1.11361553924025,-0.15802545746258,-0.117367830954682,0.101342314360567,0.0238541669184283,0.0350563176609423,-0.033655452238971,-0.0783469480383673,-0.183958796477853,0.110595934010769,-0.0196591828262028,0.00703539347628696,-0.0758605151492906,0.0429828418800854,-0.00900906557613058,-0.00896556205601554,-0.017847720896868,-0.00482057201349623,0.00704346820373633,0.000501377313368415,-0.000280711935676734,-5.26085449179801e-05,8.24267634362552e-06,-7.63278329429795e-17
"A03B",-0.550428561530735,-1.02616915965796,1.21391494289896,1.3754250914979,-0.762964943530737,0.850919419917914,0.109419468339041,0.489516794721607,-0.470169194234093,-0.733931269078578,0.562037699507762,0.145520228353969,0.224546831824147,-0.0650541747874428,0.206152468974345,-0.0747358207908082,-0.337363860669562,-0.451205785087805,-0.329317411907304,0.183440341769616,-0.0753124100454853,-0.0428452493085987,-0.0751601227553566,-0.026317590266684,0.0879783152341746,-0.00138006136716527,-0.0888579593672708,0.00926847591224916,-0.0225484458052473,0.0131947323709414,-0.00199999473078236,-0.00129765607102381,-0.00111591208458869,-3.33970396724842e-05,-6.17059675673062e-06,-1.17961196366423e-16
"A04A",-0.358227348781453,-4.67863842351741,-0.587886207827102,-0.532159419824112,1.04976347368795,-0.910977567678059,0.488974663242571,0.185629855878146,0.0280208414217252,-0.549011215932468,0.256011712584316,-0.120539614794718,0.431719653621668,0.0610705949910461,0.383128590149747,0.331478618559013,0.304059359073333,0.188729902343379,0.260211923210703,-0.0405804667452511,0.0664441345713945,0.04754508835315,-0.170531297787001,0.0235098228032849,0.0482921208364793,-0.00243872143732068,0.0359171401628291,0.0561318460548957,0.000959512828426334,0.0241857108840772,-0.00755383155196891,3.78317049163669e-06,-6.43642898557118e-05,4.17819885584723e-05,6.94398169742705e-07,-1.11022302462516e-16
"A04B",-2.57260175810266,-3.24039496433404,0.227316537137887,-0.286691443657676,-0.887051778699928,0.508816956085777,-0.162697102752401,0.453375879819414,0.706713929674295,-0.302055699123103,0.29728939740783,-0.472273911798648,-0.111901145440781,-0.256206116368296,-0.0840712580394537,0.0435476775971877,-0.237553092805392,0.296600354044182,-0.186129722718309,0.194581992333169,0.0343815851024701,-0.156001824569034,0.0577811313759662,-0.0659607061471554,0.0754600576773328,0.0148136257140834,0.0333031340282511,-0.00612459640203613,0.0235065956421893,-0.00365783709272876,0.00134533619888182,0.00867968401293022,-0.00486691137038514,1.27290081683752e-05,7.42269777824489e-06,1.66533453693773e-16
"A05A",-2.50559857936442,-2.92284036786059,0.0085501090975045,-0.0944157594856432,0.74655875395929,-0.158090834048275,-1.01150700216068,-0.000611566822594549,-0.116681279051799,-0.350209232379508,0.332524042488717,0.41070663286517,0.144571438122272,-0.388032443955474,-0.34404645652716,-0.579906543478786,0.409273597088084,0.206502591279647,0.00236690314890805,0.235198619191095,0.218348350287042,-0.010907217833182,0.0119076827943024,-0.00167102928659093,0.0148006552913663,0.0174166011873819,-0.0156410687020541,0.012922492665315,0.0296794157885784,-0.0177299859425987,0.00378136890198266,-0.00626741774388302,0.000760947940443693,2.90668249316051e-05,-8.77815117972247e-06,2.77555756156289e-17
"A05B",-3.98543223868368,-2.36831529635095,0.0926045182606282,-0.802018856649192,-2.04023669593379,-0.119533672011575,-0.313557327701798,0.695531145084473,0.359585213420982,0.105274714275313,0.111939688699341,-0.118885837546428,-0.108461086127039,-0.0245468861792134,-0.212684771578067,0.254506793847686,-0.46944259422043,0.360372729316482,-0.137089392485833,0.110512768071301,-0.0386970400427222,0.234120266574176,-0.0314824289680318,0.0190133790621072,-0.00421036308777176,-0.0177705430407189,0.0298630246617846,-0.0319316870181568,0.00226316080984219,0.00978590962956468,0.000645486471047046,0.000393678170822099,0.00669917079175859,1.06473329767112e-06,-3.06809871240821e-06,0
