"Actinocyclus senarius","Bacillaria paxillifer","Bacteriastrum hyalinum","Cerataulina pelagica","Chaetoceros affinis","Chaetoceros compressus","Chaetoceros curvisetus","Chaetoceros danicus","Chaetoceros denticulatus","Chaetoceros diversus","Chaetoceros lorenzianus","Chaetoceros peruvianus","Chaetoceros sp 1","Chaetoceros subtilis","Coscinodiscopsis jonesiana","Coscinodiscus asteromphalus","Coscinodiscus granii","Coscinodiscus perforatus","Coscinodiscus radiatus","Coscinodiscus sp 1","Coscinodiscus sp 2","Coscinodiscus wailesii","Ditylum brightwellii","Guinardia flaccida","Gyrosigma sp","Lioloma elongatum","Lithodesmium undulatum","Navicula sp","Nitzschia sigmaformis","Nitzschia sigmoidea","Prorocentrum lima","Prorocentrum sp","Proboscia alata","Protoperidinium sp 1","Pseudonitzschia sp","Rhizosolenia imbricata","Rhizosolenia setigera","Skeletonema costatum","Stephanopyxis sp","Stephanopyxis turris","Thalassiosira nitzschioides","Trieres chinensis","Trieres mobiliensis","Tripos eugrammus","Aulacodiscus kittonii","Cerataulina sp","Ceratocorys horrida","Chaetoceros aff paradoxus","Chaetoceros brevis","Chaetoceros debilis","Chaetoceros paradoxus","Chaetoceros sp 3","Dinophysis caudata","Gyrosigma sp 2","Hobaniella longicruris","Melosira sp","Nitzschia sp","Phalacroma mitra","Proboscia sp","Protoperidinium sp 2","Protoperidinium sp 3","Thalassionema nitzschioides","Tripos extensus","Bacteriastrum delicatulum","Chaetoceros coarctatus","Chaetoceros radicans","Chaetoceros sp 2","Coscinodiscus gigas","Coscinodiscus marginatus","coscinodiscus sp 2","Gonyaulax sp","Hemiaulus sinensis","Hemiaulus sp","Leptocilindrus danicus","Lioloma pacificum","Lyrella sp","Odontella aurita","Prorocentrum rhathymum","Rhizosolenia cf hebetata","Skeletonema pseudocostatum","Skeletonema tropicum","Tripos muelleri","Cerataulina dentata","Cerataulina bicornis","Coscinodisus gigas","Guinardia sp","Guinardia striata","Hemiaulus hauckii","Hemiaulus membranaceus","Leptocilindrus sp","Meuniera membranacea","Neodelphineis pelagica","Phalacroma sp","Plagiotropis sp","Pyrophacus sp","Rhizosolenia bergonii","Tripos declinatus","Tripos sp","Bacteriastrum furcatum","Chaetoceros pseudocurvisetus","Diatomea pennada","Neocalyptrella robusta","Ornitocercus stenii","Podolampas bipes","Prorocentrum compressum","Protoperidinium pyrum","Protoperidinium sp 4","Pyrodinium bahamense","Tripos armatum","aff Dactiliosolen","aff Surriliella","Chaetoceros brevis complex","Cianobacteria","Phalacroma rapa","Protoperidinium (circular)","Protoperidinium (pentagonal-falconiforma)","Chetoceros diversus","Coscinodiscus sp 3","Coscinodicus sp 2","Entomoneis sp","Guinardia delicatula","Rhizolenia imbricata var. Shrubsolei","Thalassiosira sp","Tripos macroceros","Nepcalliptrella robusta","Tripos fusus","Central desconocida","Dinoflagelados 1","Ditylum","Protoperidinium (pentagonal)","Tripos candelabrum","Tripos massiliensis","Chaetoceros laciniosus","Chaetoceros protuberans","Diatomea central pequeña","Aulacodiscus archangelskianus","Eucampia zodiacus","Diploneis gruendleri","Prorocentrum mexicanum","Protoperidinium (pentagonal -falda)","Synedra sp","Pseudosolenia sp","Asteromphalus sp","Climacodiun frauenefeldianum","Tripos cf brevis","Tripos cf muelleri","Tripos cf vultur","Tripos pentagonus","Ornitocercus thumii","Thalassionema frauenfeldii","Tripos cf karsteni","Pseudosolenia calcar-avis","Prorocentrum cf cordatum","Pyrodinium sp","Thalassionema sp","Tripos aff brevis","Gyrodinium spirale","Phaeodactylum","Phalacorma sp","Planktoniella muriformis","Streptotheca sp","Stellarima sp","Protoperidinium sp3","Coscinodiscus wailesii-gigas","Thalassionema","Tripos cf mssiliensis","Actinociclus sp","Coscinodiscus centralis","Protoperidinium (pentagonal-falda)","Nitzschia closterium","Tripos trichoceros","Cyclotella striata","Dactyliosolen sp","Dinoflagelado circular","Ornitocercus sp","Tripos aff muelleri-brevis","Tripos brevis","Protoperidinium (esperico)","Tripos lunula","Dinoflageladodesnudo","Pyrocystis sp","Thalassionema nitzschioides/pseudo","Trios muelleri","Tripos macroceroS","Alexandrium sp","Thalssionema ","Gonyalacaceae","Gonyaulax polygramma","Protoperidinium pyriforme","Scripsiella sp","Tripos arietinus"
"S06B",33,433,67,17,517,133,4467,50,17,67,967,83,783,150,2517,483,317,433,250,667,483,17,167,567,150,83,83,17,17,17,17,17,33,83,67,100,33,14000,33,217,467,833,217,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S05B",0,233,117,0,200,0,2850,100,0,100,400,0,583,0,883,17,33,0,217,217,833,0,83,283,33,50,150,0,33,0,0,0,0,17,83,117,0,7367,0,83,0,633,333,0,17,83,17,50,67,967,317,117,33,33,33,33,150,17,50,17,17,350,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S06A",0,0,83,17,483,0,1167,250,33,100,350,67,1050,0,100,150,67,100,17,50,0,33,83,283,0,33,100,0,0,0,0,17,33,33,0,83,17,4783,0,17,0,467,183,33,0,50,0,0,0,0,0,0,0,0,83,0,0,0,33,0,0,367,0,50,67,17,83,17,17,333,17,33,33,33,83,17,150,17,17,150,2583,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S05A",0,0,383,33,917,33,0,183,67,200,383,17,350,0,0,0,17,0,0,0,17,0,33,183,17,0,17,0,0,0,0,0,0,17,50,100,0,1733,0,33,0,217,0,33,0,0,0,0,0,167,133,0,0,0,67,0,0,0,133,0,0,17,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,17,17,33,17,17,33,17,50,33,50,17,17,17,17,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S04A",0,0,150,0,833,0,0,67,17,483,283,50,467,0,17,0,17,33,0,17,67,0,50,33,0,50,17,0,0,0,0,0,0,0,0,17,0,2200,0,0,0,33,0,33,0,0,0,0,183,0,33,0,0,0,0,0,0,0,100,0,0,0,17,0,0,0,0,17,0,0,0,17,0,0,0,0,17,0,0,0,0,50,0,0,0,17,0,0,0,0,0,0,0,0,0,0,33,0,17,67,33,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S03A",0,0,0,0,317,0,0,17,0,300,333,0,0,0,0,0,0,0,0,0,0,0,17,17,0,17,33,0,0,0,0,0,0,0,0,33,0,3850,0,0,0,83,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,0,133,0,0,0,33,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,100,783,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S04B",67,250,133,50,83,0,150,0,33,0,133,0,0,0,167,0,0,33,0,117,0,0,50,0,67,0,67,0,0,0,0,0,0,50,0,17,0,2533,0,0,0,150,167,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,17,17,0,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S03B",67,200,0,50,533,0,17,167,0,117,83,0,0,0,433,0,50,100,0,0,0,83,50,83,50,17,17,100,0,0,0,0,0,50,100,100,0,5333,0,67,0,267,117,0,0,0,0,0,117,0,0,0,0,17,33,0,0,0,83,0,0,183,0,83,0,0,0,17,0,0,0,0,0,0,17,0,50,0,0,0,0,33,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,600,17,33,33,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G06A",0,0,0,33,300,0,0,0,0,0,67,0,0,0,167,0,533,0,50,0,117,117,67,50,117,0,67,0,0,0,0,0,0,0,0,67,0,2200,0,0,0,367,300,0,0,67,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,217,0,117,0,0,0,183,0,0,0,0,0,0,0,0,117,0,0,0,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G05A",0,0,117,17,133,0,0,50,0,67,0,0,0,0,17,0,200,100,17,67,183,0,0,17,33,67,150,33,0,0,0,0,0,0,0,0,17,600,0,0,0,33,250,0,0,0,33,0,0,0,0,0,0,0,17,0,17,0,0,0,0,150,0,117,0,0,0,183,0,0,0,0,0,0,0,0,167,0,0,0,0,17,17,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,100,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
