Codigo,ID,Transecto,No.Estacion,Estacion,Sector,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,pH,OD,Transparencia,SST,TSI_SECCHI,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Temperatura_IQR,Salinidad_IQR,Oxigeno_IQR,Densidad_IQR,Temperatura_Sup,Salinidad_Sup,Densidad_Sup
A01A,1,Amarales,1,A01,Oceanico,2.849301,-78.222562,4/05/2021,10:39:00,Alta,0.06,0.38,0.13,8.41,8.29,7.73,13,49.85,23,23.0109,34.0329,4.1732,1023.2344,7.66285,2.2866,1.5363,4.1626,27.5963,29.1131,1018.161
A01B,2,Amarales,1,A01,Oceanico,2.849301,-78.222562,4/05/2021,16:54:00,Baja,0.2,0.66,0.06,24.29,8.25,7.52,4,14.67,40,27.1831,32.5467,5.1191,1020.9157,6.97695,2.4813,1.55245,4.02275,28.7184,28.3532,1017.3105
A02A,3,Amarales,2,A02,Oceanico,2.816773,-78.22249,4/05/2021,11:00:00,Alta,0.13,0.7,0.06,11.22,8.26,7.41,8.5,24,29,26.6886,32.6441,4.446,1021.0454,6.2782,2.5423,1.0585,3.8008,27.9126,26.0307,1015.8097
A02B,4,Amarales,2,A02,Oceanico,2.816773,-78.22249,4/05/2021,16:35:00,Baja,0.27,0.46,0.13,16.76,8.25,7.19,5.5,18.25,35,27.8378,31.9342,5.3894,1020.25195,1.601175,1.23695,1.1687,1.41235,30.0171,26.0718,1015.046
A03A,5,Amarales,3,A03,Oceanico,2.784222,-78.222462,3/05/2021,9:29:00,Alta,0.49,1.51,0.24,25.38,8.28,7.81,2.5,17.3,47,26.89,32.5875,4.95485,1020.9875,2.3932,1.1618,0.44835,1.7923,26.7658,26.6651,1016.5468
A03B,6,Amarales,3,A03,Oceanico,2.784222,-78.222462,3/05/2021,15:46:00,Baja,0.56,1.06,0.23,19.84,8.23,6.48,2,28,50,27.8251,31.595,5.2745,1019.9367,0.3937,2.3558500000000002,0.335875,1.79015,26.5634,12.9911,1006.6157
A04A,7,Amarales,4,A04,Costero,2.751671,-78.222434,3/05/2021,9:07:00,Alta,0.15,0.47,0.19,8.32,8.23,7.58,6,23.05,34,27.6652,32.1568,5.17185,1020.3084,0.227,0.3987,0.630625,0.3904,27.0485,29.0194,1018.3309
A04B,8,Amarales,4,A04,Costero,2.751671,-78.222434,3/05/2021,15:17:00,Baja,0.5,1.06,0.33,17.21,8.2,6.39,2,28.3,50,27.8967,31.5339,5.2179,1019.8541,0.1231,1.6748,0.201075,1.09795,27.2907,30.1194,1019.0881
A05A,9,Amarales,5,A05,Costero,2.71912,-78.222406,3/05/2021,8:43:00,Alta,0.54,1.13,0.26,19.21,8.16,6.84,1.6,25.85,53,27.66545,30.3409,4.97285,1019.0577,0.497825,3.30835,0.4753,2.1683500000000002,26.7885,28.3586,1017.9209
A05B,10,Amarales,5,A05,Costero,2.71912,-78.222406,3/05/2021,14:49:00,Baja,0.64,1.24,0.37,20.3,8.19,6.31,1.5,35.95,54,27.72615,28.60945,4.88985,1017.68245,0.095225,1.354725,0.079075,1.002875,27.4224,29.5563,1018.581
A06A,11,Amarales,6,A06,Costero,2.686569,-78.222378,3/05/2021,8:20:00,Alta,0.77,1.17,0.38,25.2,8.14,6.33,1.8,37.75,52,27.7111,29.2132,4.8611,1018.1968,0.2304,1.89125,0.29605,1.37605,26.8459,29.0221,1018.3412
A06B,12,Amarales,6,A06,Costero,2.686569,-78.222378,3/05/2021,14:19:00,Baja,0.92,1,0.2,28.01,8.16,6.16,2,49.9,50,27.7634,25.6498,4.6622,1015.4716,0.1172,0.28785,0.29795,0.11455,27.1291,25.1681,1015.4325
G01A,13,Guascama,1,G01,Oceanico,2.784031,-78.400528,2/05/2021,8:28:00,Alta,0.05,0.27,0.06,5.41,8.21,8.06,7,20.6,32,22.8021,34.3582,4.6286,1023.716,4.97375,1.41855,1.1415,2.6807,27.5117,26.6972,1016.352
