Codigo,ID,Transecto,No.Estacion,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,TSI_Clor,TSI_SECCHI,Sector,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Oxigeno_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max,BioVol500,PesoHum500,PesoSec500,PesoSCen500,BioVol300,PesoHum300,PesoSec300,PesoSCen300
A01A,1,Amarales,1,A01,2.849301,-78.222562,04/05/2021,10:39:00,Alta,0.06,0.38,0.13,8.41,0.85,48.4,31.4,8.29,7.73,13,49.85,29,23,Oceanico,23.629305594405594,33.35830769230769,4.429786013986014,1022.5884783216783,36.5,23.0109,34.0329,4.1732,1023.2344,36.5,143,143,143,143,143,3.604694425383519,1.3656765001673807,0.7649909733980387,2.1331084508901883,20.71231517720798,18.989,29.1131,3.0036,1018.161,1,27.8242,34.8715,5.5377,1025.2425,72,58.7655,67.5804,4.7894,3.9814,123.0642,75.946,5.4302,4.7534
A01B,2,Amarales,1,A01,2.849301,-78.222562,04/05/2021,16:54:00,Baja,0.2,0.66,0.06,24.29,1.7,45.5,29.3,8.25,7.52,4,14.67,36,40,Oceanico,24.925926618705034,32.63176474820144,4.776714814814815,1021.6619071942446,35.5,27.1831,32.5467,5.1191,1020.9157,35.5,139,139,139,139,139,3.3570632176978203,1.8671432336734783,0.7668960915934253,2.3882361373865155,20.134961302835094,19.5587,26.3101,3.4588,1015.5157,1,29.0835,34.7949,5.7862,1025.0283,70,151.1616,100.3146,7.6715,6.4622,1016.1871,796.9701,53.172,47.2781
A02A,3,Amarales,2,A02,2.816773,-78.22249,04/05/2021,11:00:00,Alta,0.13,0.7,0.06,11.22,0.83,48.2,31.3,8.26,7.41,8.5,24,29,29,Oceanico,24.765406422018348,32.85191926605505,4.50558623853211,1021.8380266055046,28,26.6886,32.6441,4.446,1021.0454,28,109,109,109,109,109,3.2284924978051754,1.6506331075208387,0.7116204812580267,2.149817653406152,15.804798849294686,19.6752,26.0307,1.6455,1015.8097,1,27.9672,35.1583,5.6368,1025.0151,55,236.8986,188.0637,12.8433,6.1594,440.3149,365.4431,25.8135,20.7498
A02B,4,Amarales,2,A02,2.816773,-78.22249,04/05/2021,16:35:00,Baja,0.27,0.46,0.13,16.76,1.86,45.6,29.5,8.25,7.19,5.5,18.25,37,35,Oceanico,26.760786274509805,31.969043137254904,5.174452631578947,1020.5767852941176,26.25,27.8378,31.9342,5.3894,1020.2519500000001,26.25,102,102,102,102,102,2.140998028913092,1.682826776911709,0.5496753321893472,1.8848875437420298,14.794424625513491,21.6692,26.0718,4.2724,1015.046,1,30.0171,34.461,5.7999,1024.2534,51.5,69.9332,73.6513,4.7788,4.2776,783.9458,919.1568,54.739,49.4082
A03A,5,Amarales,3,A03,2.784222,-78.222462,03/05/2021,9:29:00,Alta,0.49,1.51,0.24,25.38,0.5,48,31,8.28,7.81,2.5,17.3,24,47,Oceanico,26.307468493150687,32.374168493150684,4.893904166666666,1021.0089547945206,19,26.89,32.5875,4.95485,1020.9875,19,73,73,73,73,73,1.5604236492835946,1.6927040963332993,0.417473652516868,1.6067058931968952,10.608565721466153,22.8963,26.3669,3.8106,1016.2367,1,27.9678,34.8675,5.6264,1024.0066,37,243.7542,204.4793,16.819,14.7471,75.4304,77.4105,7.0527,5.3556
A03B,6,Amarales,3,A03,2.784222,-78.222462,03/05/2021,15:46:00,Baja,0.56,1.06,0.23,19.84,1.6,45.1,28.9,8.23,6.48,2,28,35,50,Oceanico,27.412946268656718,31.00572686567164,5.1657712121212125,1019.6434432835821,17.5,27.8251,31.595,5.2745,1019.9367,17.5,67,67,67,67,67,0.8746078236850031,2.657057761919449,0.4083311483305795,2.066478859127132,9.742518497116988,24.7979,12.9911,3.9206,1006.6157,1,27.9243,33.7753,5.8218,1022.515,34,33.7523,29.3138,3.8984,3.0546,760.9745,626.2277,52.5254,39.4801
A04A,7,Amarales,4,A04,2.751671,-78.222434,03/05/2021,9:07:00,Alta,0.15,0.47,0.19,8.32,0.5,47.9,30.8,8.23,7.58,6,23.05,24,34,Costero,27.685185185185183,31.74971111111111,5.0808136363636365,1020.0872703703703,7.5,27.6652,32.1568,5.17185,1020.3084,7.5,27,27,27,27,27,0.18601769498895204,0.8608731606444403,0.351141841229919,0.6153556806463244,3.968626966596886,27.0485,29.0194,4.4429,1018.3309,1,27.9436,32.3155,5.451,1020.5859,14,416.525,201.1656,17.3499,13.1366,759.5948,563.6953,41.5308,36.6125
A04B,8,Amarales,4,A04,2.751671,-78.222434,03/05/2021,15:17:00,Baja,0.5,1.06,0.33,17.21,1.5,43.2,27.4,8.2,6.39,2,28.3,35,50,Costero,27.82998695652174,30.87352608695652,5.162738888888889,1019.3864608695652,6.5,27.8967,31.5339,5.2179,1019.8541,6.5,23,23,23,23,23,0.144023581731818,1.2851218107165743,0.13056658945168845,0.9446966332393448,3.391164991562634,27.2907,28.0665,4.8781,1017.2762,1,27.9204,31.8749,5.3069,1020.1235,12,86.4725,51.0476,4.338,3.7327,121.4865,18.9367,2.3386,1.9286
A05A,9,Amarales,5,A05,2.71912,-78.222406,03/05/2021,8:43:00,Alta,0.54,1.13,0.26,19.21,0.57,44.4,28.3,8.16,6.84,1.6,25.85,25,53,Costero,27.528133333333333,29.577175,4.866225,1018.5132666666666,3.75,27.66545,30.340899999999998,4.972849999999999,1019.0577000000001,3.75,12,12,12,12,12,0.329734919245289,2.0031435686417765,0.34736153061982195,1.4159823665654399,1.8027756377319946,26.7885,26.6379,4.2866,1016.3502,1,27.8392,31.5669,5.245,1019.884,6.5,366.5152,222.6885,43.936,40.225,337.7564,230.3124,21.4851,19.4022
A05B,10,Amarales,5,A05,2.71912,-78.222406,03/05/2021,14:49:00,Baja,0.64,1.24,0.37,20.3,3,42,26.7,8.19,6.31,1.5,35.95,41,54,Costero,27.6894875,28.74825,4.947025,1017.81985,2.75,27.72615,28.60945,4.88985,1017.68245,2.75,8,8,8,8,8,0.1213111517368223,1.0963082582662855,0.13843955058676935,0.8350934815080217,1.224744871391589,27.4224,27.5804,4.8552,1016.9223,1,27.7833,30.7672,5.1532,1019.2961,4.5,66.4979,27.0979,2.3607,1.197,1256.0706,753.3468,38.3471,14.6295
