Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.150516443,27.44629546,48743.50842,46469.92508,30.16775252,1534.989466,1018.945015,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
0.45,0.451540667,27.44754325,48764.65857,46488.98265,30.18151587,1535.011897,1018.956247,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
0.75,0.752561249,27.46577481,48847.0593,46551.35608,30.22675299,1535.106222,1018.985723,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
1.05,1.05357467,27.47328672,48893.57786,46589.01787,30.25403984,1535.15718,1019.005119,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
1.35,1.354572708,27.49705453,49091.7049,46756.62791,30.37579089,1535.344801,1019.09027,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
1.65,1.655550476,27.50937446,49209.36497,46857.69491,30.44920859,1535.455342,1019.142767,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
1.95,1.956524087,27.50874631,49159.93361,46811.18582,30.41530575,1535.423194,1019.11881,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
2.25,2.257500971,27.507372,49159.62409,46812.1163,30.41590263,1535.42576,1019.120989,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
2.55,2.558470178,27.53596557,49298.097,46918.42671,30.49315371,1535.577276,1019.17119,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
2.85,2.859407041,27.56403619,49664.8902,47242.27228,30.72880452,1535.894656,1019.34046,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
3.15,3.16030795,27.58861798,49844.41431,47390.87679,30.83699032,1536.069541,1019.415144,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
3.45,3.461177109,27.6162417,50155.95856,47662.04973,31.03461693,1536.345592,1019.556001,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
3.75,3.762010599,27.65506047,50409.09975,47867.28882,31.18430418,1536.596236,1019.657282,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
4.05,4.062813933,27.67940064,50643.96486,48068.09136,31.33085665,1536.810778,1019.760826,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
4.35,4.363585409,27.70954993,50905.95318,48289.11767,31.49229917,1537.054025,1019.873685,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
4.65,4.66432694,27.74009568,51125.9754,48469.74084,31.62431058,1537.267015,1019.964308,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
4.95,4.965048457,27.75898749,51240.98145,48561.37683,31.69127658,1537.38514,1020.009821,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
5.25,5.265749493,27.7827895,51456.61509,48743.74354,31.82469087,1537.584308,1020.103648,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
5.55,5.566426975,27.79793407,51605.80417,48871.04494,31.9178471,1537.721555,1020.170023,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
5.85,5.867085961,27.82108359,51754.66258,48990.5347,32.00532075,1537.870713,1020.229553,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
6.15,6.167729275,27.83643416,51867.47519,49083.05794,32.07305967,1537.981554,1020.276769,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
6.45,6.468359533,27.85198562,51970.23511,49165.83029,32.13366964,1538.085303,1020.318565,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
6.75,6.768983255,27.86112127,51988.1781,49174.3051,32.13980218,1538.117258,1020.321516,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
7.05,7.069599806,27.86306043,52077.45275,49256.94079,32.20033089,1538.190455,1020.367635,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
7.35,7.370202373,27.87131725,52182.76973,49348.84588,32.26767923,1538.284961,1020.416839,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
7.65,7.670796582,27.88060372,52210.55016,49366.44676,32.28051275,1538.324295,1020.424771,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
7.95,7.971387054,27.88458239,52248.7861,49398.88313,32.30423515,1538.363246,1020.442592,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
8.25,8.271973089,27.88951079,52278.71807,49422.57669,32.32154278,1538.397554,1020.455289,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
8.55,8.572555737,27.8871242,52293.03877,49438.34588,32.33303477,1538.409396,1020.46598,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
8.85,8.873136054,27.88957478,52305.23558,49447.58565,32.33973429,1538.426989,1020.47151,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
9.15,9.173716,27.89178128,52301.38123,49441.87922,32.33546233,1538.432473,1020.46888,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
