eventID,parentEventID,eventDate,eventTime,institutionCode,fieldNumber,fieldNotes,samplingProtocol,samplingEffort,sampleSizeValue,sampLitroseSizeUnit,country,stateProvince,"
verbatimCoordinates",verbatimCoordinateSystem,decimalLatitude,decimalLongitude,geodeticDatum
CCCP:EXP.PACÍFICO:S06:2021:01:RC,EXP. PACÍFICO,2021-04-29,10:33:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°40´12.731"" N 78°19´10.102"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S06:2021:01:RB,EXP. PACÍFICO,2021-04-29,10:52:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°40´12.731"" N 78°19´10.102"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S05:2021:02:RC,EXP. PACÍFICO,2021-04-29,11:18:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°42´09.912"" N 78°19´10.208"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S05:2021:02:RB,EXP. PACÍFICO,2021-04-29,11:49:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°42´09.912"" N 78°19´10.208"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S06:2021:03:RC,EXP. PACÍFICO,2021-04-29,16:23:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°40´12.731"" N 78°19´10.102"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S06:2021:03:RB,EXP. PACÍFICO,2021-04-29,16:40:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°40´12.731"" N 78°19´10.102"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S05:2021:04:RC,EXP. PACÍFICO,2021-04-29,17:09:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°42´09.912"" N 78°19´10.208"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S05:2021:04:RB,EXP. PACÍFICO,2021-04-29,17:30:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°42´09.912"" N 78°19´10.208"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S04:2021:05:RC,EXP. PACÍFICO,2021-04-30,6:38:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°44´7.094"" N 78°19´10.314"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S04:2021:05:RB,EXP. PACÍFICO,2021-04-30,6:50:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°44´7.094"" N 78°19´10.314"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S03:2021:06:RC,EXP. PACÍFICO,2021-04-30,7:05:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°46´4.276"" N 78°19´10.422"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S03:2021:06:RB,EXP. PACÍFICO,2021-04-30,7:13:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°46´4.276"" N 78°19´10.422"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S04:2021:07:RC,EXP. PACÍFICO,2021-04-30,11:59:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°44´7.094"" N 78°19´10.314"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S04:2021:07:RB,EXP. PACÍFICO,2021-04-30,12:27:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°44´7.094"" N 78°19´10.314"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S03:2021:08:RC,EXP. PACÍFICO,2021-04-30,12:40:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°46´4.276"" N 78°19´10.422"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:S03:2021:08:RB,EXP. PACÍFICO,2021-04-30,7:13:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°46´4.276"" N 78°19´10.422"" W","Grados, minutos, segundos",2,-78.11,WGS84
CCCP:EXP.PACÍFICO:G06:2021:09:RC,EXP. PACÍFICO,2021-05-01,6:42:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°37´16.676"" N 78°24´1.235"" W","Grados, minutos, segundos",2,-78.14,WGS84
CCCP:EXP.PACÍFICO:G06:2021:09:RB,EXP. PACÍFICO,2021-05-01,6:53:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°37´16.676"" N 78°24´1.235"" W","Grados, minutos, segundos",2,-78.14,WGS84
CCCP:EXP.PACÍFICO:G05:2021:10:RC,EXP. PACÍFICO,2021-05-01,7:09:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°39´13.855"" N 78°24´1.346"" W","Grados, minutos, segundos",2,-78.14,WGS84
CCCP:EXP.PACÍFICO:G05:2021:10:RB,EXP. PACÍFICO,2021-05-01,7:21:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,"Red Bongo, arrastre superficial 300 & 500µm",1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°39´13.855"" N 78°24´1.346"" W","Grados, minutos, segundos",2,-78.14,WGS84
CCCP:EXP.PACÍFICO:G04:2021:11:RC,EXP. PACÍFICO,2021-05-01,7:33:00,CCCP,Solicitud-17,Cadena de custodia de la solicitud 17,Red Cónica Simple 50 µm,1 arrastre durante 5 min a 2 nudos de velocidad,1,Litros,Colombia,Nariño,"2°41´11.034"" N 78°24´1.459"" W","Grados, minutos, segundos",2,-78.14,WGS84
