occurrenceID	basisOfRecord	institutionID	collectionCode	collectionID	catalogNumber	type	language	license	rightsHolder	accessRights	ownerInstitutionCode	dynamicProperties	occurrenceRemarks	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	disposition	parentEventID	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	habitat	fieldNumber	fieldNotes	continent	waterBody	country	countryCode	stateProvince	locality	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	georeferencedBy	georeferencedDate	identifiedBy	dateIdentified	scientificNameID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	genus	specificEpithet	scientificNameAuthorship	taxonomicStatus	taxonRemarks
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:01	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:159319	Larimus 	"Larimus Cuvier, 1830"	Animalia 	Chordata	Teleostei 	Eupercaria incertae sedis	Larimus 		"Cuvier, 1830"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:02	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:154171	Achiridae 	"Achiridae Rafinesque, 1815"	Animalia 	Chordata	Teleostei 	Pleuronectiformes 			"Rafinesque, 1815"	accepted	Family
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:03	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:268211	Achirus	"Achirus Lacepède, 1802"	Animalia 	Chordata	Teleostei 	Pleuronectiformes 	Achirus		"Lacepède, 1802"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:04	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:158697	Anchoa	"Anchoa Jordan & Evermann, 1927"	Animalia 	Chordata	Teleostei 	Clupeiformes	Anchoa		"Jordan & Evermann, 1927"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:05	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:158697	Anchoa	"Anchoa Jordan & Evermann, 1927"	Animalia 	Chordata	Teleostei 	Clupeiformes	Anchoa		"Jordan & Evermann, 1927"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:06	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	5	1637	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:280092	Cetengraulis mysticetus	"Cetengraulis mysticetus (Günther, 1867)"	Animalia 	Chordata	Teleostei 	Clupeiformes	Cetengraulis	Cetengraulis mysticetus	"(Günther, 1867)"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:07	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:276245	Chloroscombrus orqueta	"Chloroscombrus orqueta Jordan & Gilbert, 1883"	Animalia 	Chordata	Teleostei 	Carangiformes 	Chloroscombrus 	Chloroscombrus orqueta	"Chloroscombrus orqueta Jordan & Gilbert, 1883"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:08	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:159304	Cynoscion 	"Cynoscion Gill, 1861"	Animalia 	Chordata	Teleostei 	Eupercaria incertae sedis	Cynoscion 		"Gill, 1861"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:09	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:159304	Cynoscion 	"Cynoscion Gill, 1861"	Animalia 	Chordata	Teleostei 	Eupercaria incertae sedis	Cynoscion 		"Gill, 1861"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:10	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	0	0	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Andres Cuellar	2023-05-10	urn:lsid:marinespecies.org:taxname:151456	Gerreidae 	"Gerreidae Bleeker, 1859"	Animalia 	Chordata	Teleostei 	Eupercaria incertae sedis			"Bleeker, 1859"	accepted	Family
