occurrenceID	basisOfRecord	institutionID	collectionCode	collectionID	catalogNumber	type	language	license	rightsHolder	accessRights	ownerInstitutionCode	dynamicProperties	occurrenceRemarks	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	disposition	parentEventID	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	habitat	fieldNumber	fieldNotes	continent	waterBody	country	countryCode	stateProvince	locality	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	georeferencedBy	georeferencedDate	identifiedBy	dateIdentified	scientificNameID	scientificName	acceptedNameUsage	kingdom	phylum	class	subclasss	superorder	order	subfamily	genus	specificEpithet	scientificNameAuthorship	taxonomicStatus	taxonRemarks
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:01	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	54	883767	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-28	urn:lsid:marinespecies.org:taxname:106671	Anomura	"Anomura MacLeay, 1838"	Animalia	Arthropoda	Malacostraca	Eumalacostraca	Eucarida	Decapoda				"MacLeay, 1838"	accepted	Infraorden Anomura
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:02	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	7974	130502905	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-28	urn:lsid:marinespecies.org:taxname:836539	Coscinodiscopsis	Coscinodiscopsis E.A.Sar & I.Sunesen 2008	Chromista	Ochrophyta 	Bacillariophyceae 	Coscinodiscophycidae	Coscinodiscanae 	Coscinodiscales	Coscinodiscaceae 	Coscinodiscopsis 		E.A.Sar & I.Sunesen 2008	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:03	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	268	4386102	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-28	urn:lsid:marinespecies.org:taxname:106673	Brachyura	"Brachyura Latreille, 1802"	Animalia	Arthropoda	Malacostraca	Eumalacostraca	Eucarida	Decapoda				"Latreille, 1802"	accepted	Infraorden Brachyura
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:04	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	88	1440213	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-28	urn:lsid:marinespecies.org:taxname:1100	Calanoida	"Calanoida Sars G. O., 1903"	Animalia 	Arthropoda 	Hexanauplia 	Copepoda	Gymnoplea 	Calanoida				"Sars G. O., 1903"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:05	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	3	49098	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-28	urn:lsid:marinespecies.org:taxname:1078	Ostracoda	"Ostracoda Latreille, 1802"	Animalia	Arthropoda	Ostracoda							"Latreille, 1802"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020901:06	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	6	98196	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-28	urn:lsid:marinespecies.org:taxname:128636	Farranula	"Farranula Wilson C.B., 1932"	Animalia	Arthropoda	Hexanauplia	Copepoda	Podoplea	Cyclopoida 	Corycaeidae 	Farranula 		"Wilson C.B., 1932"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020902:01	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	3	1964	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-28	urn:lsid:marinespecies.org:taxname:883	Polychaeta	"Polychaeta Grube, 1850"	Animalia	Annelida	Polychaeta							"Grube, 1850"	accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21020903:01	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21020901	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210209	Fredy A. CastrillónValencia	4	2619	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 300µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-28	urn:lsid:marinespecies.org:taxname:11014	Perciformes	Perciformes	Animalia	Chordata 	Actinopteri	Teleostei 		Perciformes					accepted	
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21021001:01	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21021001	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210210	Fredy A. CastrillónValencia	82	30988	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 500µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-30	urn:lsid:marinespecies.org:taxname:106671	Anomura	"Anomura MacLeay, 1838"	Animalia	Arthropoda	Malacostraca	Eumalacostraca	Eucarida	Decapoda				"MacLeay, 1838"	accepted	Infraorden Anomura
CCCP:CBCCCP:ZooplEXP.PACÍFICOSP21021001:02	PreservedSpecimen	Centro de Investigaciones Oceanográficas e Hidrográficas del Pacífico (CCCP)	CBCCCP	RNC:138	ZooplEXP.PACÍFICOSP21021001	PhysicalObject	es	Creative Commons Attribution Non Commercial (CCBYNC) 4.0 License	Centro de Investigaciones Oceanograficas e Hidrográficas del Pacífico (CCCP)	Sólo para uso no comercial citando la fuente	ColombiaNIT:840.000.1013	Expedicion Pacifico20211  Bocas de Sanquianga	Lote de microorganismos	SP210210	Fredy A. CastrillónValencia	2	756	Ind.1000m^3	En Colección	EXP.PACÍFICO	CCCP:EXP.PACÍFICO:S06:2021:01:RB	"Red Bongo, arrastre superficial 500µm"	1	L	1 arrastre durante 5 min a 2 nudos de velocidad	2021-04-29	10:52:00	Superficie agua	Solicitud17	Cadena de custodia de la solicitud 17	América del Sur	Boca de Sanquianga	Colombia	CO	Nariño	Desembocadura del río Sanquianga	1	0	1	"2°40´12,731"" N,78°19´10,102"" W"	"2°40´12,731"" N"	"78°19´10,102"" W"	"Grados, minutos, segundos"	2	78.11	WGS84	Fredy A. CastrillónValencia	2021-04-29	Fabio ChaverraCastañeda	2021-09-30	urn:lsid:marinespecies.org:taxname:1128	Euphausiacea	"Euphausiacea Dana, 1852"	Animalia	Arthropoda	Malacostraca	Eumalacostraca 	Eucarida 	Euphausiacea				"Dana, 1852"	accepted	
