occurrenceID,eventID,measurementID,measurementType,measurementValue,measurementAccuracy,measurementUnit,measurementDeterminedDate,measurementDeterminatedBy,measurementMethod,measurementRemarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0209-01,CCCP:EXP.PACÍFICO:S06:2021:01:RB,ZV00C00E,Biovolumen_300µm,2291.2474,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0213-01,CCCP:EXP.PACÍFICO:S05:2021:02:RB,ZV00C00E,Biovolumen_300µm,853.6887,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0217-01,CCCP:EXP.PACÍFICO:S06:2021:03:RB,ZV00C00E,Biovolumen_300µm,918.8795,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0220-01,CCCP:EXP.PACÍFICO:S05:2021:04:RB,ZV00C00E,Biovolumen_300µm,1722.8990,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0223-01,CCCP:EXP.PACÍFICO:S04:2021:05:RB,ZV00C00E,Biovolumen_300µm,3158.6482,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0226-01,CCCP:EXP.PACÍFICO:S03:2021:06:RB,ZV00C00E,Biovolumen_300µm,988.3645,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0229-01,CCCP:EXP.PACÍFICO:S04:2021:07:RB,ZV00C00E,Biovolumen_300µm,858.0083,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0233-01,CCCP:EXP.PACÍFICO:S03:2021:08:RB,ZV00C00E,Biovolumen_300µm,95.2356,"±0,10 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0237-01,CCCP:EXP.PACÍFICO:G06:2021:09:RB,ZV00C00E,Biovolumen_300µm,1410.5848,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCP:CB-CCCP:Zoopl-EXP.PACÍFICO-SP-21-0240-01,CCCP:EXP.PACÍFICO:G05:2021:10:RB,ZV00C00E,Biovolumen_300µm,831.8313,"±0,5 ml",ml.1000m¯³,2021-11-16,Laura C. Ortiz-Mieles,Probeta,Profundidad superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
