ID,Transecto,No.Estacion,Estacion,latitud,longitud,Fecha,Hora,Marea,Codigo,Clorofila
1,Amarales,1,A01,2.849301,-78.222562,4/05/2021,10:39:00,Alta,A01A,0.85
2,Amarales,1,A01,2.849301,-78.222562,4/05/2021,16:54:00,Baja,A01B,1.7
3,Amarales,2,A02,2.816773,-78.22249,4/05/2021,11:00:00,Alta,A02A,0.83
4,Amarales,2,A02,2.816773,-78.22249,4/05/2021,16:35:00,Baja,A02B,1.86
5,Amarales,3,A03,2.784222,-78.222462,3/05/2021,9:29:00,Alta,A03A,0.5
6,Amarales,3,A03,2.784222,-78.222462,3/05/2021,15:46:00,Baja,A03B,1.6
7,Amarales,4,A04,2.751671,-78.222434,3/05/2021,9:07:00,Alta,A04A,0.5
8,Amarales,4,A04,2.751671,-78.222434,3/05/2021,15:17:00,Baja,A04B,1.5
9,Amarales,5,A05,2.71912,-78.222406,3/05/2021,8:43:00,Alta,A05A,0.57
10,Amarales,5,A05,2.71912,-78.222406,3/05/2021,14:49:00,Baja,A05B,3
11,Amarales,6,A06,2.686569,-78.222378,3/05/2021,8:20:00,Alta,A06A,4.6
12,Amarales,6,A06,2.686569,-78.222378,3/05/2021,14:19:00,Baja,A06B,4.73
13,Guascama,1,G01,2.784031,-78.400528,2/05/2021,8:28:00,Alta,G01A,0.79
14,Guascama,1,G01,2.784031,-78.400528,2/05/2021,14:43:00,Baja,G01B,1.57
15,Guascama,2,G02,2.751498,-78.400469,2/05/2021,8:01:00,Alta,G02A,0.74
16,Guascama,2,G02,2.751498,-78.400469,2/05/2021,14:20:00,Baja,G02B,1.47
17,Guascama,3,G03,2.718948,-78.400437,2/05/2021,7:38:00,Alta,G03A,0.69
18,Guascama,3,G03,2.718948,-78.400437,2/05/2021,13:46:00,Baja,G03B,0.94
19,Guascama,4,G04,2.686398,-78.400405,1/05/2021,7:33:00,Alta,G04A,0.32
20,Guascama,4,G04,2.686398,-78.400405,1/05/2021,13:55:00,Baja,G04B,1.34
21,Guascama,5,G05,2.653849,-78.400374,1/05/2021,7:09:00,Alta,G05A,0.73
22,Guascama,5,G05,2.653849,-78.400374,1/05/2021,13:28:00,Baja,G05B,1.57
23,Guascama,6,G06,2.621299,-78.400343,1/05/2021,6:42:00,Alta,G06A,0.86
24,Guascama,6,G06,2.621299,-78.400343,1/05/2021,12:54:00,Baja,G06B,1.38
25,Sanquianga,1,S01,2.832936,-78.319656,4/05/2021,9:58:00,Alta,S01A,1.13
26,Sanquianga,1,S01,2.832936,-78.319656,4/05/2021,16:03:00,Baja,S01B,0.81
27,Sanquianga,2,S02,2.800405,-78.319592,4/05/2021,9:33:00,Alta,S02A,1.07
28,Sanquianga,2,S02,2.800405,-78.319592,4/05/2021,15:40:00,Baja,S02B,0.84
29,Sanquianga,3,S03,2.767854,-78.319562,30/04/2021,7:05:00,Alta,S03A,0.75
30,Sanquianga,3,S03,2.767854,-78.319562,30/04/2021,12:40:00,Baja,S03B,1.23
31,Sanquianga,4,S04,2.735304,-78.319532,30/04/2021,6:38:00,Alta,S04A,0.73
32,Sanquianga,4,S04,2.735304,-78.319532,30/04/2021,11:59:00,Baja,S04B,2.39
33,Sanquianga,5,S05,2.702753,-78.319502,29/04/2021,17:09:00,Alta,S05A,1.14
34,Sanquianga,5,S05,2.702753,-78.319502,29/04/2021,11:18:00,Baja,S05B,3.64
35,Sanquianga,6,S06,2.670203,-78.319473,29/04/2021,16:23:00,Alta,S06A,1.57
36,Sanquianga,6,S06,2.670203,-78.319473,29/04/2021,10:33:00,Baja,S06B,4.99
