Estaciones,Transecto,Sector,Marea,samUnits,Actinocyclus ,Actinoptychus senarius,Alexandrium ,Asteromphalus ,Asteromphalus flabellatus,Aulacodiscus archangelskianus,Aulacodiscus kittonii,Bacillaria paxillifera,Bacteriastrum delicatulum,Bacteriastrum furcatum,Bacteriastrum hyalinum,Cerataulina bicornis,Cerataulina dentata,Cerataulina pelagica,Ceratocoris horrida,Chaetoceros ,Chaetoceros affinis,Chaetoceros brevis,Chaetoceros coarctatus,Chaetoceros compressus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros denticulatus,Chaetoceros diversus,Chaetoceros lacinosus,Chaetoceros lorenzianus,Chaetoceros paradoxus,Chaetoceros peruvianus,Chaetoceros protuberans,Chaetoceros pseudocurvisetus,Chaetoceros radicans,Chaetoceros subtilis,Climacodium frauenfeldianum,Coscinodiscopsis ,Coscinodiscopsis jonesiana,Coscinodiscus  ,Coscinodiscus aff asteromphalus,Coscinodiscus centralis,Coscinodiscus gigas,Coscinodiscus granii,Coscinodiscus marginatus,Coscinodiscus perforatus,Coscinodiscus radiatus,Coscinodiscus wailesii,Cyclotella striata,Dinophysis caudata,Diploneis gruendleri,Ditylum brightwellii ,Entomoneis,Eucampia zodiacus,Gonyaulax,Gonyaulax polygramma,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gyrodinium spirale,Gyrosigma ,Hemiaulus membranaceus,Hemiaulus sinensis,Hobaniella longicruris,Leptocylindrus danicus,Lioloma elongatum,Lioloma pacificum,Lithodesmium undulatum,Lyrella ,Melosira ,Meuniera membranacea ,Navicula ,Neocalyptrella robusta,Neodelphineis pelagica,Nitzschia  ,Nitzschia closterium,Nitzschia sigmaformis,Nitzschia sigmoidea,Odontella ,Odontella aurita,Ornithocercus,Ornithocercus steinii,Ornithocercus thumii,Phaeodactylum,Phalacroma ,Phalacroma mitra,Phalacroma rapa,Plagiotropis ,Planktoniella muriformis,Podolampas bipes,Proboscia alata,Prorocentrum ,Prorocentrum compressum,Prorocentrum cordatum,Prorocentrum lima,Prorocentrum mexicanum,Prorocentrum rhathymum,Protoperidinium,Protoperidinium ,Protoperidinium  ,Protoperidinium pyriforme,Protoperidinium pyrum,Pseudonitzschia ,Pseudosolenia calcar-avis,Pyrocistis ,Pyrodinium bahamense,Pyrophacus ,Rhizosolenia bergonii,Rhizosolenia cf. habetata,Rhizosolenia imbricata,Rhizosolenia setigera,Scripsiella ,Skeletonema costatum,Skeletonema pseudocostatum,Skeletonema tropicum,Stellarima ,Stephanopyxis turris,Streptotheca tamesis,Surirella ,Synedra ,Thalassionema ,Thalassionema frauenfeldii,Thalassionema nitzschioides/pseudonitzschioides,Thalassiosira ,Trieres chinensis,Trieres mobiliensis,Tripos ,Tripos arietinus,Tripos brevis,Tripos candelabrum,Tripos declinatum,Tripos eugrammus,Tripos extensus,Tripos fusus,Tripos karstenii,Tripos lunula ,Tripos macroceros,Tripos massiliensis,Tripos muelleri,Tripos pentagonus,Tripos teres ,Tripos trichoceros,Tripos vultur
A01A,Amarales,Oceanico,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,133,0,66,0,0,0,0,0,0,0,0,50,0,0,0,66,16,0,0,0,50,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,33,0,0,200,0,0,0,0,0,0,0,0,66,0,0,50,0,0,0,0,0,0,16,0,0,0,16,0,50,50,0,0,0,0
A01B,Amarales,Oceanico,Baja,6,0,0,0,0,0,0,0,0,0,33,0,0,0,50,0,0,33,0,0,0,150,100,83,0,83,0,116,0,16,0,0,0,0,0,0,16,116,0,0,66,133,0,33,16,16,0,33,0,50,0,0,16,16,0,33,0,0,0,16,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,83,183,16,0,83,0,0,0,0,0,0,0,0,16,2266,0,816,0,0,0,0,0,0,0,100,0,116,0,0,16,0,0,0,100,0,16,0,0,0,33,233,0,0,0,0
A02A,Amarales,Oceanico,Alta,6,0,0,0,0,0,0,0,0,0,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,66,0,0,0,0,0,0,0,0,0,0,0,0,83,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,33,0,0,0,0,0,16,0,0,0,0,50,0,0,166,0,0,0,0,0,0,0,0,0,50,16,33,0,0,0,0,0,0,0,0,0,0,0,16,0,66,0,0,0,0
A02B,Amarales,Oceanico,Baja,6,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,116,0,0,0,0,0,166,0,0,0,0,0,0,0,0,83,0,0,0,83,250,0,33,0,0,0,200,0,66,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,16,0,33,0,0,100,0,0,0,33,0,0,50,0,0,2650,0,650,0,0,0,0,0,0,0,33,0,266,50,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
A03A,Amarales,Oceanico,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,16,0,0,0,0,0,0,666,0,0,0,0,0,0,0,16,116,0,0,33,50,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0
A03B,Amarales,Oceanico,Baja,6,0,33,0,0,0,0,0,183,0,0,0,0,0,16,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,50,0,33,0,200,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1283,0,0,0,0,0,0,0,0,66,0,0,0,0,33,0,0,0,0,0,0,33,0,0,583,0,116,0,0,50,0,0,66,83,33,0,83,100,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
A04A,Amarales,Costero,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,50,0,33,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04B,Amarales,Costero,Baja,6,0,17,0,0,0,0,0,0,0,0,66,0,0,0,0,233,200,0,0,0,0,0,0,0,0,0,66,0,50,0,0,0,0,0,0,266,0,33,0,0,66,0,83,0,0,0,100,0,66,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,133,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,50,200,66,33,333,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
A05A,Amarales,Costero,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,366,33,0,0,66,0,0,16,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,16,0,0,0,0,0,0,16,0,33,33,0,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
A05B,Amarales,Costero,Baja,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,66,50,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1283,200,0,0,0,116,0,16,66,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,16,0,0,0,33,0,0,0,0,0,0,0,0,0,616,0,0,0,0,16,0,0,16,66,0,66,100,100,0,0,0,0,0,33,0,0,0,0,0,16,0,0,0,0,0
A06A,Amarales,Costero,Alta,6,0,83,0,0,0,0,0,0,33,0,0,0,0,0,0,0,316,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,50,0,0,233,0,83,0,116,0,0,0,50,0,0,0,0,0,50,0,16,66,0,0,16,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,83,16,0,0,0,4133,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3866,0,0,0,0,116,0,0,16,583,133,33,533,216,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
