Estaciones,Transecto,Sector,Marea,samUnits,Actinocyclus,Actinoptychus_senarius,Alexandrium_,Asteromphalus_,Asteromphalus_flabellatus,Aulacodiscus_archangelskianus,Aulacodiscus_kittonii,Bacillaria_paxillifera,Bacteriastrum_delicatulum,Bacteriastrum_furcatum,Bacteriastrum_hyalinum,Cerataulina_bicornis,Cerataulina_dentata,Cerataulina_pelagica,Ceratocoris_horrida,Chaetoceros_,Chaetoceros_affinis,Chaetoceros_brevis,Chaetoceros_coarctatus,Chaetoceros_compressus,Chaetoceros_curvisetus,Chaetoceros_danicus,Chaetoceros_debilis,Chaetoceros_denticulatus,Chaetoceros_diversus,Chaetoceros_lacinosus,Chaetoceros_lorenzianus,Chaetoceros_paradoxus,Chaetoceros_peruvianus,Chaetoceros_protuberans,Chaetoceros_pseudocurvisetus,Chaetoceros_radicans,Chaetoceros_subtilis,Climacodium_frauenfeldianum,Coscinodiscopsis_,Coscinodiscopsis_jonesiana,Coscinodiscus__,Coscinodiscus_aff_asteromphalus,Coscinodiscus_centralis,Coscinodiscus_gigas,Coscinodiscus_granii,Coscinodiscus_marginatus,Coscinodiscus_perforatus,Coscinodiscus_radiatus,Coscinodiscus_wailesii,Cyclotella_striata,Dinophysis_caudata,Diploneis_gruendleri,Ditylum_brightwellii_,Entomoneis,Eucampia_zodiacus,Gonyaulax,Gonyaulax_polygramma,Guinardia_delicatula,Guinardia_flaccida,Guinardia_striata,Gyrodinium_spirale,Gyrosigma_,Hemiaulus_membranaceus,Hemiaulus_sinensis,Hobaniella_longicruris,Leptocylindrus_danicus,Lioloma_elongatum,Lioloma_pacificum,Lithodesmium_undulatum,Lyrella_,Melosira_,Meuniera_membranacea_,Navicula_,Neocalyptrella_robusta,Neodelphineis_pelagica,Nitzschia__,Nitzschia_closterium,Nitzschia_sigmaformis,Nitzschia_sigmoidea,Odontella_,Odontella_aurita,Ornithocercus,Ornithocercus_steinii,Ornithocercus_thumii,Phaeodactylum,Phalacroma_,Phalacroma_mitra,Phalacroma_rapa,Plagiotropis_,Planktoniella_muriformis,Podolampas_bipes,Proboscia_alata,Prorocentrum_,Prorocentrum_compressum,Prorocentrum_cordatum,Prorocentrum_lima,Prorocentrum_mexicanum,Prorocentrum_rhathymum,Protoperidinium,Protoperidinium_,Protoperidinium__,Protoperidinium_pyriforme,Protoperidinium_pyrum,Pseudonitzschia_,Pseudosolenia_calcar-avis,Pyrocistis_,Pyrodinium_bahamense,Pyrophacus_,Rhizosolenia_bergonii,Rhizosolenia_cf._habetata,Rhizosolenia_imbricata,Rhizosolenia_setigera,Scripsiella_,Skeletonema_costatum,Skeletonema_pseudocostatum,Skeletonema_tropicum,Stellarima_,Stephanopyxis_turris,Streptotheca_tamesis,Surirella_,Synedra_,Thalassionema_,Thalassionema_frauenfeldii,Thalassionema_nitzschioides/pseudonitzschioides,Thalassiosira_,Trieres_chinensis,Trieres_mobiliensis,Tripos_,Tripos_arietinus,Tripos_brevis,Tripos_candelabrum,Tripos_declinatum,Tripos_eugrammus,Tripos_extensus,Tripos_fusus,Tripos_karstenii,Tripos_lunula_,Tripos_macroceros,Tripos_massiliensis,Tripos_muelleri,Tripos_pentagonus,Tripos_teres_,Tripos_trichoceros,Tripos_vultur
A01A,Amarales,Oceanico,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
A01B,Amarales,Oceanico,Baja,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
A02A,Amarales,Oceanico,Alta,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
A02B,Amarales,Oceanico,Baja,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A03A,Amarales,Oceanico,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A03B,Amarales,Oceanico,Baja,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A04A,Amarales,Costero,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04B,Amarales,Costero,Baja,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A05A,Amarales,Costero,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A05B,Amarales,Costero,Baja,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
