Especie,Marea,Sector,Transecto,Achirus_sp1,Achiridae_sp1 ,Seriola_lalandi,Chloroscombrus_orqueta,Anchoa_sp1  ,Anchoa_sp2,Cetengraulis_mysticetus,Gerreidae_sp1 ,Gobiesox_sp1,Gobiidae_sp7,Gobulus_sp1,Gobiidae_sp8,Haemulidae_sp1,Kyphosidae_sp1,Paralichthyidae_sp1, Larimus_sp4,Menticirrhus_sp1,Larimus_sp,Stellifer_sp2,Cynoscion_sp1,Cynoscion_sp,Sciaenidae_sp1 ,Stellifer_sp1,Menticirrhus_sp2,Larimus_sp1,Stellifer_sp3,Isopisthus_remifer,Scomber_ japonicus,Scomber_sp1,Scombridae_sp1,Serranidae_sp1,Hemanthias_sp1,Sphoeroides_lobatus,NO_ID
S06B,Baja,Costero,Sanquianga,0.0,0.0,0.0,0.0,0.0,0.0,1636.6,0.0,0.0,327.3,36660.0,327.3,0.0,327.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.6,0.0,0.0,654.6,0.0,0.0,0.0,0.0,0.0,327.3
S05B,Baja,Costero,Sanquianga,0.0,0.0,0.0,0.0,0.0,0.0,284.6,0.0,0.0,853.7,0.0,0.0,0.0,0.0,0.0,284.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S04B,Baja,Costero,Sanquianga,0.0,252.4,0.0,0.0,0.0,0.0,1009.4,0.0,0.0,252.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.4,0.0,0.0,0.0,0.0,0.0,252.4,0.0,0.0,0.0,0.0,0.0,3533.0
S03B,Baja,Oceanico,Sanquianga,0.0,0.0,714.3,0.0,0.0,0.0,4285.6,0.0,0.0,0.0,0.0,0.0,238.1,0.0,0.0,0.0,238.1,238.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.3,0.0,0.0,0.0,0.0,0.0,476.2
G06B,Baja,Costero,Guascama,0.0,0.0,0.0,0.0,825.4,0.0,8584.5,0.0,165.1,0.0,330.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.5,0.0,0.0,0.0,165.1,0.0,0.0,0.0,0.0,660.3,0.0,0.0,330.2,0.0,0.0,1155.6
G05B,Baja,Costero,Guascama,0.0,0.0,0.0,0.0,0.0,0.0,24789.4,0.0,159.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.7,159.9,4318.2,799.7,0.0,319.9,0.0,0.0,319.9,0.0,0.0,0.0,0.0,0.0,1599.3
G04B,Baja,Costero,Guascama,0.0,0.0,0.0,0.0,0.0,310.2,10235.9,0.0,0.0,0.0,4032.3,0.0,2016.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1861.1,0.0,0.0,155.1,0.0,0.0,1085.6,0.0,0.0,0.0,0.0,0.0,3412.0
G03B,Baja,Oceanico,Guascama,0.0,179.5,0.0,0.0,0.0,0.0,27997.1,179.5,358.9,0.0,717.9,0.0,1076.8,0.0,1076.8,0.0,0.0,0.0,0.0,0.0,0.0,358.9,179.5,0.0,0.0,0.0,0.0,717.9,0.0,0.0,0.0,0.0,0.0,1435.7
G02B,Baja,Oceanico,Guascama,0.0,357.9,0.0,0.0,0.0,179.0,4295.0,0.0,0.0,0.0,357.9,0.0,2863.4,0.0,179.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,179.0,0.0
G01B,Baja,Oceanico,Guascama,0.0,0.0,0.0,167.3,0.0,0.0,4850.9,0.0,0.0,167.3,0.0,0.0,0.0,0.0,167.3,0.0,0.0,0.0,0.0,0.0,0.0,334.5,334.5,0.0,0.0,167.3,0.0,167.3,0.0,167.3,0.0,0.0,0.0,1338.2
A06B,Baja,Costero,Amarales,0.0,0.0,0.0,268.8,0.0,0.0,4838.8,268.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.6,0.0,0.0,0.0,0.0,0.0,268.8,0.0,0.0
