Codigo,BioVol500,PesoHum500,PesoSec500,PesoSCen500,BioVol300,PesoHum300,PesoSec300,PesoSCen300
A01A,58.7655,67.5804,4.7894,3.9814,123.0642,75.9460,5.4302,4.7534
A01B,151.1616,100.3146,7.6715,6.4622,1016.1871,796.9701,53.1720,47.2781
A02A,236.8986,188.0637,12.8433,6.1594,440.3149,365.4431,25.8135,20.7498
A02B,69.9332,73.6513,4.7788,4.2776,783.9458,919.1568,54.7390,49.4082
A03A,243.7542,204.4793,16.8190,14.7471,75.4304,77.4105,7.0527,5.3556
A03B,33.7523,29.3138,3.8984,3.0546,760.9745,626.2277,52.5254,39.4801
A04A,416.5250,201.1656,17.3499,13.1366,759.5948,563.6953,41.5308,36.6125
A04B,86.4725,51.0476,4.3380,3.7327,121.4865,18.9367,2.3386,1.9286
A05A,366.5152,222.6885,43.9360,40.2250,337.7564,230.3124,21.4851,19.4022
A05B,66.4979,27.0979,2.3607,1.1970,1256.0706,753.3468,38.3471,14.6295
A06A,372.6019,17.5631,4.4374,4.1156,188.7638,100.2808,6.3897,4.5870
A06B,75.9088,28.9845,2.2520,1.4296,1344.1056,1024.3429,58.7912,27.6079
G01A,529.3824,291.4779,21.9870,14.3286,998.4410,922.9847,58.9265,51.6971
G01B,126.6626,53.9266,6.0165,5.2090,802.9044,929.8637,70.3545,65.2694
G02A,273.2789,274.5359,29.4185,16.1371,614.8220,440.3509,29.9879,24.1318
G02B,99.0517,7.1647,2.2782,2.1131,966.3853,851.2960,67.9512,58.6453
G03A,620.1773,183.9555,14.9207,10.0323,784.2161,611.7072,33.2545,28.3438
G03B,67.6249,12.5106,2.2316,1.5723,215.3624,238.2985,19.9031,17.8212
G04A,532.2777,490.1017,37.2174,32.1888,297.5179,122.3394,13.8941,9.9073
G04B,59.3173,5.5462,1.9426,1.5571,279.1604,160.3466,16.5325,12.2986
G05A,447.6824,29.5470,4.2530,3.7431,831.8313,638.1810,42.2293,38.9297
G05B,30.4204,6.4947,2.4945,1.3385,127.9452,85.4514,8.4124,7.5488
G06A,75.9088,47.5315,4.6304,4.2762,1410.5848,1191.8986,75.1023,68.0038
G06B,29.8690,0.5078,0.4182,0.3883,66.0345,30.1282,5.5469,4.9361
S01A,101.4374,55.7906,6.5596,4.6999,401.6778,389.5544,2.8848,0.0000
S01B,643.9962,580.9613,13.6159,9.9359,1174.7039,959.2240,57.4626,50.3361
S02A,141.1161,150.5567,9.1725,7.2534,642.9818,474.1669,29.1271,24.4333
S02B,61.4822,49.8313,4.5343,3.8580,1019.5060,784.0548,51.3758,47.8440
S03A,733.6215,371.7627,36.5180,20.8675,988.3645,1001.8804,83.6651,64.0707
S03B,158.4275,10.3572,4.8716,4.5152,95.2356,497.5823,38.7609,34.8562
S04A,2333.9765,1913.1839,172.8776,120.7833,3158.6482,3070.9694,233.0819,176.8317
S04B,85.5616,59.7648,7.5080,6.3957,858.0083,612.5170,51.7581,41.3358
S05A,446.9785,332.1050,37.1216,25.7907,1722.8990,1386.7114,114.6839,90.7579
S05B,157.2771,4.5348,4.1416,3.9319,853.6887,347.8497,27.2611,23.2488
S06A,145.9709,19.6088,7.5905,6.1064,918.8795,588.4849,49.4185,39.5980
S06B,151.1616,49.2409,5.0261,3.1177,2291.2474,1772.8036,76.5277,37.3146
