OBJECTID,Id,Estacion,Latitud_De,Longitud,Latitud,Longitud_H,Cod_Estaci,Sector,Transecto,lon_M,lat_M
1,0,1,2.7840300,-78.4004974,2° 47' 2.513"" N,78° 24' 1.902"" W,G01,Oceánico,Guascama,518870.1250000,800495.1250000
2,0,1,2.8492999,-78.2226028,2° 50' 57.483"" N,78° 13' 21.223"" W,A01,Oceánico,Amarales,538738.0625000,807660.0000000
3,0,5,2.6538501,-78.4003983,2° 39' 13.855"" N,78° 24' 1.346"" W,G05,Costero,Guascama,518835.5937500,786058.6875000
4,0,2,2.8167701,-78.2225037,2° 49' 0.383"" N,78° 13' 20.965"" W,A02,Oceánico,Amarales,538733.1250000,804053.6875000
5,0,6,2.6213000,-78.4002991,2° 37' 16.676"" N,78° 24' 1.235"" W,G06,Costero,Guascama,518826.5000000,782449.1250000
6,0,6,2.6702001,-78.3195038,2° 40' 12.731"" N,78° 19' 10.102"" W,S06,Costero,Sanquianga,527863.3750000,787840.8125000
7,0,5,2.7027500,-78.3195038,2° 42' 9.912"" N,78° 19' 10.208"" W,S05,Costero,Sanquianga,527872.6250000,791450.0625000
8,0,2,2.7514999,-78.4004974,2° 45' 5.391"" N,78° 24' 1.688"" W,G02,Oceánico,Guascama,518863.5937500,796887.3125000
9,0,6,2.6865699,-78.2223969,2° 41' 11.647"" N,78° 13' 20.561"" W,A06,Costero,Amarales,538695.4375000,789618.2500000
10,0,3,2.7189500,-78.4003983,2° 43' 8.213"" N,78° 24' 1.573"" W,G03,Oceánico,Guascama,518854.1562500,793277.7500000
11,0,3,2.7842200,-78.2225037,2° 47' 3.199"" N,78° 13' 20.862"" W,A03,Oceánico,Amarales,538723.5625000,800444.8125000
12,0,1,2.8329401,-78.3197021,2° 49' 58.568"" N,78° 19' 10.763"" W,S01,Oceánico,Sanquianga,527907.1250000,805884.8750000
13,0,4,2.7353001,-78.3195038,2° 44' 7.094"" N,78° 19' 10.314"" W,S04,Costero,Sanquianga,527882.0625000,795059.3125000
14,0,5,2.7191200,-78.2223969,2° 43' 8.831"" N,78° 13' 20.661"" W,A05,Costero,Amarales,538704.6875000,793227.1250000
15,0,4,2.6863999,-78.4003983,2° 41' 11.034"" N,78° 24' 1.459"" W,G04,Costero,Guascama,518844.8125000,789668.2500000
16,0,2,2.8004000,-78.3196030,2° 48' 1.457"" N,78° 19' 10.531"" W,S02,Oceánico,Sanquianga,527901.1875000,802277.7500000
17,0,3,2.7678499,-78.3196030,2° 46' 4.276"" N,78° 19' 10.422"" W,S03,Oceánico,Sanquianga,527891.5625000,798668.5625000
18,0,4,2.7516699,-78.2223969,2° 45' 6.015"" N,78° 13' 20.761"" W,A04,Costero,Amarales,538714.0625000,796835.9375000
