"","MDS1","MDS2","MDS3"
"Actinocyclus",-0.0150062307063775,0.529886191292381,0.0886214965560291
"Actinoptychus.senarius",0.0906766463621388,0.619004136089297,-0.0989866995949239
"Alexandrium",0.142924613656556,0.0299158329428586,0.184693383368835
"Asteromphalus",0.157420458234972,-0.179394813820468,-0.0432708235632933
"Asteromphalus.flabellatus",0.107206532702374,-0.167428479099525,0.0552069228122966
"Aulacodiscus.archangelskianus",0.164684446899937,-0.0713524972354361,-0.0560976557493666
"Aulacodiscus.kittonii",0.0935981320184754,-0.0158141946001373,-0.184730241847781
"Bacillaria.paxillifera",0.140672376450959,0.232498545794796,-0.353026936036455
"Bacteriastrum.delicatulum",-0.479219640231312,-0.0726541976645065,-0.27424460863496
"Bacteriastrum.furcatum",-0.332908407512794,-0.323289067379634,-0.292365743579152
"Bacteriastrum.hyalinum",-0.468041375618836,-0.376184624827966,-0.261179467504922
"Cerataulina.bicornis",-0.258191284122387,-0.121205353795219,-0.00548937978624344
"Cerataulina.dentata",-0.0490985479643109,-0.0466595390789755,-0.164915052444279
"Cerataulina.pelagica",0.149989147217576,-0.142264476881113,-0.0890162385710455
"Ceratocoris.horrida",-0.255299337299819,-0.0298147353555018,0.420560627314186
"Chaetoceros",0.0820267563034543,-0.194010248773692,-0.453273404025121
"Chaetoceros.affinis",-0.169091438478758,-0.537085474032925,-0.239211642144877
"Chaetoceros.brevis",-0.437173361602602,-0.294272221452851,-0.275514614304436
"Chaetoceros.coarctatus",-0.0774026768776836,-0.174963161833082,-0.330499858348482
"Chaetoceros.compressus",0.0176087579819397,-0.130479657457255,-0.238726903264293
"Chaetoceros.curvisetus",0.207766883347237,0.12212151266152,-0.191018742081034
"Chaetoceros.danicus",-0.497356736942329,-0.406994939640107,-0.219371212998966
"Chaetoceros.debilis",0.181089266324475,-0.202617610892938,-0.239210238367995
"Chaetoceros.denticulatus",0.00249599013092474,-0.213069167270092,-0.279348331309995
"Chaetoceros.diversus",-0.462147313072227,-0.398762177013361,0.29883318851913
"Chaetoceros.lacinosus",-0.5314217569634,-0.193390898364927,-0.250703934878951
"Chaetoceros.lorenzianus",-0.670586320765727,-0.256364865574734,0.097487551032254
"Chaetoceros.paradoxus",-0.547676009309503,-0.35890238766019,-0.314230414133788
"Chaetoceros.peruvianus",0.00983976880236402,-0.22908458300388,0.0484062901606409
"Chaetoceros.protuberans",-0.445846349708409,-0.222360579778518,-0.176659644845607
"Chaetoceros.pseudocurvisetus",-0.026798424271446,-0.188674085201378,-0.0637762885180138
"Chaetoceros.radicans",0.00594821671771506,-0.0451437158170814,-0.244781163485465
"Chaetoceros.subtilis",0.143903505208457,0.0198376423175829,-0.112210353530301
"Climacodium.frauenfeldianum",0.105018801335166,-0.208208079705939,-0.0755321786674713
"Coscinodiscopsis",0.14996581855021,0.129423069364428,-0.145599948829413
"Coscinodiscopsis.jonesiana",0.0815803652612818,0.752456747148535,0.0220338845798868
"Coscinodiscus",-0.34111275106212,0.0145634426560519,-0.379524836767205
"Coscinodiscus.aff.asteromphalus",-0.165933994638838,0.0446498764793726,-0.0268256237301936
"Coscinodiscus.centralis",-0.177394490821952,0.542706213261809,0.0637557852278889
"Coscinodiscus.gigas",-0.406581755085801,0.0117920728837243,0.633816150849615
"Coscinodiscus.granii",-0.364868440454522,0.318746462593135,0.484049843315396
"Coscinodiscus.marginatus",0.159577542485211,-0.0792558262866521,-0.132607497087176
"Coscinodiscus.perforatus",0.0284386916409362,0.143824325811508,-0.0986664803779403
"Coscinodiscus.radiatus",-0.161484853787844,0.200074932316897,-0.0288640881400685
"Coscinodiscus.wailesii",-0.043920738209071,0.0897382987904054,0.2639418039732
"Cyclotella.striata",0.250632778173371,-0.138998994904134,0.119793371483544
"Dinophysis.caudata",0.0919487101707526,-0.00456483173441417,-0.116885875492718
"Diploneis.gruendleri",0.170038013355447,-0.0657652937827252,-0.0350750378286928
"Ditylum.brightwellii",-0.13540447316576,-0.00553012518857322,0.216024286779829
"Entomoneis",0.115772800411718,-0.060518328954661,-0.0599720316061138
"Eucampia.zodiacus",0.0719215020819354,-0.0374851834092009,-0.0427718413097829
"Gonyaulax",0.299621728804137,-0.21026156309206,0.0721787036404295
"Gonyaulax.polygramma",0.0328779817961474,-0.0771708307567494,-0.106976421570007
"Guinardia.delicatula",0.0205881115449057,-0.00168178652482711,-0.00271749523532351
"Guinardia.flaccida",-0.245571386429348,-0.361032954995885,-0.25823926129491
"Guinardia.striata",0.0161250403610853,-0.025260664846326,0.14049626260782
"Gyrodinium.spirale",0.0883644493465026,0.213957464246717,-0.202378182431465
"Gyrosigma",-0.409234331711752,-0.0470854496498809,-0.359309854251032
"Hemiaulus.membranaceus",-0.348904112505682,-0.161556682048665,-0.121929681389732
"Hemiaulus.sinensis",0.0743592682080461,-0.222091681941655,-0.127251515492772
"Hobaniella.longicruris",0.0156930853374377,0.13578185540982,-0.176296044102808
"Leptocylindrus.danicus",0.00594821671771506,-0.0451437158170814,-0.244781163485465
"Lioloma.elongatum",-0.207142098048038,-0.147518532381117,-0.19334630091195
"Lioloma.pacificum",-0.458490632528891,-0.286463304284359,-0.28591482618053
"Lithodesmium.undulatum",-0.107720672471945,0.108650678690042,-0.206046632529396
"Lyrella",0.00594821671771506,-0.0451437158170814,-0.244781163485465
"Melosira",0.0935981320184754,-0.0158141946001373,-0.184730241847781
"Meuniera.membranacea",0.0487292231356032,-0.183718026727552,-0.176982688184496
"Navicula",-0.0571083632464487,0.0177257949779341,-0.141579084876136
"Neocalyptrella.robusta",0.00293370835853069,-0.177956913112853,-0.0671605360837453
"Neodelphineis.pelagica",-0.110227308483558,-0.194156745954549,-0.217010072555235
"Nitzschia",-0.0499905285170466,0.0397044728912483,-0.225184095412804
"Nitzschia.closterium",0.0364048628504139,0.0873607666110459,-0.0911306803681576
"Nitzschia.sigmaformis",0.132435102038465,-0.00944190712864137,-0.21105067089983
"Nitzschia.sigmoidea",0.143903505208457,0.0198376423175829,-0.112210353530301
"Odontella",-0.0320440380333438,0.347632716090675,-0.334372690660468
"Odontella.aurita",-0.200677566941011,0.205504574568327,-0.0800217006548574
"Ornithocercus",0.139380908990223,-0.109256222437631,0.155370861154909
"Ornithocercus.steinii",-0.026798424271446,-0.188674085201378,-0.0637762885180138
"Ornithocercus.thumii",-0.242371355364675,-0.235649679766918,0.00711447438706624
"Phaeodactylum",0.0883644493465026,0.213957464246717,-0.202378182431465
"Phalacroma",-0.0264048068934049,-0.200576355245626,-0.269977970656551
"Phalacroma.mitra",0.0935981320184754,-0.0158141946001373,-0.184730241847781
"Phalacroma.rapa",0.0298595568064785,-0.0897000745561612,0.086322331410141
"Plagiotropis",-0.110227308483558,-0.194156745954549,-0.217010072555235
"Planktoniella.muriformis",0.0355955986613535,0.407526028518861,-0.38966781540419
"Podolampas.bipes",0.143351648415951,0.0128775185284815,-0.010409995845643
"Proboscia.alata",-0.325209811325248,-0.304772079675188,0.16951203785121
"Prorocentrum",0.0696557988765688,-0.0321151697397952,-0.272272987101425
"Prorocentrum.compressum",-0.026798424271446,-0.188674085201378,-0.0637762885180138
"Prorocentrum.cordatum",0.0298086395027568,-0.00137772913708385,0.167880977999342
"Prorocentrum.lima",0.143903505208457,0.0198376423175829,-0.112210353530301
"Prorocentrum.mexicanum",0.170038013355447,-0.0657652937827252,-0.0350750378286928
"Prorocentrum.rhathymum",0.00594821671771506,-0.0451437158170814,-0.244781163485465
"Protoperidinium",-0.187697687947043,0.564840611310931,0.199249522911413
"Protoperidinium.1",-0.0212330611339961,0.200028407921215,0.229427595404504
"Protoperidinium.2",0.00696079586469353,-0.0467050790339652,0.260230012659093
"Protoperidinium.pyriforme",0.11170759150829,-0.186371729377435,0.000360893559858232
"Protoperidinium.pyrum",-0.242371355364675,-0.235649679766918,0.00711447438706624
"Pseudonitzschia",-0.00649700735656871,-0.0606026317384182,-0.106580380190366
"Pseudosolenia.calcar.avis",-0.0248641546298229,-0.200321002586895,0.114749169836167
"Pyrocistis",-0.26314512192211,-0.00168919449124166,0.314239967831456
"Pyrodinium.bahamense",-0.064119311312636,-0.112251611669145,-0.033107072867008
"Pyrophacus",-0.0279594744086971,-0.323219774899359,-0.0774561275779868
"Rhizosolenia.bergonii",-0.110227308483558,-0.194156745954549,-0.217010072555235
"Rhizosolenia.cf..habetata",0.00594821671771506,-0.0451437158170814,-0.244781163485465
"Rhizosolenia.imbricata",-0.364521208337655,-0.0833461200547971,0.274125440466126
"Rhizosolenia.setigera",-0.199639448878491,0.0894351484997155,-0.193794662826614
"Scripsiella",0.0328779817961474,-0.0771708307567494,-0.106976421570007
"Skeletonema.costatum",0.841295847812979,-0.418857947504295,0.107559242109454
"Skeletonema.pseudocostatum",0.142952898998047,0.023568671813911,0.150153707201499
"Skeletonema.tropicum",0.00570572459648114,-0.133310552690688,-0.398192685804541
"Stellarima",0.0851430840809029,0.178449973266275,0.0702444933108603
"Stephanopyxis.turris",0.102094434922351,0.291823960819738,-0.15611729950392
"Streptotheca.tamesis",0.0165495645939503,0.505592973433728,-0.390555482567544
"Surirella",0.107206532702374,-0.167428479099525,0.0552069228122966
"Synedra",0.170038013355447,-0.0657652937827252,-0.0350750378286928
"Thalassionema",0.0299815570982167,0.242950142808255,0.388177337015231
"Thalassionema.frauenfeldii",0.0363759390504603,0.420036931492531,0.128972661514083
"Thalassionema.nitzschioides.pseudonitzschioides",-0.452893342353379,-0.00784188740271908,-0.0658164726994626
"Thalassiosira",-0.0977717262696105,0.0474565319267369,0.211443280796494
"Trieres.chinensis",0.00939381023562443,0.347978250144523,0.0918145029972039
"Trieres.mobiliensis",0.00600800200852137,0.403370962024252,-0.360067408182852
"Tripos",0.309838566190665,-0.219539846073985,0.180297663266126
"Tripos.arietinus",0.0908321815562812,0.158190446276953,0.0453937819382304
"Tripos.brevis",0.168478480127341,-0.165170700906762,0.18175275252908
"Tripos.candelabrum",-0.238338976126276,0.0976085901586602,-0.123660707671245
"Tripos.declinatum",-0.503060106854648,-0.318480538561109,-0.320504068772059
"Tripos.eugrammus",-0.212422476398487,0.26142075969371,-0.0259589170876408
"Tripos.extensus",0.0818244163606902,-0.102432013571848,-0.209072155051098
"Tripos.fusus",-0.0438957054914792,-0.124803075190492,-0.156471661877931
"Tripos.karstenii",-0.212795178680951,0.12276182016653,0.17292325337809
"Tripos.lunula",-0.0665829926312909,0.0494016683859362,0.289836510322016
"Tripos.macroceros",-0.25236806341966,-0.00711829393625664,0.308396068305544
"Tripos.massiliensis",-0.095685931850659,-0.0309831199417458,0.322495368335666
"Tripos.muelleri",-0.221164210833484,-0.111702111814047,0.414344271754254
"Tripos.pentagonus",0.105018801335166,-0.208208079705939,-0.0755321786674713
"Tripos.teres",0.107206532702374,-0.167428479099525,0.0552069228122966
"Tripos.trichoceros",0.0364048628504139,0.0873607666110459,-0.0911306803681576
"Tripos.vultur",0.105018801335166,-0.208208079705939,-0.0755321786674713
