"","MDS1","MDS2","MDS3"
"Actinocyclus",-0.0149803928084465,-0.529926506897033,-0.088542559323877
"Actinoptychus.senarius",0.0907879551704866,-0.618966964554369,0.0990855116095759
"Alexandrium",0.142979659883289,-0.0299137799436683,-0.18463673184865
"Asteromphalus",0.157336570925806,0.179459060230476,0.0432432249555574
"Asteromphalus.flabellatus",0.107168494402286,0.167464877816777,-0.0552389173670588
"Aulacodiscus.archangelskianus",0.16466055116024,0.0714193020477371,0.0561136234508688
"Aulacodiscus.kittonii",0.093547468990928,0.0158773953427612,0.184742412450107
"Bacillaria.paxillifera",0.140860280676939,-0.232342324176497,0.353110231752773
"Bacteriastrum.delicatulum",-0.479149603197611,0.0727090466000421,0.274484747258358
"Bacteriastrum.furcatum",-0.332944937709687,0.323445613651147,0.292457100590163
"Bacteriastrum.hyalinum",-0.468107912688272,0.376297943229431,0.261041269287214
"Cerataulina.bicornis",-0.258154434271814,0.121290754447564,0.00553934493417738
"Cerataulina.dentata",-0.0491104660112297,0.0466707785777341,0.164973094834641
"Cerataulina.pelagica",0.149959832906681,0.142312025664553,0.0889993780805664
"Ceratocoris.horrida",-0.255341374804841,0.0298966590750694,-0.420595225557724
"Chaetoceros",0.0818761371826335,0.194125861140314,0.453097560603385
"Chaetoceros.affinis",-0.169248514958376,0.536995364186722,0.238770004995532
"Chaetoceros.brevis",-0.437150600956104,0.294446637982871,0.275635474928677
"Chaetoceros.coarctatus",-0.0774652964622673,0.175017381485499,0.33033890915884
"Chaetoceros.compressus",0.0175490384449557,0.130593289534631,0.238667294183971
"Chaetoceros.curvisetus",0.207787854368958,-0.121984651139382,0.191164454862776
"Chaetoceros.danicus",-0.497525759495514,0.406769264402778,0.219418363002784
"Chaetoceros.debilis",0.180978746993122,0.202728283926042,0.239158856461325
"Chaetoceros.denticulatus",0.00242415058709906,0.213142382864467,0.279160055346076
"Chaetoceros.diversus",-0.462254809130542,0.39858209896053,-0.299222106239207
"Chaetoceros.lacinosus",-0.531351011358366,0.193545713020679,0.250893512425383
"Chaetoceros.lorenzianus",-0.670650289545702,0.256279741169788,-0.0976072869234298
"Chaetoceros.paradoxus",-0.547649478880263,0.359017096514388,0.314183369381526
"Chaetoceros.peruvianus",0.0098100697808244,0.228953198703568,-0.0488571425787935
"Chaetoceros.protuberans",-0.445778989167602,0.222504387008876,0.176838856256034
"Chaetoceros.pseudocurvisetus",-0.0268810377500212,0.188674326404628,0.0635979034911869
"Chaetoceros.radicans",0.00591308027462025,0.0451820464183701,0.24475354357733
"Chaetoceros.subtilis",0.143872624236512,-0.0197133429361526,0.112330039928095
"Climacodium.frauenfeldianum",0.104896619909412,0.208260701346232,0.0754850845843364
"Coscinodiscopsis",0.149914284518801,-0.129336324507703,0.145718633154247
"Coscinodiscopsis.jonesiana",0.0815935376661981,-0.752402031869019,-0.0217945222953632
"Coscinodiscus",-0.341154067126204,-0.0144918100548153,0.379945891154858
"Coscinodiscus.aff.asteromphalus",-0.166059751056148,-0.0448992593371955,0.0271086609719575
"Coscinodiscus.centralis",-0.177256719627552,-0.542790367168997,-0.0637034699153099
"Coscinodiscus.gigas",-0.406654937507984,-0.012334322584223,-0.633485598689299
"Coscinodiscus.granii",-0.364777126339102,-0.319167600251776,-0.483779087060643
"Coscinodiscus.marginatus",0.159544697447787,0.079341259107102,0.132618618177825
"Coscinodiscus.perforatus",0.0284498164049153,-0.14390126087447,0.0985047808108167
"Coscinodiscus.radiatus",-0.161675240548623,-0.200279802729325,0.0293558914704537
"Coscinodiscus.wailesii",-0.0439617904279328,-0.0897914603957537,-0.263753281039315
"Cyclotella.striata",0.250648582578178,0.139097063904726,-0.119797041189518
"Dinophysis.caudata",0.0919567774541007,0.00458730286746811,0.116842804413934
"Diploneis.gruendleri",0.170018035076995,0.0658407605026025,0.0350993044501866
"Ditylum.brightwellii",-0.135447682208376,0.00551234626472552,-0.215984797326736
"Entomoneis",0.115752881921333,0.0605642986932596,0.0599924187939826
"Eucampia.zodiacus",0.0719073117311344,0.0375091676619082,0.0427725923630351
"Gonyaulax",0.299599250610992,0.210383511579443,-0.0721942733572476
"Gonyaulax.polygramma",0.0328469579048379,0.0772011188530248,0.106973487507459
"Guinardia.delicatula",0.0205866071282285,0.00166539697665192,0.00274581520536767
"Guinardia.flaccida",-0.245581154983928,0.361072685988203,0.257966729304613
"Guinardia.striata",0.0161257249162471,0.0252676023476957,-0.140550160876288
"Gyrodinium.spirale",0.0885504355781605,-0.213939570121714,0.202251583087977
"Gyrosigma",-0.409155752975184,0.0472119414551354,0.359508570433442
"Hemiaulus.membranaceus",-0.348888057104991,0.161443785721605,0.121760270608078
"Hemiaulus.sinensis",0.074279436202361,0.222141922890965,0.127145519454702
"Hobaniella.longicruris",0.0156742388379377,-0.135644598091028,0.176471588680183
"Leptocylindrus.danicus",0.00591308027462025,0.0451820464183701,0.24475354357733
"Lioloma.elongatum",-0.207114437963907,0.147614502416007,0.19352176472125
"Lioloma.pacificum",-0.458493494453966,0.286584914887293,0.285991335026494
"Lithodesmium.undulatum",-0.107614130882864,-0.108826019671229,0.205917126747521
"Lyrella",0.00591308027462025,0.0451820464183701,0.24475354357733
"Melosira",0.093547468990928,0.0158773953427612,0.184742412450107
"Meuniera.membranacea",0.0486785030048702,0.183799699119014,0.176867145232961
"Navicula",-0.0571027789661826,-0.017727882424787,0.141722089840763
"Neocalyptrella.robusta",0.00285646145433233,0.177957009514545,0.067017291445544
"Neodelphineis.pelagica",-0.110278979405063,0.194194062042653,0.216818410213548
"Nitzschia",-0.0500156494896403,-0.0396894335377086,0.225285104661305
"Nitzschia.closterium",0.0364224075979111,-0.0873530293653769,0.0910442190066394
"Nitzschia.sigmaformis",0.132377189231797,0.00953927987947669,0.21109747194764
"Nitzschia.sigmoidea",0.143872624236512,-0.0197133429361526,0.112330039928095
"Odontella",-0.0317581089026726,-0.347527755875908,0.334434770338341
"Odontella.aurita",-0.200657110110088,-0.205541408910574,0.080195995321633
"Ornithocercus",0.13938366385808,0.109252670655317,-0.155366925782462
"Ornithocercus.steinii",-0.0268810377500212,0.188674326404628,0.0635979034911869
"Ornithocercus.thumii",-0.242361591979893,0.235549052480269,-0.00743354055336451
"Phaeodactylum",0.0885504355781605,-0.213939570121714,0.202251583087977
"Phalacroma",-0.0264488663726842,0.200619199399635,0.269738231086957
"Phalacroma.mitra",0.093547468990928,0.0158773953427612,0.184742412450107
"Phalacroma.rapa",0.0298682241976169,0.0896714484028717,-0.0862453705133521
"Plagiotropis",-0.110278979405063,0.194194062042653,0.216818410213548
"Planktoniella.muriformis",0.0359375626424585,-0.407434598470539,0.389629037614857
"Podolampas.bipes",0.143371805082417,-0.0128407937854632,0.0104885383511616
"Proboscia.alata",-0.325349694954712,0.304770740390012,-0.169598525347088
"Prorocentrum",0.0696101191557897,0.0322054625662869,0.272301362222349
"Prorocentrum.compressum",-0.0268810377500212,0.188674326404628,0.0635979034911869
"Prorocentrum.cordatum",0.0298157103400843,0.00138008496522178,-0.167911418709305
"Prorocentrum.lima",0.143872624236512,-0.0197133429361526,0.112330039928095
"Prorocentrum.mexicanum",0.170018035076995,0.0658407605026025,0.0350993044501866
"Prorocentrum.rhathymum",0.00591308027462025,0.0451820464183701,0.24475354357733
"Protoperidinium",-0.187660134775466,-0.564758271183372,-0.199160810271274
"Protoperidinium.1",-0.0212258480552016,-0.199948294454937,-0.22939198042195
"Protoperidinium.2",0.00701898142238973,0.0464010351084,-0.260218012802963
"Protoperidinium.pyriforme",0.11165902530995,0.186418479675988,-0.000391058281277968
"Protoperidinium.pyrum",-0.242361591979893,0.235549052480269,-0.00743354055336451
"Pseudonitzschia",-0.0064432996108953,0.0606353446495808,0.106465607062967
"Pseudosolenia.calcar.avis",-0.0248711026295855,0.200157784620321,-0.115155102044994
"Pyrocistis",-0.263168005532974,0.00174600964246488,-0.314267050099875
"Pyrodinium.bahamense",-0.0640470606880366,0.112387682220418,0.0332573437284273
"Pyrophacus",-0.0280348771476436,0.32322457901127,0.0772133177606914
"Rhizosolenia.bergonii",-0.110278979405063,0.194194062042653,0.216818410213548
"Rhizosolenia.cf..habetata",0.00591308027462025,0.0451820464183701,0.24475354357733
"Rhizosolenia.imbricata",-0.364550067820759,0.083455290506221,-0.274351589352221
"Rhizosolenia.setigera",-0.199620893132202,-0.0894704567146542,0.193975097138211
"Scripsiella",0.0328469579048379,0.0772011188530248,0.106973487507459
"Skeletonema.costatum",0.84119659320722,0.419038138168684,-0.107666431140785
"Skeletonema.pseudocostatum",0.143002830328231,-0.0235613806163461,-0.150101149997306
"Skeletonema.tropicum",0.00568214385822169,0.133395278940363,0.398092520989137
"Stellarima",0.0851548697007374,-0.178426692477912,-0.0701923574801177
"Stephanopyxis.turris",0.10205587138448,-0.291740436918604,0.156180875147383
"Streptotheca.tamesis",0.0168656549307131,-0.505484314377182,0.390615454856711
"Surirella",0.107168494402286,0.167464877816777,-0.0552389173670588
"Synedra",0.170018035076995,0.0658407605026025,0.0350993044501866
