"","A01A","A01B","A02A","A02B","A03A","A03B","A04A","A04B","A05A","A05B","A06A","A06B","G01A","G01B","G02A","G02B","G03A","G03B","G04A","G04B","G05A","G05B","G06A","G06B","S01A","S01B","S02A","S02B","S03A","S03B","S04A","S04B","S05A","S05B","S06A","S06B"
"A01A",0,0.627112040616133,0.477417819142606,0.624665239043309,0.58879494326967,0.689146592559092,0.681172630887777,0.582684450756943,0.60835304723881,0.63800521337119,0.622823650723842,0.658772657626415,0.512628100887627,0.42816448857362,0.73720413111941,0.626239960996756,0.525827362674855,0.421758996447564,0.78265723453783,0.699113764452072,0.653659202411914,0.65958286175455,0.602518135188837,0.744775972736602,0.604139284721076,0.523964337660939,0.695151979458615,0.622979087187122,0.626163720565985,0.666738197608542,0.622194364181484,0.648885346701956,0.683702323382772,0.64542472734556,0.674280518272929,0.701910274597979
"A01B",0.627112040616133,0,0.631238308369587,0.265617380385533,0.530001857700167,0.658093686411571,0.566413481996081,0.51956305609167,0.523110066889509,0.657023723750339,0.586100588848309,0.784493618257213,0.647273200707719,0.418200741959412,0.485539157215057,0.438531779865995,0.513520445022396,0.635742554820934,0.814390409146051,0.428968023113701,0.619170133172329,0.432706394090461,0.432075313765428,0.513645276943494,0.462582211609851,0.66802433587219,0.522646853274826,0.39312767044399,0.477152116902903,0.413765317483444,0.468189136892775,0.397646319994899,0.419059129170125,0.449894537213831,0.420259561382648,0.323028128085991
"A02A",0.477417819142606,0.631238308369587,0,0.642583647662207,0.748466105888174,0.72906976744186,0.505857832382624,0.666095883965596,0.671215154782073,0.722384963986873,0.731019782103625,0.760486201133897,0.586156436396694,0.605522581341391,0.688175696739198,0.600702345600747,0.6671834625323,0.427224179309764,0.708203316651948,0.713461706592061,0.55787338585543,0.696518459814719,0.572860718697086,0.758576849978165,0.601186387352193,0.495379436964504,0.714755039481808,0.655840380549683,0.649230530206391,0.706433265925177,0.654091376826508,0.687339170221549,0.712659738791833,0.606470450748957,0.726322774631811,0.695141028909232
"A02B",0.624665239043309,0.265617380385533,0.642583647662207,0,0.429515587113219,0.626543829656364,0.572589771251183,0.461095762461025,0.559395936850402,0.662876684565191,0.576446192912743,0.726261350251906,0.658271891213354,0.437024919208628,0.420954803161266,0.481818925025684,0.573275638532348,0.58158720814094,0.88819550093792,0.354146378197536,0.670349742563876,0.355044126364709,0.409918087141229,0.464932546208699,0.39660057961558,0.695867366783353,0.447172494903475,0.424832705703476,0.395775585194813,0.356362092492933,0.522138006285217,0.330843900101036,0.453097115742796,0.491966605397546,0.387885027735355,0.396911452773696
"A03A",0.58879494326967,0.530001857700167,0.748466105888174,0.429515587113219,0,0.70035048655781,0.643352736518132,0.455062255231142,0.52934925555399,0.662826503247161,0.534646697071631,0.71646507008845,0.761069006781013,0.502963995984927,0.487156085410606,0.626007356756922,0.587115839243499,0.649682520319984,0.954289732770745,0.328747400415933,0.733632676374215,0.400958196864765,0.487093782663903,0.39635045327421,0.372934107318477,0.781578947368421,0.37883389985036,0.509090909090909,0.392169404793967,0.349695497995683,0.590619469026549,0.360999202652231,0.514034606203867,0.71461107162848,0.458540848768996,0.616991385443821
"A03B",0.689146592559092,0.658093686411571,0.72906976744186,0.626543829656364,0.70035048655781,0,0.709883720930233,0.650503447280757,0.711635607577391,0.580005078774275,0.328605478236679,0.647475479094757,0.764675304496248,0.677190012410295,0.79217714113515,0.636748023088986,0.792151162790698,0.611326332262003,0.932111258299807,0.675708165763245,0.64971726404865,0.68886558449248,0.626920363356756,0.802091623970526,0.756668676752052,0.743604651162791,0.815618737881955,0.669688160676533,0.79123777516109,0.663642373804153,0.786686046511628,0.600410244942892,0.633116647173835,0.727627793550516,0.653446996937643,0.649500929329044
"A04A",0.681172630887777,0.566413481996081,0.505857832382624,0.572589771251183,0.643352736518132,0.709883720930233,0,0.57731879005044,0.5915937773335,0.731265199801754,0.59626667642699,0.774042348289976,0.747905863581971,0.541754585649871,0.664897904125989,0.579713597357949,0.626415094339623,0.537705104701609,0.880070588859698,0.6322811746347,0.589635252936002,0.591778078324428,0.478095155927501,0.669204513131696,0.556578247644168,0.498237338629593,0.63322934151207,0.554974271012007,0.640203142000371,0.626069208683032,0.666615461679746,0.631503991291727,0.633065387489989,0.699341323710673,0.643069331798036,0.616295739728932
"A04B",0.582684450756943,0.51956305609167,0.666095883965596,0.461095762461025,0.455062255231142,0.650503447280757,0.57731879005044,0,0.48779783012986,0.554436957338878,0.391708946932478,0.616891010653977,0.651638589720566,0.442767398732066,0.478876038931249,0.445045706308473,0.470257470850943,0.601143280609407,0.857786443483022,0.487640947864671,0.565815745799085,0.36930914095151,0.367564202717127,0.553704482830434,0.554673370012977,0.687972257322562,0.619037310170753,0.530558740221203,0.540108717798122,0.442744304141221,0.442701800707105,0.426547288593625,0.440040622876861,0.538511995385295,0.430466099793342,0.427571989720601
"A05A",0.60835304723881,0.523110066889509,0.671215154782073,0.559395936850402,0.52934925555399,0.711635607577391,0.5915937773335,0.48779783012986,0,0.386599517773993,0.531201356192042,0.505684623219281,0.714205852751369,0.499898203776832,0.61251250229332,0.582015401864186,0.547185430463576,0.583610770282207,0.827453637726921,0.438525950638185,0.57209625213499,0.442994282794167,0.440662612714393,0.590170703640195,0.509717255127411,0.689238410596026,0.568955372813444,0.540066225165563,0.560205754417339,0.467801750869344,0.561672038914611,0.457852482464046,0.500172527146977,0.658988847627307,0.470675506634497,0.533607066161761
"A05B",0.63800521337119,0.657023723750339,0.722384963986873,0.662876684565191,0.662826503247161,0.580005078774275,0.731265199801754,0.554436957338878,0.386599517773993,0,0.587788434324971,0.310076582784033,0.753791278129241,0.643740601263984,0.747376491904424,0.596674244887549,0.726023213194869,0.625104838361827,0.857771712001045,0.647733509858948,0.580895333081442,0.563359168044303,0.600002234641193,0.748311454064846,0.742702402654511,0.700638202102691,0.78686701536061,0.686453879047037,0.767746478026165,0.609459180264903,0.731002319157102,0.594491678203381,0.579170583301527,0.719125199463847,0.57220676307785,0.631197660524677
