Estaciones,Transecto,Sector,Marea,S,Simpson,Shannon,Pielou,q0,q1,q2,Densidad,DenRelativa,latitud,longitud
A01A,Amarales,Oceanico,Alta,17,0.904858836,2.583187074,0.911751697,17,13.23926551,10.51069757,977,0.00533629,2.849301,-78.222562
A01B,Amarales,Oceanico,Baja,39,0.791272875,2.416373031,0.659569366,39,11.20514482,4.790944147,5383,0.029401483,2.849301,-78.222562
A02A,Amarales,Oceanico,Alta,16,0.907076798,2.563173427,0.924469398,16,12.97693339,10.76157495,860,0.004697246,2.816773,-78.22249
A02B,Amarales,Oceanico,Baja,24,0.708395077,1.970780888,0.620121934,24,7.176278171,3.42929738,5142,0.028085162,2.816773,-78.22249
A03A,Amarales,Oceanico,Alta,12,0.626315641,1.544538933,0.621568192,12,4.685810657,2.676055272,1128,0.006161039,2.784222,-78.222462
A03B,Amarales,Oceanico,Baja,25,0.8171755,2.326119967,0.722649799,25,10.23814005,5.46972644,3440,0.018788984,2.784222,-78.222462
A04A,Amarales,Costero,Alta,8,0.79992168,1.790580889,0.86108739,8,5.992932687,4.998042774,530,0.002894814,2.751671,-78.222434
A04B,Amarales,Costero,Baja,27,0.846591459,2.513515172,0.762633369,27,12.34826011,6.518541903,3707,0.020247315,2.751671,-78.222434
A05A,Amarales,Costero,Alta,16,0.768791665,1.939865959,0.69965875,16,6.957818275,4.325103588,1208,0.006597992,2.71912,-78.222406
A05B,Amarales,Costero,Baja,26,0.799467044,2.274649087,0.698152759,26,9.724505956,4.986711501,3274,0.017882307,2.71912,-78.222406
A06A,Amarales,Costero,Alta,29,0.777820178,2.032569247,0.603620635,29,7.633673977,4.500858762,12372,0.067574801,2.686569,-78.222378
A06B,Amarales,Costero,Baja,19,0.728243294,1.955314344,0.664070255,19,7.06613987,3.679761999,2978,0.01626558,2.686569,-78.222378
G01A,Guascama,Oceanico,Alta,23,0.874696442,2.435217362,0.776661411,23,11.41830035,7.980619373,2507,0.013693019,2.784031,-78.400528
G01B,Guascama,Oceanico,Baja,21,0.803445691,2.322731983,0.762921618,21,10.20351208,5.087652389,1724,0.00941634,2.784031,-78.400528
G02A,Guascama,Oceanico,Alta,26,0.746019881,2.180847933,0.669362589,26,8.853810513,3.937316052,2238,0.012223764,2.751498,-78.400469
G02B,Guascama,Oceanico,Baja,32,0.897581148,2.806778191,0.809864995,32,16.55649035,9.763827478,2788,0.015227816,2.751498,-78.400469
G03A,Guascama,Oceanico,Alta,12,0.818040123,2.106506504,0.847720579,12,8.219476362,5.495717072,360,0.001966289,2.718948,-78.400437
G03B,Guascama,Oceanico,Baja,21,0.893846227,2.564186165,0.842229354,21,12.99008228,9.420296369,1657,0.009050392,2.718948,-78.400437
G04A,Guascama,Costero,Alta,29,0.941536553,3.064094547,0.90995704,29,21.41506287,17.10470487,1422,0.007766842,2.686398,-78.400405
G04B,Guascama,Costero,Baja,35,0.593004775,1.792819588,0.504259937,35,6.006364084,2.457031281,6384,0.034868859,2.686398,-78.400405
G05A,Guascama,Costero,Alta,37,0.924698684,3.00752763,0.832898366,37,20.23730393,13.2799804,3067,0.01675169,2.653849,-78.400374
G05B,Guascama,Costero,Baja,25,0.72167173,2.030792039,0.630901019,25,7.620119399,3.592879738,5106,0.027888533,2.653849,-78.400374
G06A,Guascama,Costero,Alta,30,0.823239757,2.461287804,0.723653328,30,11.71989476,5.657380777,5686,0.031056443,2.621299,-78.400343
G06B,Guascama,Costero,Baja,12,0.32886439,0.833539115,0.335440816,12,2.301449438,1.490011833,7562,0.041302994,2.621299,-78.400343
S01A,Sanquianga,Oceanico,Alta,17,0.555412707,1.496942308,0.528354955,17,4.468006373,2.249277061,1774,0.009689436,2.832936,-78.319656
S01B,Sanquianga,Oceanico,Baja,14,0.856987535,2.260062324,0.856390007,14,9.583686443,6.992397463,760,0.004151055,2.832936,-78.319656
S02A,Sanquianga,Oceanico,Alta,11,0.343988395,0.914452621,0.381356363,11,2.495408943,1.524363276,2147,0.01172673,2.800405,-78.319592
S02B,Sanquianga,Oceanico,Baja,18,0.779853435,2.108370889,0.729446267,18,8.234814921,4.542428357,1760,0.009612969,2.800405,-78.319592
S03A,Sanquianga,Oceanico,Alta,27,0.530570379,1.473582235,0.447104118,27,4.364843064,2.130244782,5688,0.031067367,2.767854,-78.319562
S03B,Sanquianga,Oceanico,Baja,39,0.676329495,2.064505501,0.56352416,39,7.881399587,3.089561716,9568,0.052259594,2.767854,-78.319562
S04A,Sanquianga,Costero,Alta,39,0.806658877,2.343183234,0.639591594,39,10.41433512,5.172205397,5650,0.030859815,2.735304,-78.319532
S04B,Sanquianga,Costero,Baja,27,0.702632086,2.088994443,0.633828229,27,8.076789408,3.362837589,5408,0.029538031,2.735304,-78.319532
S05A,Sanquianga,Costero,Alta,41,0.803138529,2.400198464,0.646331462,41,11.0253643,5.079714142,18353,0.100242509,2.702753,-78.319502
S05B,Sanquianga,Costero,Baja,42,0.881802555,2.68385302,0.718055177,42,14.64139835,8.460419758,6766,0.036955311,2.702753,-78.319502
S06A,Sanquianga,Costero,Alta,42,0.736001978,2.081884403,0.557000649,42,8.019566781,3.787907175,29298,0.160023159,2.670203,-78.319473
S06B,Sanquianga,Costero,Baja,49,0.840118025,2.53596598,0.651614357,49,12.62862395,6.254613771,14414,0.078728029,2.670203,-78.319473
