"Estaciones","Transecto","Sector","Marea","S","Simpson","Shannon","Pielou","q0","q1","q2","Densidad","Clorofila"
"A01A","Amarales","Oceanico","Alta",17,0.904858836138033,2.58318707384908,0.911751696803326,17,13.2392655093982,10.510697571987,977,0.85
"A01B","Amarales","Oceanico","Baja",39,0.791272874550988,2.41637303136388,0.659569365760953,39,11.2051448155995,4.79094414704754,5383,1.7
"A02A","Amarales","Oceanico","Alta",16,0.907076798269335,2.56317342682123,0.924469397953339,16,12.9769333900882,10.7615749498007,860,0.83
"A02B","Amarales","Oceanico","Baja",24,0.708395076520705,1.97078088804701,0.620121934130752,24,7.17627817076412,3.42929737971658,5142,1.86
"A03A","Amarales","Oceanico","Alta",12,0.62631564056134,1.54453893318759,0.621568191835037,12,4.68581065710129,2.67605527162597,1128,0.5
"A03B","Amarales","Oceanico","Baja",25,0.817175500270416,2.32611996701114,0.722649798740336,25,10.2381400463115,5.46972643972282,3440,1.6
"A04A","Amarales","Costero","Alta",8,0.799921680313279,1.79058088942503,0.861087389828015,8,5.9929326866963,4.99804277427849,530,0.5
"A04B","Amarales","Costero","Baja",27,0.846591459417142,2.51351517157544,0.762633368629883,27,12.3482601125635,6.51854190256043,3707,1.5
"A05A","Amarales","Costero","Alta",16,0.768791664839261,1.93986595901604,0.699658749765439,16,6.95781827532115,4.32510358808989,1208,0.57
"A05B","Amarales","Costero","Baja",26,0.79946704361458,2.27464908674966,0.69815275889,26,9.72450595575855,4.98671150131564,3274,3
"A06A","Amarales","Costero","Alta",29,0.777820177681861,2.03256924664141,0.603620634855112,29,7.63367397652032,4.50085876190909,12372,4.6
"A06B","Amarales","Costero","Baja",19,0.728243293893297,1.9553143435228,0.664070254930651,19,7.06613986992794,3.67976199861415,2978,4.73
"G01A","Guascama","Oceanico","Alta",23,0.874696442302996,2.43521736229642,0.776661411118178,23,11.4183003516355,7.98061937250092,2507,0.79
"G01B","Guascama","Oceanico","Baja",21,0.803445690968503,2.32273198288877,0.762921617561019,21,10.2035120830099,5.08765238944597,1724,1.57
"G02A","Guascama","Oceanico","Alta",26,0.746019880830021,2.18084793278629,0.669362588657558,26,8.85381051293716,3.93731605161875,2238,0.74
"G02B","Guascama","Oceanico","Baja",32,0.8975811481467,2.80677819116707,0.809864995454406,32,16.5564903509588,9.7638274780931,2788,1.47
"G03A","Guascama","Oceanico","Alta",12,0.81804012345679,2.10650650407287,0.847720579061828,12,8.21947636161867,5.49571707234331,360,0.69
"G03B","Guascama","Oceanico","Baja",21,0.893846227249004,2.56418616489616,0.842229353649817,21,12.990082281696,9.42029636898247,1657,0.94
"G04A","Guascama","Costero","Alta",29,0.941536553377604,3.06409454706133,0.909957040238319,29,21.4150628744036,17.1047048672791,1422,0.32
"G04B","Guascama","Costero","Baja",35,0.593004774624531,1.7928195877902,0.504259936519168,35,6.00636408411869,2.45703128108557,6384,1.34
"G05A","Guascama","Costero","Alta",37,0.924698684067987,3.00752763047205,0.832898366351861,37,20.2373039292894,13.2799804043647,3067,0.73
"G05B","Guascama","Costero","Baja",25,0.721671730484891,2.03079203868701,0.630901019230887,25,7.62011939862746,3.59287973780801,5106,1.57
"G06A","Guascama","Costero","Alta",30,0.823239757163771,2.46128780422833,0.723653327942262,30,11.7198947558038,5.65738077722895,5686,0.86
"G06B","Guascama","Costero","Baja",12,0.32886439043867,0.833539115080436,0.335440816318613,12,2.30144943845375,1.49001183330687,7562,1.38
"S01A","Sanquianga","Oceanico","Alta",17,0.555412706906347,1.49694230763322,0.528354954551391,17,4.46800637327709,2.2492770610728,1774,1.13
"S01B","Sanquianga","Oceanico","Baja",14,0.856987534626039,2.26006232411204,0.856390006670118,14,9.58368644289941,6.99239746259261,760,0.81
"S02A","Sanquianga","Oceanico","Alta",11,0.343988394677292,0.914452620744758,0.381356363273356,11,2.49540894290571,1.52436327632966,2147,1.07
"S02B","Sanquianga","Oceanico","Baja",18,0.779853434917355,2.10837088865473,0.729446266866848,18,8.23481492066172,4.54242835732909,1760,0.84
"S03A","Sanquianga","Oceanico","Alta",27,0.530570379370986,1.4735822353098,0.447104118079814,27,4.36484306369087,2.13024478229568,5688,0.75
"S03B","Sanquianga","Oceanico","Baja",39,0.676329495230758,2.06450550063207,0.563524160379042,39,7.88139958676413,3.08956171558771,9568,1.23
"S04A","Sanquianga","Costero","Alta",39,0.806658876967656,2.34318323384446,0.639591594239968,39,10.4143351185784,5.17220539694864,5650,0.73
"S04B","Sanquianga","Costero","Baja",27,0.702632085711285,2.08899444307713,0.633828228764763,27,8.07678940803073,3.36283758922658,5408,2.39
"S05A","Sanquianga","Costero","Alta",41,0.803138528668998,2.40019846381677,0.646331462188877,41,11.0253642994032,5.07971414233009,18353,1.14
"S05B","Sanquianga","Costero","Baja",42,0.881802554879386,2.68385301985113,0.718055177141034,42,14.6413983524731,8.4604197576314,6766,3.64
"S06A","Sanquianga","Costero","Alta",42,0.7360019784597,2.08188440306719,0.557000648982817,42,8.01956678083503,3.78790717508217,29298,1.57
"S06B","Sanquianga","Costero","Baja",49,0.84011802541002,2.53596597952942,0.651614356593126,49,12.6286239501659,6.25461377096771,14414,4.99
