Especie,Marea,Sector,Transecto,S,Simpson,Shannon,Pielou,q0,q1,q2,Abundancia,latitud,longitud
A01A,Alta,Oceanico,Amarales,3,0.54,0.90,0.82,3.00,2.45,2.17,3076.7,2.849301,-78.222562
A02A,Alta,Oceanico,Amarales,2,0.38,0.56,0.81,2.00,1.75,1.60,733.9,2.816773,-78.22249
A03A,Alta,Oceanico,Amarales,5,0.69,1.33,0.83,5.00,3.80,3.22,4903.1,2.784222,-78.222462
A04A,Alta,Costero,Amarales,3,0.21,0.44,0.40,3.00,1.56,1.27,3228.3,2.751671,-78.222434
A05A,Alta,Costero,Amarales,1,0.00,0.00,NA,1.00,1.00,1.00,375.3,2.71912,-78.222406
A06A,Alta,Costero,Amarales,4,0.37,0.73,0.53,4.00,2.08,1.58,2170.8,2.686569,-78.222378
G01A,Alta,Oceanico,Guascama,6,0.31,0.73,0.41,6.00,2.07,1.44,6471.4,2.784031,-78.400528
G02A,Alta,Oceanico,Guascama,7,0.39,0.93,0.48,7.00,2.53,1.64,4764.8,2.751498,-78.400469
G03A,Alta,Oceanico,Guascama,8,0.18,0.46,0.22,8.00,1.59,1.21,32115.4,2.718948,-78.400437
G04A,Alta,Costero,Guascama,5,0.16,0.40,0.25,5.00,1.49,1.19,10710.7,2.686398,-78.400405
G05A,Alta,Costero,Guascama,8,0.24,0.61,0.29,8.00,1.84,1.31,19548,2.653849,-78.400374
G06A,Alta,Costero,Guascama,8,0.83,1.91,0.92,8.00,6.76,6.00,5460.3,2.621299,-78.400343
S01A,Alta,Oceanico,Sanquianga,3,0.08,0.21,0.19,3.00,1.23,1.09,12598.1,2.832936,-78.319656
S02A,Alta,Oceanico,Sanquianga,5,0.28,0.60,0.37,5.00,1.83,1.39,8197.9,2.800405,-78.319592
S03A,Alta,Oceanico,Sanquianga,4,0.32,0.66,0.47,4.00,1.93,1.47,6671.5,2.767854,-78.319562
S04A,Alta,Costero,Sanquianga,5,0.69,1.39,0.86,5.00,4.00,3.20,2105.7,2.735304,-78.319532
S05A,Alta,Costero,Sanquianga,2,0.44,0.64,0.92,2.00,1.89,1.80,833.7,2.702753,-78.319502
S06A,Alta,Costero,Sanquianga,3,0.64,1.05,0.96,3.00,2.87,2.78,1435.7,2.670203,-78.319473
