"","MDS1","MDS2","MDS3"
"Achirus_sp1",-0.138587153268557,0.243756405460425,0.28157847875877
"Achiridae_sp1",0.0311738423359877,-0.0559221185078182,-0.0103304157975703
"Seriola_lalandi",0.175119160522746,-0.107624720741349,0.126949329902081
"Chloroscombrus_orqueta",0.0132974218036846,0.0910950536584067,-0.0210403978750588
"Anchoa_sp1",-0.116292711577899,0.307855104016186,0.596779182645581
"Anchoa_sp2",0.149537969511676,-0.0634583425779558,-0.117081037824406
"Cetengraulis_mysticetus",0.889936327033359,0.0916394264478924,-0.0159658342190907
"Gerreidae_sp1",0.164557105301721,0.0772396664011004,0.00391447352162063
"Gobiesox_sp1",-0.0377586917451217,0.240389930171342,0.621347857689842
"Gobiidae_sp7",-0.119373027200989,0.00123389143482405,-0.661821919275507
"Gobulus_sp1",-0.621026130510177,-0.674281151407129,0.0175591081038249
"Gobiidae_sp8",-0.455506020909094,-0.444753674511146,-0.047684186628937
"Haemulidae_sp1",0.0610731977979879,-0.192608119546652,-0.149888279687416
"Kyphosidae_sp1",-0.455506020909094,-0.444753674511146,-0.047684186628937
"Paralichthyidae_sp1",0.202079731174683,0.0240329953308198,-0.0848477332368429
"Larimus_sp4",0.0016267067153082,0.0460060207458939,-0.469410329720867
"Menticirrhus_sp1",0.278712165260638,-0.107896441552907,-0.0591449684231095
"Larimus_sp",0.20093191625754,0.00430774271766575,0.0182371714633725
"Stellifer_sp2",-0.0501080145203899,0.295059313033421,0.542204283651262
"Cynoscion_sp1",0.125091361378027,-0.152619648300115,0.120197107431036
"Cynoscion_sp",0.193874320520689,-0.138730633624483,-0.0710533870643157
"Sciaenidae_sp1",-0.150738567412096,-0.492939461276149,0.277884661137416
"Stellifer_sp1",0.0636893630800578,0.182665938084164,0.246195339743011
"Menticirrhus_sp2",0.00792679973743723,0.123256365062245,0.252741967237916
"Larimus_sp1",-0.3130347726039,0.360892496100652,-0.167019005528157
"Stellifer_sp3",0.171189904397237,0.0782015885341762,0.00544100969708771
"Isopisthus_remifer",-0.655913692786087,0.586390777926895,-0.0290460851698073
"Scomber_.japonicus",-0.0215896226208822,-0.34935826976897,0.192875492327811
"Scomber_sp1",0.125458502429344,0.0524046601006438,-0.0406925905572697
"Scombridae_sp1",-0.17511741611169,0.254687655423861,0.486235911606265
"Serranidae_sp1",0.128293991920454,0.0575879826877613,0.038652188613679
"Hemanthias_sp1",0.186584563135273,0.0777462598673846,-0.010586830044054
"Sphoeroides_lobatus",0.100488698250204,-0.0469478714175307,-0.115888559291542
