"","A01A","A01B","A02A","A02B","A03A","A03B","A04A","A04B","A05A","A05B","A06A","A06B","G01A","G01B","G02A","G02B","G03A","G03B","G04A","G04B","G05A","G05B","G06A","G06B","S01A","S01B","S02A","S02B","S03A","S03B","S04A","S04B","S05A","S05B","S06A","S06B"
"A01A",0,0.0666677000579729,0.400006500471284,0.400006500471284,0.538475658257021,0.400006500471284,0.34118297105952,0.352377000910266,1,1,0.400006500471284,0.400006500471284,0.400006500471284,0.400006500471284,0.400006500471284,0.510217579710806,0.400006500471284,0.400006500471284,0.400006500471284,0.480316199914705,0.392916261060603,0.39495701615658,0.875006867754519,0.400006500471284,0.400006500471284,0.445380135031311,0.380403919322453,0.622952591058485,0.362968353128108,0.36296831115807,0.499976254927103,0.500049529470035,0.400006500471284,0.799985944198468,0.800027860973741,0.959677439224198
"A01B",0.0666677000579729,0,0.374997949845008,0.333338800413311,0.538475658257021,0.333338800413311,0.316174420433244,0.32736845028399,1,0.958340850568303,0.374997949845008,0.374997949845008,0.374997949845008,0.349352993761804,0.374997949845008,0.510217579710806,0.374997949845008,0.353139277624613,0.347221987489607,0.438657050483008,0.367907710434327,0.359846338999512,0.875006867754519,0.333338800413311,0.374997949845008,0.445380135031311,0.355395368696177,0.606555310431768,0.337959802501832,0.296300611100097,0.499976254927103,0.458390380038338,0.374997949845008,0.799985944198468,0.800027860973741,0.943549400434122
"A02A",0.400006500471284,0.374997949845008,0,0.225032470097011,0.307703289755461,0.236840958605665,0.250034064586456,0.285745641540198,1,1,0.250034064586456,0.250034064586456,0.250034064586456,0.256418903383049,0.250034064586456,0.510217579710806,0.250034064586456,0.250034064586456,0.250034064586456,0.480316199914705,0.250034064586456,0.250034064586456,0.625002289251506,0.205479906732054,0.250034064586456,0.445380135031311,0.250034064586456,0.639349871685201,0.250034064586456,0.333343703818931,0.499976254927103,0.500049529470035,0.333333333333333,0.799985944198468,0.800027860973741,0.959677439224198
"A02B",0.400006500471284,0.333338800413311,0.225032470097011,0,0.513474063767577,0.240783161339219,0.2,0.160750425008532,1,0.949996811021111,0.217385295743505,0.217377240085398,0.2,0.230773947299845,0.225801712558764,0.510217579710806,0.2,0.178141327779605,0.172224037644598,0.430313010935816,0.2,0.207073067522247,0.850005273265075,0.212665426384546,0.2,0.445380135031311,0.2,0.557381477646211,0.2,0.172225946900399,0.499976254927103,0.450046340491146,0.333333333333333,0.799985944198468,0.800027860973741,0.943549400434122
"A03A",0.538475658257021,0.538475658257021,0.307703289755461,0.513474063767577,0,0.380581685853245,0.538475658257021,0.538475658257021,1,1,0.538475658257021,0.538475658257021,0.538475658257021,0.538475658257021,0.538475658257021,0.538475658257021,0.52684883747945,0.527547844550516,0.538475658257021,0.538475658257021,0.53138541884634,0.533426173942318,0.413462130751398,0.374095052015371,0.538475658257021,0.538475658257021,0.51887307710819,0.622952591058485,0.538475658257021,0.538475658257021,0.538475658257021,0.538475658257021,0.538475658257021,0.799985944198468,0.800027860973741,0.959677439224199
"A03B",0.400006500471284,0.333338800413311,0.236840958605665,0.240783161339219,0.380581685853245,0,0.315787944807553,0.315787944807553,1,0.90000812061825,0.315787944807553,0.315787944807553,0.315787944807553,0.290142988724348,0.315787944807553,0.510217579710806,0.304161124029982,0.283001458880652,0.288011982452151,0.425199528847911,0.308697705396871,0.300636333962056,0.717112895350743,0.10310320294322,0.315787944807553,0.445380135031311,0.302628903413217,0.609793549664149,0.315787944807553,0.222229135879288,0.499976254927103,0.375037147102526,0.333333333333333,0.799985944198468,0.800027860973741,0.943549400434122
"A04A",0.34118297105952,0.316174420433244,0.250034064586456,0.2,0.538475658257021,0.315787944807553,0,0.190486642418161,1,1,0.217385295743505,0.217377240085398,0.171431220446889,0.25641890338305,0.225801712558764,0.510217579710806,0.117647058823529,0.147542231478437,0.117647058823529,0.480316199914705,0.127660118682218,0.21717519405304,0.875006867754519,0.287670209852879,0.117647058823529,0.445380135031311,0.156845045682431,0.639349871685201,0.111114442029529,0.259267325192502,0.499976254927103,0.500049529470035,0.333333333333333,0.799985944198468,0.800027860973741,0.959677439224198
"A04B",0.352377000910266,0.32736845028399,0.285745641540198,0.160750425008532,0.538475658257021,0.315787944807553,0.190486642418161,0,1,1,0.285745641540198,0.285745641540198,0.285745641540198,0.285745641540198,0.285745641540198,0.462588080149788,0.285745641540198,0.252959155613298,0.285745641540198,0.432686700353687,0.285745641540198,0.285745641540198,0.875006867754519,0.287670209852879,0.285745641540198,0.397750635470293,0.285745641540198,0.573778758272928,0.211669346853846,0.111114567939644,0.499976254927103,0.500049529470035,0.333333333333333,0.799985944198468,0.800027860973741,0.959677439224198
"A05A",1,1,1,1,1,1,1,1,0,0.950004060309125,1,1,0.971428129925518,1,1,1,0.976743244673895,1,1,1,1,1,0.833324176327308,1,1,1,1,1,0.888885557970472,1,0.875005936268224,1,1,1,0.599986069513129,1
"A05B",1,0.958340850568303,1,0.949996811021111,1,0.90000812061825,1,1,0.950004060309125,0,1,1,0.971428129925519,0.923080460474884,1,0.959186698900698,0.976743244673895,0.945354841852705,0.972224037644598,0.645671290185009,1,0.853533375859739,0.950004060309125,0.917809696879175,1,0.680671980359082,1,0.783591891882284,0.950004060309125,0.90000812061825,0.950004060309125,0.774995738250741,1,1,0.950004060309125,0.333870607773548
