"Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Alta",1,"Rarefaction",0,1.00000239198208,1.00000239198208,1.00000239198208,0.654142977550093,0.65064517750383,0.657640777596355
"Alta",257,"Rarefaction",0,18.7301179265492,18.6262598127881,18.8339760403102,0.975814319498969,0.975539492517816,0.976089146480122
"Alta",513,"Rarefaction",0,22.4496340812288,22.340366360905,22.5589018015525,0.991389615208708,0.991205838178525,0.991573392238891
"Alta",770,"Rarefaction",0,24.0012812004693,23.8875024799397,24.1150599209989,0.99582647876054,0.99569487489026,0.995958082630819
"Alta",1026,"Rarefaction",0,24.8059967453922,24.6881926094969,24.9238008812875,0.997662589117179,0.997560166129058,0.9977650121053
"Alta",1282,"Rarefaction",0,25.2762689421584,25.1544999648671,25.3980379194496,0.998569589103853,0.998484869673057,0.998654308534648
"Alta",1539,"Rarefaction",0,25.5747373866936,25.4488750646199,25.7005997087674,0.999062373768212,0.998989601789097,0.999135145747327
"Alta",1795,"Rarefaction",0,25.7755222926458,25.645461613481,25.9055829718106,0.999345714921188,0.999281637709601,0.999409792132775
"Alta",2052,"Rarefaction",0,25.9197366215494,25.785356308396,26.0541169347028,0.999519162295055,0.999461880328357,0.999576444261754
"Alta",2308,"Rarefaction",0,26.0277244865766,25.888951813351,26.1664971598023,0.999629901225703,0.999578191462779,0.999681610988627
"Alta",2564,"Rarefaction",0,26.1123885795065,25.9691591345601,26.255618024453,0.999704310024258,0.999657416219584,0.999751203828932
"Alta",2821,"Rarefaction",0,26.181308024989,26.0335818797984,26.3290341701797,0.999756623732102,0.999714059129843,0.999799188334361
"Alta",3077,"Rarefaction",0,26.23854024732,26.0863683427428,26.3907121518972,0.999794499729451,0.999755881386996,0.999833118071905
"Alta",3333,"Rarefaction",0,26.287356812059,26.1308339164582,26.4438797076599,0.99982294552236,0.999787977466392,0.999857913578327
"Alta",3590,"Rarefaction",0,26.3299234649311,26.1691873937842,26.4906595360779,0.99984497357344,0.999813406010399,0.999876541136482
"Alta",3846,"Rarefaction",0,26.3673186521768,26.2025916253361,26.5320456790175,0.99986229322522,0.99983386631687,0.999890720133571
"Alta",4103,"Rarefaction",0,26.4008552868618,26.2323698709591,26.5693407027644,0.999876289787084,0.999850777702629,0.999901801871538
"Alta",4359,"Rarefaction",0,26.4310230861177,26.2590715316639,26.6029746405714,0.999887703958495,0.999864865500478,0.999910542416512
"Alta",4615,"Rarefaction",0,26.4585251211659,26.2834047713668,26.6336454709651,0.99989719218363,0.999876805138949,0.99991757922831
"Alta",4872,"Rarefaction",0,26.4838914441482,26.305900576381,26.6618823119154,0.999905214069874,0.999887072128827,0.99992335601092
"Alta",5128,"Rarefaction",0,26.5072657682776,26.3267293354044,26.6878022011508,0.999912026462629,0.999895913625818,0.99992813929944
"Alta",5385,"Rarefaction",0,26.5291020203001,26.3463237609413,26.7118802796589,0.99991792403571,0.999903647646576,0.999932200424843
"Alta",5641,"Rarefaction",0,26.5494461975562,26.3647416839616,26.7341507111507,0.999923044369723,0.99991040401118,0.999935684728267
"Alta",5897,"Rarefaction",0,26.56856014766,26.3822268939835,26.7548934013365,0.99992755355203,0.999916361390637,0.999938745713423
"Alta",6154,"Rarefaction",0,26.5866540934704,26.3989739857728,26.7743342011681,0.999931576970281,0.999921652977394,0.999941500963168
"Alta",6410,"Rarefaction",0,26.6037041545674,26.4149571120893,26.7924511970456,0.99993517076765,0.999926326412806,0.999944015122495
"Alta",6666,"Rarefaction",0,26.6198793592432,26.43032618849,26.8094325299964,0.999938420722827,0.999930472812887,0.999946368632767
"Alta",6923,"Rarefaction",0,26.6353190342536,26.445205020034,26.8254330484733,0.999941393225096,0.999934161137344,0.999948625312847
"Alta",7179,"Rarefaction",0,26.6499712111555,26.4595319881651,26.840410434146,0.999944109746198,0.999937409908076,0.999950809584319
"Alta",7436,"Rarefaction",0,26.6640085451526,26.4734631887787,26.8545539015265,0.999946627727343,0.999940288697634,0.999952966757052
"Alta",7692,"Rarefaction",0,26.6773713371821,26.4869260404902,26.867816633874,0.999948956821516,0.999942819584321,0.999955094058711
"Alta",7948,"Rarefaction",0,26.6901580921959,26.500004908084,26.8803112763077,0.999951130989934,0.999945060489045,0.999957201490823
"Alta",8205,"Rarefaction",0,26.7024527339888,26.5127730181818,26.8921324497958,0.999953177448091,0.999947064883193,0.999959290012988
"Alta",8461,"Rarefaction",0,26.7141922397343,26.5251512385507,26.9032332409178,0.999955096377207,0.999948860572527,0.999961332181886
"Alta",8718,"Rarefaction",0,26.7254973662854,26.5372533510681,26.9137413815027,0.999956916168735,0.999950499872925,0.999963332464545
"Alta",8974,"Rarefaction",0,26.7363059047708,26.5489995798821,26.9236122296595,0.999958633750792,0.999952001665096,0.999965265836489
"Alta",9230,"Rarefaction",0,26.746685846907,26.5604499364104,26.9329217574036,0.99996026564982,0.999953397826097,0.999967133473542
"Alta",9487,"Rarefaction",0,26.7566962879159,26.5716581534072,26.9417344224247,0.999961825574396,0.999954713008902,0.999968938139889
"Alta",9743,"Rarefaction",0,26.7662784637719,26.5825463937063,26.9500105338375,0.999963307994337,0.999955952203008,0.999970663785665
"Alta",10000,"Rarefaction",0,26.7755248991559,26.593208103379,26.9578416949328,0.99996473015184,0.9999571368352,0.99997232346848
"Alta",1,"Rarefaction",1,1,1,1,0.654142977550093,0.65064517750383,0.657640777596355
"Alta",257,"Rarefaction",1,2.70599981068288,2.68041271715059,2.73158690421516,0.975814319498969,0.975539492517816,0.976089146480122
"Alta",513,"Rarefaction",1,2.77720223264961,2.7509087098379,2.80349575546132,0.991389615208708,0.991205838178525,0.991573392238891
"Alta",770,"Rarefaction",1,2.80253336025016,2.7760209505359,2.82904576996442,0.99582647876054,0.99569487489026,0.995958082630819
"Alta",1026,"Rarefaction",1,2.81525613196118,2.78864012054967,2.84187214337269,0.997662589117179,0.997560166129058,0.9977650121053
"Alta",1282,"Rarefaction",1,2.82287211162286,2.79619579794229,2.84954842530342,0.998569589103853,0.998484869673057,0.998654308534648
"Alta",1539,"Rarefaction",1,2.82793799385678,2.80122198826981,2.85465399944376,0.999062373768212,0.998989601789097,0.999135145747327
"Alta",1795,"Rarefaction",1,2.83152006229231,2.8047760268214,2.85826409776322,0.999345714921188,0.999281637709601,0.999409792132775
"Alta",2052,"Rarefaction",1,2.83420308044194,2.80743799348675,2.86096816739713,0.999519162295055,0.999461880328357,0.999576444261754
"Alta",2308,"Rarefaction",1,2.83627287982347,2.80949149019766,2.86305426944928,0.999629901225703,0.999578191462779,0.999681610988627
"Alta",2564,"Rarefaction",1,2.83792385899776,2.81112941771151,2.86471830028401,0.999704310024258,0.999657416219584,0.999751203828932
"Alta",2821,"Rarefaction",1,2.83927632460584,2.8124711593944,2.86608148981728,0.999756623732102,0.999714059129843,0.999799188334361
"Alta",3077,"Rarefaction",1,2.84039659239287,2.81358252464895,2.8672106601368,0.999794499729451,0.999755881386996,0.999833118071905
"Alta",3333,"Rarefaction",1,2.84134321051268,2.81452160889009,2.86816481213527,0.99982294552236,0.999787977466392,0.999857913578327
"Alta",3590,"Rarefaction",1,2.84215665675942,2.81532857519184,2.868984738327,0.99984497357344,0.999813406010399,0.999876541136482
