"Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Oceanico",1,"Rarefaction",0,1.00000203847624,1.00000203847624,1.00000203847624,0.552355222040294,0.549413443505895,0.555297000574692
"Oceanico",257,"Rarefaction",0,19.1474969113846,19.0477692093446,19.2472246134246,0.978602110541579,0.978346838029592,0.978857383053566
"Oceanico",513,"Rarefaction",0,22.5716580274364,22.4488453867679,22.694470668105,0.991490927268177,0.991373752834233,0.991608101702121
"Oceanico",770,"Rarefaction",0,24.2001450784677,24.0726601204485,24.327630036487,0.995288386218544,0.995210229137486,0.995366543299602
"Oceanico",1026,"Rarefaction",0,25.1567088588675,25.0338485494476,25.2795691682873,0.997061153450932,0.996985390627454,0.99713691627441
"Oceanico",1282,"Rarefaction",0,25.7700898832627,25.6545182517778,25.8856615147476,0.998064730267774,0.997992332060943,0.998137128474605
"Oceanico",1539,"Rarefaction",0,26.1823257720593,26.0735665183417,26.2910850257768,0.998681844916112,0.998616004606293,0.998747685225931
"Oceanico",1795,"Rarefaction",0,26.4661663343258,26.3625009086137,26.5698317600379,0.999073942340415,0.999015416182771,0.99913246849806
"Oceanico",2052,"Rarefaction",0,26.668879589646,26.568380879042,26.7693783002499,0.999331875392689,0.999280117981575,0.999383632803803
"Oceanico",2308,"Rarefaction",0,26.8165517006607,26.717418881399,26.9156845199224,0.999503973272072,0.999457987287986,0.999549959256158
"Oceanico",2564,"Rarefaction",0,26.9275937546614,26.8283349558316,27.0268525534912,0.999621744443253,0.999580616686714,0.999662872199792
"Oceanico",2821,"Rarefaction",0,27.0136277158012,26.9130660719924,27.11418935961,0.999704243591377,0.999667267247526,0.999741219935228
"Oceanico",3077,"Rarefaction",0,27.0814739089903,26.9787451879678,27.1842026300128,0.999762730986049,0.999729348618125,0.999796113353972
"Oceanico",3333,"Rarefaction",0,27.1365191634654,27.0310165389571,27.2420217879737,0.99980519966895,0.999775000002191,0.999835399335709
"Oceanico",3590,"Rarefaction",0,27.1823503123432,27.0736671716081,27.2910334530784,0.999836720540382,0.999809383119057,0.999864057961707
"Oceanico",3846,"Rarefaction",0,27.2209989690294,27.108921261097,27.3330766769619,0.999860346407031,0.999835576598986,0.999885116215077
"Oceanico",4103,"Rarefaction",0,27.2544661335203,27.1388812039382,27.3700510631024,0.999878492749151,0.999856046581113,0.999900938917188
"Oceanico",4359,"Rarefaction",0,27.2837081863218,27.1646243092135,27.40279206343,0.999892536831095,0.999872174733733,0.999912898928458
"Oceanico",4615,"Rarefaction",0,27.3097522051263,27.187230874646,27.4322735356065,0.999903612158522,0.999885123755561,0.999922100561483
"Oceanico",4872,"Rarefaction",0,27.3333452725181,27.2074815946131,27.459208950423,0.999912495652891,0.999895695927713,0.999929295378069
"Oceanico",5128,"Rarefaction",0,27.3548020574917,27.2257483068684,27.4838558081149,0.999919656609508,0.99990436659226,0.999934946626757
"Oceanico",5385,"Rarefaction",0,27.3746719859116,27.2425754967943,27.5067684750288,0.999925546459538,0.999911617994329,0.999939474924746
"Oceanico",5641,"Rarefaction",0,27.3930930769279,27.258136590168,27.5280495636878,0.999930411006917,0.999917703481528,0.999943118532306
"Oceanico",5897,"Rarefaction",0,27.4103725603641,27.2727325635868,27.5480125571414,0.999934493765562,0.999922888957154,0.999946098573971
"Oceanico",6154,"Rarefaction",0,27.4267505081687,27.2865959085218,27.5669051078155,0.999937973156695,0.999927371730123,0.999948574583266
"Oceanico",6410,"Rarefaction",0,27.4422405852312,27.2997589075072,27.5847222629553,0.99994094980828,0.999931257984634,0.999950641631925
