"Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Amarales",1,"Rarefaction",0,1,1,1,0.432676952649525,0.427157581442775,0.438196323856275
"Amarales",257,"Rarefaction",0,16.4302445155386,16.3098458660641,16.550643165013,0.988321427761297,0.988090122070221,0.988552733452373
"Amarales",513,"Rarefaction",0,18.0399582793887,17.9400186905773,18.1398978682,0.996853814350209,0.996700102046815,0.997007526653604
"Amarales",770,"Rarefaction",0,18.5454913700354,18.465098797803,18.6258839422678,0.998818218229932,0.99872454887528,0.998911887584584
"Amarales",1026,"Rarefaction",0,18.7546408132929,18.6914189171637,18.817862709422,0.999448261109324,0.999378238985542,0.999518283233107
"Amarales",1282,"Rarefaction",0,18.8585937300862,18.8101191197027,18.9070683404698,0.999707139911184,0.999651798256788,0.99976248156558
"Amarales",1539,"Rarefaction",0,18.9158952268145,18.8794560680764,18.9523343855527,0.999833700601577,0.999790699095858,0.999876702107295
"Amarales",1795,"Rarefaction",0,18.9489538129144,18.9219005271663,18.9760070986624,0.999901768748969,0.999868958631925,0.999934578866013
"Amarales",2052,"Rarefaction",0,18.9687456998443,18.948896769296,18.9885946303927,0.999940863556058,0.9999162124714,0.999965514640716
"Amarales",2308,"Rarefaction",0,18.9807001057713,18.9662484053864,18.9951518061562,0.999963872927126,0.999945539769945,0.999982206084306
"Amarales",2564,"Rarefaction",0,18.988032470982,18.9775908611934,18.9984740807706,0.999977749544363,0.999964246987166,0.99999125210156
"Amarales",2821,"Rarefaction",0,18.9925741124497,18.9850902986171,19.0000579262822,0.999986248346583,0.999976401915052,0.999996094778115
"Amarales",3077,"Rarefaction",0,18.9953773337818,18.9900383515668,19.0007163159968,0.999991455476065,0.99998432239516,0.999998588556971
"Amarales",3333,"Rarefaction",0,18.9971209432094,18.9933320109389,19.0009098754799,0.999994679787236,0.999989548284051,0.999999811290422
"Amarales",3590,"Rarefaction",0,18.9982105203689,18.995537726239,19.0008833144988,0.999996689989034,0.999993026077664,1
"Amarales",3846,"Rarefaction",0,18.9988864675895,18.9970062433576,19.0007666918213,0.999997936300077,0.999995331188573,1
"Amarales",4103,"Rarefaction",0,18.9993091382409,18.9979931554133,19.0006251210686,0.999998716174887,0.999996875365954,1
"Amarales",4359,"Rarefaction",0,18.9995711885644,18.9986518881392,19.0004904889895,0.999999200533413,0.999997903632431,1
"Amarales",4615,"Rarefaction",0,18.9997342860876,18.9990940067452,19.0003745654301,0.999999502763187,0.999998592546743,1
"Amarales",4872,"Rarefaction",0,18.9998359666311,18.9993918660032,19.000280067259,0.999999691783688,0.999999056029094,1
"Amarales",5128,"Rarefaction",0,18.9998987530069,18.9995910543274,19.0002064516865,0.999999808930403,0.999999365624492,1
