  Assemblage      n S.obs SC f1 f2 f3 f4 f5 f6 f7 f8 f9 f10
1   Amarales  40999    75  1  0  0  0  0  0  0  0  0  0   0
2 Sanquianga 101586   108  1  0  0  0  0  0  0  0  0  0   0
3   Guascama  40501    89  1  0  0  0  0  0  0  0  0  0   0
  Assemblage         Diversity   Observed  Estimator       s.e.        LCL        UCL
1   Amarales  Species richness  75.000000  75.000000 0.00000000  75.000000  75.000000
2   Amarales Shannon diversity  16.091857  16.106436 0.13749248  15.836956  16.375917
3   Amarales Simpson diversity   6.975729   6.976746 0.06278427   6.853691   7.099800
4   Guascama  Species richness  89.000000  89.000000 0.00000000  89.000000  89.000000
5   Guascama Shannon diversity  13.700414  13.715368 0.14895664  13.423418  14.007317
6   Guascama Simpson diversity   4.290629   4.290978 0.04679227   4.199267   4.382689
7 Sanquianga  Species richness 108.000000 108.000000 0.00000000 108.000000 108.000000
8 Sanquianga Shannon diversity  12.964157  12.971013 0.07598088  12.822094  13.119933
9 Sanquianga Simpson diversity   4.510175   4.510331 0.02577159   4.459820   4.560843
    Assemblage     m      Method Order.q        qD    qD.LCL    qD.UCL        SC    SC.LCL    SC.UCL
1     Amarales     1 Rarefaction       0  1.000000  1.000000  1.000000 0.1433333 0.1409595 0.1457071
2     Amarales   257 Rarefaction       0 40.437028 40.027175 40.846881 0.9420607 0.9409293 0.9431921
3     Amarales   513 Rarefaction       0 50.249236 49.679452 50.819019 0.9741005 0.9734045 0.9747965
4     Amarales   770 Rarefaction       0 55.428093 54.761623 56.094562 0.9841432 0.9836454 0.9846411
5     Amarales  1026 Rarefaction       0 58.832143 58.098327 59.565960 0.9887961 0.9884229 0.9891693
6     Amarales  1282 Rarefaction       0 61.331784 60.550387 62.113180 0.9914729 0.9911892 0.9917567
7     Amarales  1539 Rarefaction       0 63.285713 62.472714 64.098711 0.9932158 0.9929960 0.9934356
8     Amarales  1795 Rarefaction       0 64.858893 64.027792 65.689994 0.9944333 0.9942564 0.9946101
9     Amarales  2052 Rarefaction       0 66.168152 65.329881 67.006424 0.9953399 0.9951897 0.9954900
10    Amarales  2308 Rarefaction       0 67.268525 66.431954 68.105095 0.9960384 0.9959027 0.9961742
11    Amarales  2564 Rarefaction       0 68.209018 67.381183 69.036853 0.9965965 0.9964673 0.9967257
12    Amarales  2821 Rarefaction       0 69.023180 68.209691 69.836669 0.9970548 0.9969277 0.9971819
13    Amarales  3077 Rarefaction       0 69.727250 68.932379 70.522121 0.9974351 0.9973079 0.9975623
14    Amarales  3333 Rarefaction       0 70.341792 69.568853 71.114731 0.9977564 0.9976285 0.9978843
15    Amarales  3590 Rarefaction       0 70.882261 70.133848 71.630675 0.9980317 0.9979031 0.9981602
16    Amarales  3846 Rarefaction       0 71.355338 70.633173 72.077502 0.9982676 0.9981388 0.9983964
17    Amarales  4103 Rarefaction       0 71.773687 71.079141 72.468233 0.9984727 0.9983443 0.9986011
18    Amarales  4359 Rarefaction       0 72.141478 71.475246 72.807711 0.9986506 0.9985231 0.9987780
19    Amarales  4615 Rarefaction       0 72.466676 71.829181 73.104170 0.9988060 0.9986801 0.9989319
20    Amarales  4872 Rarefaction       0 72.755632 72.147101 73.364163 0.9989429 0.9988191 0.9990666
21    Amarales  5128 Rarefaction       0 73.010650 72.430827 73.590473 0.9990627 0.9989416 0.9991839
22    Amarales  5385 Rarefaction       0 73.237661 72.686307 73.789016 0.9991688 0.9990507 0.9992869
23    Amarales  5641 Rarefaction       0 73.438296 72.914779 73.961813 0.9992622 0.9991474 0.9993769
24    Amarales  5897 Rarefaction       0 73.616435 73.120103 74.112767 0.9993448 0.9992336 0.9994559
25    Amarales  6154 Rarefaction       0 73.775234 73.305431 74.245037 0.9994183 0.9993110 0.9995255
26    Amarales  6410 Rarefaction       0 73.915718 73.471500 74.359936 0.9994832 0.9993799 0.9995864
27    Amarales  6666 Rarefaction       0 74.040525 73.620994 74.460055 0.9995409 0.9994417 0.9996400
28    Amarales  6923 Rarefaction       0 74.151808 73.756114 74.547501 0.9995923 0.9994974 0.9996873
29    Amarales  7179 Rarefaction       0 74.250249 73.877331 74.623168 0.9996379 0.9995471 0.9997287
30    Amarales  7436 Rarefaction       0 74.337995 73.986952 74.689037 0.9996786 0.9995921 0.9997652
31    Amarales  7692 Rarefaction       0 74.415575 74.085335 74.745815 0.9997147 0.9996323 0.9997971
32    Amarales  7948 Rarefaction       0 74.484427 74.174010 74.794845 0.9997469 0.9996685 0.9998252
33    Amarales  8205 Rarefaction       0 74.545732 74.254239 74.837225 0.9997756 0.9997013 0.9998500
34    Amarales  8461 Rarefaction       0 74.599864 74.326269 74.873459 0.9998011 0.9997306 0.9998716
35    Amarales  8718 Rarefaction       0 74.648011 74.391449 74.904572 0.9998239 0.9997572 0.9998905
36    Amarales  8974 Rarefaction       0 74.690475 74.449977 74.930973 0.9998441 0.9997810 0.9999071
37    Amarales  9230 Rarefaction       0 74.728058 74.502750 74.953365 0.9998620 0.9998025 0.9999216
38    Amarales  9487 Rarefaction       0 74.761419 74.550514 74.972324 0.9998781 0.9998220 0.9999342
39    Amarales  9743 Rarefaction       0 74.790780 74.593410 74.988151 0.9998923 0.9998394 0.9999452
40    Amarales 10000 Rarefaction       0 74.816803 74.632239 75.001366 0.9999050 0.9998552 0.9999548
41    Amarales     1 Rarefaction       1  1.000000  1.000000  1.000000 0.1433333 0.1409595 0.1457071
