"Estaciones","Transecto","Sector","Marea","Fito_S","Fito_Simpson","Fito_Shannon","Fito_Pielou","Fito_q0","Fito_q1","Fito_q2","Fito_Densidad","Clorofila","No.Estacion","Ictio_S","Ictio_Simpson","Ictio_Shannon","Ictio_Pielou","Ictio_q0","Ictio_q1","Ictio_q2","Ictio_Densidad","NO2","NO3","PO4","SiO2","pH","OD","Transparencia","SST","TSI_SECCHI","Temperatura_median","Salinidad_median","Oxigeno_median","Densidad_median","Temperatura_IQR","Salinidad_IQR","Oxigeno_IQR","Densidad_IQR","Temperatura_Sup","Salinidad_Sup","Densidad_Sup","latitud","longitud"
"1","A01A","Amarales","Oceanico","Alta",17,0.904858836138033,2.58318707384908,0.911751696803326,17,13.2392655093982,10.510697571987,977,0.85,1,3,0.540007800417645,0.897960942358389,0.817359273713406,3,2.45459294837908,2.17394990808092,3076.7,0.06,0.38,0.13,8.41,8.29,7.73,13,49.85,23,23.0109,34.0329,4.1732,1023.2344,7.66285,2.2866,1.5363,4.1626,27.5963,29.1131,1018.161,2.849301,-78.222562
"2","A01B","Amarales","Oceanico","Baja",39,0.791272874550988,2.41637303136388,0.659569365760953,39,11.2051448155995,4.79094414704754,5383,1.7,1,4,0.538190230157569,0.979806475514401,0.70678097162776,4,2.66394065429682,2.16539377315729,6097.1,0.2,0.66,0.06,24.29,8.25,7.52,4,14.67,40,27.1831,32.5467,5.1191,1020.9157,6.97695,2.4813,1.55245,4.02275,28.7184,28.3532,1017.3105,2.816773,-78.22249
"3","A02A","Amarales","Oceanico","Alta",16,0.907076798269335,2.56317342682123,0.924469397953339,16,12.9769333900882,10.7615749498007,860,0.83,2,2,0.375034062265664,0.562372565297801,0.811332111087143,2,1.75483101634284,1.60008720415269,733.9,0.13,0.7,0.06,11.22,8.26,7.41,8.5,24,29,26.6886,32.6441,4.446,1021.0454,6.2782,2.5423,1.0585,3.8008,27.9126,26.0307,1015.8097,2.784222,-78.222462
"4","A02B","Amarales","Oceanico","Baja",24,0.708395076520705,1.97078088804701,0.620121934130752,24,7.17627817076412,3.42929737971658,5142,1.86,2,4,0.341250797209129,0.68045912181139,0.490847500282476,4,1.97478419062182,1.51802840255954,7839.5,0.27,0.46,0.13,16.76,8.25,7.19,5.5,18.25,35,27.8378,31.9342,5.3894,1020.25195,1.601175,1.23695,1.1687,1.41235,30.0171,26.0718,1015.046,2.751671,-78.222434
"5","A03A","Amarales","Oceanico","Alta",12,0.62631564056134,1.54453893318759,0.621568191835037,12,4.68581065710129,2.67605527162597,1128,0.5,3,5,0.689359490792379,1.33493257532623,0.829440244331817,5,3.79973974156962,3.21915516604963,4903.1,0.49,1.51,0.24,25.38,8.28,7.81,2.5,17.3,47,26.89,32.5875,4.95485,1020.9875,2.3932,1.1618,0.44835,1.7923,26.7658,26.6651,1016.5468,2.71912,-78.222406
"6","A03B","Amarales","Oceanico","Baja",25,0.817175500270416,2.32611996701114,0.722649798740336,25,10.2381400463115,5.46972643972282,3440,1.6,3,5,0.496189516325102,0.98755735032104,0.613603881635587,5,2.68466875147192,1.98487334504394,13770,0.56,1.06,0.23,19.84,8.23,6.48,2,28,50,27.8251,31.595,5.2745,1019.9367,0.3937,2.35585,0.335875,1.79015,26.5634,12.9911,1006.6157,2.686569,-78.222378
"7","A04A","Amarales","Costero","Alta",8,0.799921680313279,1.79058088942503,0.861087389828015,8,5.9929326866963,4.99804277427849,530,0.5,4,3,0.214532871972318,0.443757284260148,0.403925287234983,3,1.55855215457103,1.27312775330396,3228.3,0.15,0.47,0.19,8.32,8.23,7.58,6,23.05,34,27.6652,32.1568,5.17185,1020.3084,0.227,0.3987,0.630625,0.3904,27.0485,29.0194,1018.3309,2.784031,-78.400528
"8","A04B","Amarales","Costero","Baja",27,0.846591459417142,2.51351517157544,0.762633368629883,27,12.3482601125635,6.51854190256043,3707,1.5,4,5,0.462626840470572,0.953341161862207,0.592344168418638,5,2.59436338251086,1.86090425669136,3189.2,0.5,1.06,0.33,17.21,8.2,6.39,2,28.3,50,27.8967,31.5339,5.2179,1019.8541,0.1231,1.6748,0.201075,1.09795,27.2907,30.1194,1019.0881,2.751498,-78.400469
"9","A05A","Amarales","Costero","Alta",16,0.768791664839261,1.93986595901604,0.699658749765439,16,6.95781827532115,4.32510358808989,1208,0.57,5,1,0,0,NA,1,1,1,375.3,0.54,1.13,0.26,19.21,8.16,6.84,1.6,25.85,53,27.66545,30.3409,4.97285,1019.0577,0.497825,3.30835,0.4753,2.16835,26.7885,28.3586,1017.9209,2.718948,-78.400437
"10","A05B","Amarales","Costero","Baja",26,0.79946704361458,2.27464908674966,0.69815275889,26,9.72450595575855,4.98671150131564,3274,3,5,4,0.524995939489378,0.981928747333099,0.708311867141887,4,2.66960026396491,2.1052451613256,3694.3,0.64,1.24,0.37,20.3,8.19,6.31,1.5,35.95,54,27.72615,28.60945,4.88985,1017.68245,0.095225,1.354725,0.079075,1.002875,27.4224,29.5563,1018.581,2.686398,-78.400405
