"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"A01A",-4.94117873356529,0.0349474560198776,-0.185140239639516,-1.83894008978734,-0.305233906573528,-2.14080163378609,-1.31783884846291,-0.135579367778752,-0.463004552847882,0.120692970614832,-0.29858452944095,-0.122947663204967,0.100482857302156,0.0672315497567462,0.0960082617048931,-0.577381038314515,-0.100897573748882,-0.375624614181504,0.00599670844750173,-0.125407263413715,0.019247791271101,0.0489508468700776,-0.0208002498439858,-0.00760940044725947,0.0203142775268593,-0.0308242382090778,0.0103226772299346,-0.00502474376832565,-0.00237893492999045,-3.6799685068957e-06
"A01B",-2.99607737662226,-0.117593469291002,-0.871103349079118,-0.976888396669655,-0.840068649678061,0.333581843318004,1.06603994853512,-0.980954725889918,-0.0116426276529025,-0.229272253709128,0.870654388487328,0.577065824180891,-0.0777431265206125,0.0984310251529452,0.044533999028897,-0.0552943371897478,0.0268764359652247,0.0539405429378132,-0.101293202781695,0.0636734585600373,0.138723806103124,0.0387051810574315,-0.0919364230532397,0.0425531226245169,0.0461972380621178,-0.00889868828179077,0.012274323394541,-0.0120549785971051,0.000654562463636911,-0.00225188493987455
"A02A",-4.25635418139962,-0.346835994258781,0.00253795541081166,-1.4839301891678,-0.281132217766499,-0.891560041444196,-1.2395899796755,-0.235414640073165,0.569818141887669,1.60889009925034,0.526933096451836,0.0239861984484182,-0.755553298512631,0.0567688188486329,-0.475966314024562,0.138397673364603,0.0293967131462933,0.03990726001311,-0.0465066613180441,-0.212027366685922,0.115554758244378,-0.0300738337864127,0.0431557516253283,-0.0433577186433356,-0.0163193215266669,0.0256757623595177,-0.000654864923900104,-0.000477517995189111,0.00194460270773426,0.000361643275171997
"A02B",-2.16011747292332,1.15180620353544,-1.94886288330487,-0.166267977804766,-0.851028133799618,-0.428528202317795,1.95991891953856,-0.912072120570593,-0.924471721173863,0.0196660756726592,1.43119458563476,0.0651384925227795,0.471429726871103,-0.176837146995461,-0.0949428471171012,-0.140318410441057,-0.0722696245888633,0.0206162863435202,0.0167582671079808,-0.112939088066559,-0.149590643127546,-0.0345405961122289,0.00529394854886456,-0.0302793234586292,-0.0708482894485658,0.0168150217664228,-0.00378578750355368,0.00459360525383996,-0.000878724841116774,0.000895696840229354
"A03A",-1.90690019580579,1.6764136951456,-0.298988226317902,0.0761599691216036,0.46310727723944,1.16807398258466,-0.731396853196704,-0.252900109586981,-0.373141227216578,0.845178811896617,-0.515958939266231,1.20385061576409,0.743968821223333,0.0701308321639409,0.144288595083145,0.0146184638236715,-0.021093998814439,0.100401953004314,-0.0216743710566343,0.0806688490035066,0.0964130546725845,-0.148521354222606,0.0311578206293288,-0.0367426853913912,-0.0237736224999116,-0.0169506572646087,0.0019124876645168,0.00260261323899478,-0.00158191642632112,0.000482162250170983
"A03B",0.216120882533447,0.0292265364975259,-0.695200377600643,1.61642756261395,-0.483865592489262,0.509890489261237,0.586816018356406,0.645804730438161,-0.174279134747712,0.939439327014179,-0.290982613331579,0.207986339448096,-0.133931394303111,0.112280480902583,-0.126011812136316,-0.245575818110839,-0.192030607098263,0.368028425773001,-0.222236557502623,-0.153375565545188,-0.0333642479248876,0.00940921127832187,-0.0446822540194715,0.116207268521795,0.0584207830453071,-0.0175727645967667,-0.0135140366660923,0.00494646252103004,-0.000147375948919164,0.000352431661052211
"A04A",-1.58794458285753,3.66539801089909,-0.499505051345938,0.268552098677767,1.07110825327864,-1.06492906849045,-0.390599003263137,0.471974221056791,-0.16588081777229,0.404316755119264,-0.108313720424905,-0.041116887133877,0.465093014601749,0.449644233985594,-0.0321250481692562,0.224915603417703,-0.0165878645345121,-0.247025509557476,0.0910114092259166,0.178420652652081,-0.0417954443684659,0.00671371810970847,-0.114037807214991,0.0377582792216478,-0.0468850632076657,-0.00219402020040863,-0.0158722628296071,0.00434165026902089,0.0033490879501621,-0.000979461083670259
"A04B",1.20005935107838,2.82695867139372,-1.02391362342871,0.69533471211241,-0.570005308165064,0.362387123825838,0.155567944404907,0.249566671267984,-0.565986604170457,-0.103394976554896,-0.531304506358975,-0.430128208092769,-0.230626528440115,0.164430864568024,0.13042589026214,-0.145274595928034,0.365086315815859,-0.00132267215411136,-0.186929637163747,-0.114538238277492,-0.0382868029356855,0.11054632687166,0.0272655440101514,0.0575499228058839,-0.0225386515142297,0.0247665328367113,0.00358571004721028,0.001732977504671,-0.00669348501649546,0.000160596170511737
"A05A",0.753107396686869,2.29756024908291,-0.447194208535489,0.593069294549486,0.818408669527006,0.609482050318661,-0.697677065311136,0.204802297155604,0.000714584164259568,0.516522616972277,-0.138629895149381,0.436765068750828,-0.114217301534679,-0.421548238213504,0.687699321091927,0.297954202331748,0.174727334193894,-0.189664652292485,-0.0756454772763877,-0.0691413531411578,-0.153566498152596,0.0475611645979003,-0.00947136407738822,0.0142853369968702,-0.00405763975445461,0.0330599772241511,0.0181478502685195,-0.00543932797455886,0.000789193839037941,-0.000257675030513181
"A05B",2.4089021704665,2.51424087609018,-1.10391628569041,0.361597732468881,-1.86444446449148,0.261692075357362,0.077558657067106,0.425431750760279,-0.11562840431544,-0.405436762328056,-0.468732879856356,-0.193503904704972,-0.0928566281666556,0.177698388972572,-0.0531133014981876,-0.31373686199843,0.348691936300087,0.000944302991017443,-0.0849713384424912,-0.026064299611265,-0.0732438974130997,-0.222598801220934,-0.0177455198585316,-0.049392591917292,0.0129340223889899,-0.00223572059811922,-0.0103752446881323,-0.0036150388974612,0.00663096778736143,-0.000365356080355306
