Codigo,ID,Transecto,No.Estacion,Sector,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,Temperatura_Sup,Salinidad_Sup,Densidad_Sup,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max
A01A,1,Amarales,1,Oceanico,A01,2.849301,-78.222562,4/05/2021,10:39:00,Alta,0.06,0.38,0.13,8.41,0.85,48.4,31.4,8.29,7.73,13,49.85,27.5963,29.1131,1018.161,23.62930559,33.35830769,4.429786014,1022.588478,3.604694425,1.3656765,0.764990973,2.133108451,18.989,29.1131,3.0036,1018.161,27.8242,34.8715,5.5377,1025.2425,72
A01B,2,Amarales,1,Oceanico,A01,2.849301,-78.222562,4/05/2021,16:54:00,Baja,0.2,0.66,0.06,24.29,1.7,45.5,29.3,8.25,7.52,4,14.67,28.7184,28.3532,1017.3105,24.92592662,32.63176475,4.776714815,1021.661907,3.357063218,1.867143234,0.766896092,2.388236137,19.5587,26.3101,3.4588,1015.5157,29.0835,34.7949,5.7862,1025.0283,70
A02A,3,Amarales,2,Oceanico,A02,2.816773,-78.22249,4/05/2021,11:00:00,Alta,0.13,0.7,0.06,11.22,0.83,48.2,31.3,8.26,7.41,8.5,24,27.9126,26.0307,1015.8097,24.76540642,32.85191927,4.505586239,1021.838027,3.228492498,1.650633108,0.711620481,2.149817653,19.6752,26.0307,1.6455,1015.8097,27.9672,35.1583,5.6368,1025.0151,55
A02B,4,Amarales,2,Oceanico,A02,2.816773,-78.22249,4/05/2021,16:35:00,Baja,0.27,0.46,0.13,16.76,1.86,45.6,29.5,8.25,7.19,5.5,18.25,30.0171,26.0718,1015.046,26.76078627,31.96904314,5.174452632,1020.576785,2.140998029,1.682826777,0.549675332,1.884887544,21.6692,26.0718,4.2724,1015.046,30.0171,34.461,5.7999,1024.2534,51.5
A03A,5,Amarales,3,Oceanico,A03,2.784222,-78.222462,3/05/2021,9:29:00,Alta,0.49,1.51,0.24,25.38,0.5,48,31,8.28,7.81,2.5,17.3,26.7658,26.6651,1016.5468,26.30746849,32.37416849,4.893904167,1021.008955,1.560423649,1.692704096,0.417473653,1.606705893,22.8963,26.3669,3.8106,1016.2367,27.9678,34.8675,5.6264,1024.0066,37
A03B,6,Amarales,3,Oceanico,A03,2.784222,-78.222462,3/05/2021,15:46:00,Baja,0.56,1.06,0.23,19.84,1.6,45.1,28.9,8.23,6.48,2,28,26.5634,12.9911,1006.6157,27.41294627,31.00572687,5.165771212,1019.643443,0.874607824,2.657057762,0.408331148,2.066478859,24.7979,12.9911,3.9206,1006.6157,27.9243,33.7753,5.8218,1022.515,34
A04A,7,Amarales,4,Costero,A04,2.751671,-78.222434,3/05/2021,9:07:00,Alta,0.15,0.47,0.19,8.32,0.5,47.9,30.8,8.23,7.58,6,23.05,27.0485,29.0194,1018.3309,27.68518519,31.74971111,5.080813636,1020.08727,0.186017695,0.860873161,0.351141841,0.615355681,27.0485,29.0194,4.4429,1018.3309,27.9436,32.3155,5.451,1020.5859,14
A04B,8,Amarales,4,Costero,A04,2.751671,-78.222434,3/05/2021,15:17:00,Baja,0.5,1.06,0.33,17.21,1.5,43.2,27.4,8.2,6.39,2,28.3,27.2907,30.1194,1019.0881,27.82998696,30.87352609,5.162738889,1019.386461,0.144023582,1.285121811,0.130566589,0.944696633,27.2907,28.0665,4.8781,1017.2762,27.9204,31.8749,5.3069,1020.1235,12
A05A,9,Amarales,5,Costero,A05,2.71912,-78.222406,3/05/2021,8:43:00,Alta,0.54,1.13,0.26,19.21,0.57,44.4,28.3,8.16,6.84,1.6,25.85,26.7885,28.3586,1017.9209,27.52813333,29.577175,4.866225,1018.513267,0.329734919,2.003143569,0.347361531,1.415982367,26.7885,26.6379,4.2866,1016.3502,27.8392,31.5669,5.245,1019.884,6.5
A05B,10,Amarales,5,Costero,A05,2.71912,-78.222406,3/05/2021,14:49:00,Baja,0.64,1.24,0.37,20.3,3,42,26.7,8.19,6.31,1.5,35.95,27.4224,29.5563,1018.581,27.6894875,28.74825,4.947025,1017.81985,0.121311152,1.096308258,0.138439551,0.835093482,27.4224,27.5804,4.8552,1016.9223,27.7833,30.7672,5.1532,1019.2961,4.5
