Codigo,ID,Transecto,No.Estacion,Sector,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,TSI_Clor,TSI_SECCHI,Temperatura_mean,Salinidad_mean,Densidad_mean,Profundidad_mean,Temperatura_sd,Salinidad_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Densidad_min,Temperatura_max,Salinidad_max,Densidad_max,Profundidad_max
A01A,1,Amarales,1,Oceanico,A01,2.849301,-78.222562,04/05/2021,10:39:00,Alta,0.06,0.38,0.13,8.41,0.85,48.4,31.4,8.29,7.73,13,49.85,29,23,23.39160827,33.66774238,1022.921658,35.87491665,3.652257358,1.27349912,2.088435359,20.73043348,18.76971592,30.19152105,1018.848429,27.80597871,34.99795309,1025.389286,71.61710117
A01B,2,Amarales,1,Oceanico,A01,2.849301,-78.222562,04/05/2021,16:54:00,Baja,0.2,0.66,0.06,24.29,1.7,45.5,29.3,8.25,7.52,4,14.67,36,40,24.71356419,32.94945426,1021.993251,34.86052216,3.386726424,1.701352501,2.300569067,20.14463533,19.32753181,27.58027098,1016.561456,28.83378274,34.89940086,1025.160508,69.58995472
A02A,3,Amarales,2,Oceanico,A02,2.816773,-78.22249,04/05/2021,11:00:00,Alta,0.13,0.7,0.06,11.22,0.83,48.2,31.3,8.26,7.41,8.5,24,29,29,24.47456678,33.27559422,1022.278878,27.48323121,3.326879391,1.302785349,1.977830011,15.89324495,19.46794319,29.25468457,1018.140789,27.82154709,34.88147984,1025.048342,54.61214925
A02B,4,Amarales,2,Oceanico,A02,2.816773,-78.22249,04/05/2021,16:35:00,Baja,0.27,0.46,0.13,16.76,1.86,45.6,29.5,8.25,7.19,5.5,18.25,37,35,26.38329515,32.41865279,1021.068387,26.4598385,2.270830724,1.411212897,1.76215264,15.30655832,21.01991081,26.56468867,1015.47433,29.83610138,34.59555786,1024.40223,52.60954999
A03A,5,Amarales,3,Oceanico,A03,2.784222,-78.222462,03/05/2021,9:29:00,Alta,0.49,1.51,0.24,25.38,0.5,48,31,8.28,7.81,2.5,17.3,24,47,26.20697774,32.72998823,1021.330216,18.33436573,1.652146535,1.322329853,1.410688508,10.62144668,22.75181864,26.5092423,1016.337786,27.92197228,34.37062257,1023.683093,36.59129347
A03B,6,Amarales,3,Oceanico,A03,2.784222,-78.222462,03/05/2021,15:46:00,Baja,0.56,1.06,0.23,19.84,1.6,45.1,28.9,8.23,6.48,2,28,35,50,27.26212179,31.43332043,1020.025553,17.45439625,1.060291224,1.506298652,1.400377211,10.11270823,24.05914688,27.85806369,1017.117093,27.83531159,33.84569394,1022.804945,34.70213114
A04A,7,Amarales,4,Costero,A04,2.751671,-78.222434,03/05/2021,9:07:00,Alta,0.15,0.47,0.19,8.32,0.5,47.9,30.8,8.23,7.58,6,23.05,24,34,27.666489,32.11820259,1020.369837,7.219274716,0.158934588,0.637799993,0.506894129,4.213080077,27.45196652,30.39870202,1019.081897,27.91918549,32.52306253,1020.773651,14.41665955
A04B,8,Amarales,4,Costero,A04,2.751671,-78.222434,03/05/2021,15:17:00,Baja,0.5,1.06,0.33,17.21,1.5,43.2,27.4,8.2,6.39,2,28.3,35,50,27.79303804,31.3600551,1019.756171,6.319760343,0.045847464,1.051306461,0.788085177,3.69095338,27.69477932,28.52923365,1017.627178,27.8294678,32.06327896,1020.297443,12.5209493
A05A,9,Amarales,5,Costero,A05,2.71912,-78.222406,03/05/2021,8:43:00,Alta,0.54,1.13,0.26,19.21,0.57,44.4,28.3,8.16,6.84,1.6,25.85,25,53,27.69082848,30.80785356,1019.36133,3.31184656,0.157971644,1.420624382,1.023065017,1.954020399,27.27080536,26.97624126,1016.605994,27.81376041,31.79901801,1020.074196,6.475764913
A05B,10,Amarales,5,Costero,A05,2.71912,-78.222406,03/05/2021,14:49:00,Baja,0.64,1.24,0.37,20.3,3,42,26.7,8.19,6.31,1.5,35.95,41,54,27.72516299,30.0235729,1018.757537,2.255821374,0.022662747,1.31536029,0.985842788,1.340593135,27.69648605,27.79743585,1017.084606,27.76385728,31.31446189,1019.722415,4.313765576
A06A,11,Amarales,6,Costero,A06,2.686569,-78.222378,03/05/2021,8:20:00,Alta,0.77,1.17,0.38,25.2,4.6,43.2,27.4,8.14,6.33,1.8,37.75,46,52,27.60002334,29.02818772,1018.066516,6.026452382,0.095218443,0.791334009,0.576939993,3.520012384,27.40269582,27.39351835,1016.877131,27.67968483,29.64837425,1018.533853,11.85795955
A06B,12,Amarales,6,Costero,A06,2.686569,-78.222378,03/05/2021,14:19:00,Baja,0.92,1,0.2,28.01,4.73,40.4,25.8,8.16,6.16,2,49.9,46,50,27.67977057,26.61055108,1016.218404,3.468899675,0.022215947,0.71086227,0.547875276,2.041696117,27.65101624,25.71884596,1015.528769,27.71798767,27.62546416,1017.000747,6.716306536
G01A,13,Guascama,1,Oceanico,G01,2.784031,-78.400528,02/05/2021,8:28:00,Alta,0.05,0.27,0.06,5.41,0.79,48.9,31.8,8.21,8.06,7,20.6,28,32,22.92860352,34.01296223,1023.397594,51.75393896,3.15298189,1.181134979,1.883169166,29.88645205,18.53453445,30.16775252,1018.945015,27.89178128,34.99351035,1025.587494,103.1172501
