Codigo,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Temperatura_IQR,Salinidad_IQR,Oxigeno_IQR,Densidad_IQR,Profundidad_max,Temperatura_Sup,Salinidad_Sup,Oxigeno_Sup,Densidad_Sup
A01A,23.0109,34.0329,4.1732,1023.2344,7.66285,2.2866,1.5363,4.1626,72,27.5963,29.1131,5.4037,1018.161
A01B,27.1831,32.5467,5.1191,1020.9157,6.97695,2.4813,1.55245,4.02275,70,28.7184,28.3532,5.3178,1017.3105
A02A,26.6886,32.6441,4.446,1021.0454,6.2782,2.5423,1.0585,3.8008,55,27.9126,26.0307,5.3837,1015.8097
A02B,27.8378,31.9342,5.3894,1020.25195,1.601175,1.23695,1.1687,1.41235,51.5,30.0171,26.0718,5.1601,1015.046
A03A,26.89,32.5875,4.95485,1020.9875,2.3932,1.1618,0.44835,1.7923,37,26.7658,26.6651,5.6264,1016.5468
A03B,27.8251,31.595,5.2745,1019.9367,0.3937,2.35585,0.335875,1.79015,34,26.5634,12.9911,5.8218,1006.6157
A04A,27.6652,32.1568,5.17185,1020.3084,0.227,0.3987,0.630625,0.3904,14,27.0485,29.0194,5.4485,1018.3309
A04B,27.8967,31.5339,5.2179,1019.8541,0.1231,1.6748,0.201075,1.09795,12,27.2907,30.1194,4.8781,1019.0881
A05A,27.66545,30.3409,4.97285,1019.0577,0.497825,3.30835,0.4753,2.16835,6.5,26.7885,28.3586,5.1386,1017.9209
A05B,27.72615,28.60945,4.88985,1017.68245,0.095225,1.354725,0.079075,1.002875,4.5,27.4224,29.5563,5.1532,1018.581
A06A,27.7111,29.2132,4.8611,1018.1968,0.2304,1.89125,0.29605,1.37605,12,26.8459,29.0221,4.7314,1018.3412
A06B,27.7634,25.6498,4.6622,1015.4716,0.1172,0.28785,0.29795,0.11455,5.5,27.1291,25.1681,4.8283,1015.4325
G01A,22.8021,34.3582,4.6286,1023.716,4.97375,1.41855,1.1415,2.6807,104,27.5117,26.6972,5.958,1016.352
G01B,21.58365,34.40955,4.2228,1023.75745,9.124625,2.47765,1.760725,4.7626,104.5,27.2356,11.8956,5.5791,1005.5034
G02A,24.8735,25.17615,5.3402,1016.09865,0.282225,0.04445,3.49515,0.13555,79.5,24.667,26.2349,7.2321,1016.8337
G02B,24.1155,32.7802,4.4226,1021.53855,7.524775,2.4714,1.6841,4.2746,77.5,27.9732,16.3038,5.1261,1008.5972
G03A,24.3478,33.61545,5.0898,1022.4959,5.359475,2.182,0.9366,3.336725,58.5,27.2636,29.4739,5.2252,1018.4902
G03B,26.97145,32.2562,5.0543,1020.55345,4.64745,2.195275,0.84805,3.226425,57.5,27.9243,23.9402,4.887,1014.189
G04A,27.9336,31.5692,5.0093,1019.8788,0.1963,0.958,0.2345,0.6969,7,26.6895,18.8356,4.8145,1010.8592
G04B,27.4119,18.2258,4.5951,1010.0366,0.0528,0.4586,0.0465,0.34895,4,27.1688,17.7717,4.5936,1009.7976
G05A,27.8521,30.4999,5.1499,1019.069,0.12105,1.3122,0.037275,0.965,6,26.9316,22.1402,5.2538,1013.3003
G05B,27.26915,18.87605,4.3413,1010.5609,0.04075,0.849875,0.1191,0.5875,3.5,27.4788,19.7624,4.5358,1011.1397
G06A,27.6937,29.4891,3.818,1018.3702,0.16855,2.8211,0.19375,2.0804,7,27.6636,27.8153,3.7233,1017.1047
G06B,26.9536,15.8747,4.3665,1008.4118,0.04025,1.78705,0.28515,1.33835,4,26.891,12.9757,4.4433,1006.2509
S01A,20.2242,34.5035,3.8959,1024.4711,9.364175,2.629825,1.7826,4.9496,88.5,27.2709,26.5318,4.9073,1016.3019
S01B,22.4459,34.0429,4.2061,1023.29515,8.01655,2.36985,1.1788,4.3621,88.5,26.9163,0.3501,6.5277,996.9767
S02A,22.46595,34.1183,4.2819,1023.5528,8.435975,2.495,1.258075,4.6462,75,27.4268,25.476,5.1553,1015.4554
S02B,26.38715,32.71595,4.8889,1021.27025,5.716,2.09265,1.0905,3.366525,72.5,28.3921,19.4762,5.6988,1010.6995
S03A,24.48155,33.13035,4.7817,1021.93465,8.42025,2.319175,2.03745,4.333675,66.5,25.6499,7.195,5.8524,1002.5278
S03B,25.83265,32.7437,4.855,1021.2046,5.873725,2.270325,0.957675,3.48015,61.5,25.7451,1.6371,4.9867,998.3004
S04A,27.9671,32.1819,5.4548,1020.3285,0.1702,0.4451,0.1018,0.3669,23,26.9841,24.4799,5.2725,1014.9614
S04B,27.842,30.9765,5.2259,1019.4704,0.21705,3.5078,1.0069,2.59165,20,27.6442,26.1703,4.696,1015.8712
S05A,27.9738,32.0131,5.414,1020.1724,0.2506,1.5255,0.3123,1.2243,11,27.7903,8.4429,5.4262,1002.6861
S05B,27.43675,27.29225,4.22185,1016.8149,0.121925,3.62775,0.27515,2.697375,8.5,26.4223,4.3041,5.1118,1000.0697
S06A,28.1894,27.841,4.86785,1017.0021,0.0548,1.22625,0.28555,0.929475,12.5,27.64,10.6847,4.7807,1004.4749
S06B,27.5272,24.7582,4.4372,1014.8983,0.2335,2.9963,0.5261,2.0892,15,25.4704,0.4015,4.0698,997.4123
