A01A,A01B,A02A,A02B,A03A,A03B,A04A,A04B,A05A,A05B,A06A,A06B,G01A,G01B,G02A,G02B,G03A,G03B,G04A,G04B,G05A,G05B,G06A,G06B,S01A,S01B,S02A,S02B,S03A,S03B,S04A,S04B,S05A,S05B,S06A,S06B
0.06,0.2,0.13,0.27,0.49,0.56,0.15,0.5,0.54,0.64,0.77,0.92,0.05,0.11,0.09,0.28,0.13,0.23,0.05,0.32,0.1,0.33,0.15,0.37,0.05,0.06,0.07,0.07,0.11,0.45,0.09,0.69,0.06,0.84,0.25,0.73
0.38,0.66,0.7,0.46,1.51,1.06,0.47,1.06,1.13,1.24,1.17,1,0.27,1,1.03,2,1.54,2.15,0.36,4.09,0.7,3.98,1.15,4.31,0.36,0.19,0.6,0.36,0.64,1.21,0.87,2.17,0.53,1.49,2.28,2.46
0.13,0.06,0.06,0.13,0.24,0.23,0.19,0.33,0.26,0.37,0.38,0.2,0.06,0.13,0.13,0.23,0.2,0.34,0.13,0.32,0.23,0.35,0.42,0.62,0.11,0.09,0.1,0.06,0.19,0.36,0.33,0.35,0.14,0.91,0.25,0.47
8.41,24.29,11.22,16.76,25.38,19.84,8.32,17.21,19.21,20.3,25.2,28.01,5.41,24.02,14.58,33.27,12.58,32.55,3.51,78.47,11.58,71.3,16.85,77.47,11.4,6.86,10.95,10.04,10.77,27.28,12.67,42.35,9.41,45.98,44.44,44.98
8.29,8.25,8.26,8.25,8.28,8.23,8.23,8.2,8.16,8.19,8.14,8.16,8.21,8.24,8.22,8.18,8.24,8.16,8.18,7.95,8.16,7.96,8.14,7.87,8.22,8.22,8.21,8.17,8.19,8.12,8.16,8.1,8.12,8.04,8.03,8.02
7.73,7.52,7.41,7.19,7.81,6.48,7.58,6.39,6.84,6.31,6.33,6.16,8.06,7.6,7.63,7.25,7.29,6.84,7.19,6.48,6.78,6.06,6.62,5.87,7.66,7.05,7.37,6.93,7.04,6.29,6.85,5.91,6.7,5.6,6.12,5.41
13,4,8.5,5.5,2.5,2,6,2,1.6,1.5,1.8,2,7,2.5,3.5,1.2,6,1,1.8,0.8,0.8,0.8,0.6,0.6,10.5,8.5,5,6,2.5,0.9,2.5,0.75,2.5,1,2.5,1
49.85,14.67,24,18.25,17.3,28,23.05,28.3,25.85,35.95,37.75,49.9,20.6,27.85,21.85,34.9,27.2,37.1,24.1,50.38,34.95,72,53.53,77,16.3,18.12,19.95,31.3,27.15,35.8,22.6,42.1,77.75,87.55,160.97,188.05
23,40,29,35,47,50,34,50,53,54,52,50,32,47,42,57,34,60,52,63,63,63,67,67,26,29,37,34,47,62,47,64,47,60,47,60
23.0109,27.1831,26.6886,27.8378,26.89,27.8251,27.6652,27.8967,27.66545,27.72615,27.7111,27.7634,22.8021,21.58365,24.8735,24.1155,24.3478,26.97145,27.9336,27.4119,27.8521,27.26915,27.6937,26.9536,20.2242,22.4459,22.46595,26.38715,24.48155,25.83265,27.9671,27.842,27.9738,27.43675,28.1894,27.5272
34.0329,32.5467,32.6441,31.9342,32.5875,31.595,32.1568,31.5339,30.3409,28.60945,29.2132,25.6498,34.3582,34.40955,25.17615,32.7802,33.61545,32.2562,31.5692,18.2258,30.4999,18.87605,29.4891,15.8747,34.5035,34.0429,34.1183,32.71595,33.13035,32.7437,32.1819,30.9765,32.0131,27.29225,27.841,24.7582
4.1732,5.1191,4.446,5.3894,4.95485,5.2745,5.17185,5.2179,4.97285,4.88985,4.8611,4.6622,4.6286,4.2228,5.3402,4.4226,5.0898,5.0543,5.0093,4.5951,5.1499,4.3413,3.818,4.3665,3.8959,4.2061,4.2819,4.8889,4.7817,4.855,5.4548,5.2259,5.414,4.22185,4.86785,4.4372
1023.2344,1020.9157,1021.0454,1020.25195,1020.9875,1019.9367,1020.3084,1019.8541,1019.0577,1017.68245,1018.1968,1015.4716,1023.716,1023.75745,1016.09865,1021.53855,1022.4959,1020.55345,1019.8788,1010.0366,1019.069,1010.5609,1018.3702,1008.4118,1024.4711,1023.29515,1023.5528,1021.27025,1021.93465,1021.2046,1020.3285,1019.4704,1020.1724,1016.8149,1017.0021,1014.8983
7.66285,6.97695,6.2782,1.601175,2.3932,0.3937,0.227,0.1231,0.497825,0.095225,0.2304,0.1172,4.97375,9.124625,0.282225,7.524775,5.359475,4.64745,0.1963,0.0528,0.12105,0.04075,0.16855,0.04025,9.364175,8.01655,8.435975,5.716,8.42025,5.873725,0.1702,0.21705,0.2506,0.121925,0.0548,0.2335
