"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"A01A",-4.84675420596253,-0.896924775344655,-1.49927292174596,-0.824747121066595,0.586157287458566,1.97455442823417,-0.324117485495955,-0.390330428231111,0.264457581210771,0.281563980693874,0.130860822491097,-0.292899258025222,-0.252291963104639,0.372916861857945,-0.222751599711898,0.394467552194612,0.0512486760767265,-0.0175497292424062,-0.00291086849093636,-8.92019678397915e-05
"A01B",-2.7104949860405,0.673987614854494,-0.24385860508823,-1.2311477864328,0.297936709158926,-1.39160624950191,-1.28696845459931,-0.0700229248751887,-0.0332515011839043,-0.44378739694356,-0.22031064485562,-0.498357179597701,-0.426152006812381,-0.466550743907791,0.0423950488948124,0.131961752954548,0.264041288292778,0.0078081359635464,-0.00102863110696269,-0.000803095329161674
"A02A",-3.23785007476894,-0.0626606718634932,-0.586568764801318,-0.940653467828631,0.827724041441957,0.592279382404187,-0.316980191094525,-0.0187454133896075,0.252576696889686,-0.328653617564305,-0.78425516460464,-0.788831210643769,-0.450486089789704,0.0895235527978537,-0.0764218688964471,-0.185121624127635,-0.0904762360782188,-0.00515715183363784,-0.00113377251832875,-0.00184676994549915
"A02B",-1.77274738212011,2.51970170010625,-0.0289122433310332,-0.590848453307932,1.86103214990427,-0.739400383489808,-1.32781301960912,0.666413060685684,0.382355343913408,-0.935349102973742,0.88997143955405,-0.0171127355346865,0.305491188908477,0.162383377311376,0.122311203714606,0.0857652797333782,-0.0459604738303945,-0.0338327081087618,0.0190320344521984,0.00213724922593461
"A03A",-0.756368265702535,1.64152803896565,0.208974007498844,-0.121092834746233,-0.962975169974985,-0.0172429845171936,0.308938600266403,0.682917624788458,-0.557870906368682,0.963197203643359,0.395874248307059,-1.18399063268057,0.156279911084373,-0.0881367791632299,-0.0566103845873035,-0.0188485592071866,-0.0445817003176072,0.0611688703504541,0.01280705241379,0.00354630014068824
"A03B",0.686406224085494,0.406555173181058,2.11668871587859,0.535474975985957,-0.193806224578933,-0.0894434803743771,-0.341359593707539,0.759041037507175,0.159361272565137,0.180323945331736,-0.648327772765077,-0.444614790738272,0.430770481674889,0.385233782224015,0.208496122623314,-0.042421762979966,0.122787477377743,0.0276358838570673,-0.00196377119889968,-0.00729928347639514
"A04A",-1.4789551779572,3.00156533212319,-0.189309149503128,1.02231592014215,0.308511924157243,0.891343106040323,0.318647134138501,0.00460377568000891,0.428340198581464,0.301103374522304,0.334988659729194,-0.376869025609002,-0.0527855455256261,-0.10167337022702,-0.248969084190564,-0.156579339962055,-0.0278266511362112,-0.0099385429416864,-0.026957392150195,0.00380111437252695
"A04B",0.622029798884784,2.24527952077071,1.10337430743376,-0.843399688500749,-0.378762266142672,0.309925421043963,0.00470240889877511,0.0786292986960032,0.113607304773797,0.324690063473647,0.0173873053542402,0.411253648344616,-0.14202067579476,0.198461447329306,0.169677120829538,-0.121958565285455,0.0961739970171493,-0.0544974010785905,0.0037273543268031,-0.00126569421093325
"A05A",0.479107457003073,0.92172506323698,1.12141559543594,-1.368343191885,-1.04295463984015,0.134376360982984,-0.140757036233868,-0.491468492622104,0.177778771652169,-0.051411411913191,-1.00163784327787,-0.266371013659184,0.574188739927165,-0.39418818220419,0.0539363476069468,0.00750350023624449,-0.0698743256367576,-0.0938161750912875,-0.0016555848368266,0.00154778710945958
"A05B",1.50333820061432,2.00521897606026,0.59275337153059,-1.06136690327482,-0.459425281381891,0.653095430038572,0.240000154963819,0.490091817597103,-0.332485138682005,-0.0972782141049439,0.202705077515098,0.313442653806856,-0.268707183508423,0.161840300830505,0.353208887660677,0.111491638577501,-0.0529627247468872,0.0187937046481183,-0.00691207192183252,-0.000151061143151887
"A06A",1.59514881642138,1.40906013371978,0.807019456501615,-1.17064112120091,-0.952276971333346,0.97083067393069,-0.129400248431833,0.428243757161787,-0.173945546051334,0.0638724747124616,-0.109560777673875,0.340567508377084,-0.0788794133521331,-0.288425077025221,-0.103832922238635,-0.0616268614927482,-0.0733346933995974,0.0223868103247527,-0.00811555953017068,0.00123863621823816
"A06B",2.20458379466935,1.99682710669787,-0.0724808104154124,0.0176038442448982,-0.273920565671317,1.45539291279872,-0.280941553776563,1.60468493195032,-1.39961091971353,-0.655828974959225,-0.0624473420683181,0.432588644366049,-0.290807927233072,-0.0916658451253892,-0.03838383363986,0.0771310506045215,-0.0471023964304159,-0.00384905562191879,-0.00254027565179921,-0.000565767329000599
"G01A",-3.85748802374226,0.446502597558137,-0.926633434856128,0.30386782492727,0.20278536738784,0.438644043838151,0.571338407123667,-0.0668018259945352,-0.194525443863512,0.360635150572414,0.306724682650288,0.275887826397263,0.672228092843982,-0.443810336944072,-0.146597490868822,0.122805682655881,-0.132562968833551,0.00594719784409569,0.020127157301663,-0.0070090912528471
