"Presion","Profundidad","Temperatura","Conductividad","Conductancia","Salinidad","Vel_Sonido","Densidad","Latitud","Longitud","Fecha","Hora","Estacion","Marea","Transecto","No.Estacion"
"1",0.15,0.151404981,27.56872554,37129.5,35315.19893,22.23003544,1526.911868,1012.960412,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"2",0.45,0.454196442,27.52840954,37298.42105,35503.09382,22.36100668,1526.960806,1013.072067,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"3",0.75,0.756931539,27.48879673,37786.01701,35994.36391,22.70382296,1527.234178,1013.341953,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"4",1.05,1.059601251,27.48386809,38114.7042,36310.87569,22.92496834,1527.460396,1013.510191,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"5",1.35,1.362222736,27.47594172,38412.60948,36600.20976,23.12736623,1527.659943,1013.665346,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"6",1.65,1.664804837,27.46944115,38619.75307,36802.13875,23.26873972,1527.798627,1013.77442,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"7",1.95,1.967357414,27.45587102,38777.21894,36961.75298,23.38057039,1527.889798,1013.863581,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"8",2.25,2.269883756,27.45411683,38946.38859,37124.24395,23.49446313,1528.010632,1013.950644,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"9",2.55,2.572388877,27.46140063,39064.85857,37232.00115,23.56999329,1528.112109,1014.006215,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"10",2.85,2.874883475,27.46401167,39096.59723,37260.3962,23.58985379,1528.144138,1014.021575,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"11",3.15,3.177364829,27.46523266,39243.21357,37399.25621,23.68727629,1528.254556,1014.0954,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"12",3.45,3.479817014,27.46568167,39485.1511,37629.50356,23.84897462,1528.430822,1014.217565,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"13",3.75,3.782241474,27.46369759,39607.88221,37747.89429,23.9321473,1528.518807,1014.281725,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"14",4.05,4.084635001,27.45978417,39886.41684,38016.18466,24.12084753,1528.713383,1014.425461,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"15",4.35,4.386995836,27.46433608,40041.51288,38160.69722,24.22252796,1528.836023,1014.501457,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"16",4.65,4.689340141,27.46801712,40114.39764,38227.47632,24.26949585,1528.899055,1014.536775,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"17",4.95,4.991653846,27.46429112,40445.73548,38545.96585,24.49394617,1529.131722,1014.707233,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"18",5.25,5.293931237,27.45987337,40583.51104,38680.52707,24.58882496,1529.226418,1014.780928,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"19",5.55,5.596190116,27.46221259,40685.53499,38776.03802,24.65617052,1529.307791,1014.83192,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"20",5.85,5.898432433,27.45879658,40798.59726,38886.32596,24.733986,1529.386856,1014.892535,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
