Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,NID,NP,IE,IE PO4,TSI_Clor,TSI_SECCHI
A01,2.849301,-78.222562,04/05/2021,10:39:00,Alta,0.06,0.38,0.13,8.41,0.85,48.4,31.4,8.29,7.73,13,49.85,0.43,3.3,2.03,1.64,29,23
A01,2.849301,-78.222562,04/05/2021,16:54:00,Baja,0.2,0.66,0.06,24.29,1.7,45.5,29.3,8.25,7.52,4,14.67,0.86,15.18,2.2,1.6,36,40
A02,2.816773,-78.22249,04/05/2021,11:00:00,Alta,0.13,0.7,0.06,11.22,0.83,48.2,31.3,8.26,7.41,8.5,24,0.83,14.66,2.2,1.56,29,29
A02,2.816773,-78.22249,04/05/2021,16:35:00,Baja,0.27,0.46,0.13,16.76,1.86,45.6,29.5,8.25,7.19,5.5,18.25,0.73,5.6,2.2,1.7,37,35
A03,2.784222,-78.222462,03/05/2021,9:29:00,Alta,0.49,1.51,0.24,25.38,0.5,48,31,8.28,7.81,2.5,17.3,2,8.47,2.56,1.72,24,47
A03,2.784222,-78.222462,03/05/2021,15:46:00,Baja,0.56,1.06,0.23,19.84,1.6,45.1,28.9,8.23,6.48,2,28,1.61,7.13,2.4,1.8,35,50
A04,2.751671,-78.222434,03/05/2021,9:07:00,Alta,0.15,0.47,0.19,8.32,0.5,47.9,30.8,8.23,7.58,6,23.05,0.62,3.19,2.12,1.69,24,34
A04,2.751671,-78.222434,03/05/2021,15:17:00,Baja,0.5,1.06,0.33,17.21,1.5,43.2,27.4,8.2,6.39,2,28.3,1.56,4.69,2.4,1.9,35,50
A05,2.71912,-78.222406,03/05/2021,8:43:00,Alta,0.54,1.13,0.26,19.21,0.57,44.4,28.3,8.16,6.84,1.6,25.85,1.66,6.46,2.46,1.74,25,53
A05,2.71912,-78.222406,03/05/2021,14:49:00,Baja,0.64,1.24,0.37,20.3,3,42,26.7,8.19,6.31,1.5,35.95,1.88,5.02,2.5,1.9,41,54
A06,2.686569,-78.222378,03/05/2021,8:20:00,Alta,0.77,1.17,0.38,25.2,4.6,43.2,27.4,8.14,6.33,1.8,37.75,1.94,5.04,2.55,1.83,46,52
A06,2.686569,-78.222378,03/05/2021,14:19:00,Baja,0.92,1,0.2,28.01,4.73,40.4,25.8,8.16,6.16,2,49.9,1.92,9.37,2.5,1.8,46,50
G01,2.784031,-78.400528,02/05/2021,8:28:00,Alta,0.05,0.27,0.06,5.41,0.79,48.9,31.8,8.21,8.06,7,20.6,0.33,5.77,1.98,1.56,28,32
G01,2.784031,-78.400528,02/05/2021,14:43:00,Baja,0.11,1,0.13,24.02,1.57,42.6,27.2,8.24,7.6,2.5,27.85,1.12,8.55,2.3,1.7,35,47
G02,2.751498,-78.400469,02/05/2021,8:01:00,Alta,0.09,1.03,0.13,14.58,0.74,48.7,31.6,8.22,7.63,3.5,21.85,1.12,8.54,2.29,1.64,28,42
