Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
0.15,0.150902312,27.00665665,43046.84375,41385.898,26.5092423,1530.111734,1016.337786,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
0.45,0.452670014,27.0888766,43574.27536,41826.85269,26.82377173,1530.640697,1016.549498,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
0.75,0.754381895,27.24463265,44141.67112,42245.17322,27.12261485,1531.322629,1016.726483,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
1.05,1.055956059,27.4465911,45900.37574,43759.16029,28.20830194,1532.938024,1017.478666,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
1.35,1.35721682,27.58483443,48751.97843,46355.55,30.08440765,1535.236749,1018.843691,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
1.65,1.658254462,27.56883669,49002.13132,46607.58579,30.26739461,1535.398509,1018.987402,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
1.95,1.959244305,27.57714981,49359.98674,46940.53112,30.50940234,1535.677715,1019.167703,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
2.25,2.260111006,27.7167006,50834.87213,48215.14961,31.43880204,1536.978283,1019.822181,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
2.55,2.560871952,27.73778504,50986.22916,48339.37292,31.52953508,1537.126458,1019.884843,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
2.85,2.86161634,27.76051771,51115.97842,48441.50573,31.60414883,1537.26129,1019.934867,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
3.15,3.162347574,27.77193394,51207.77738,48518.00338,31.66003125,1537.350912,1019.974454,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
3.45,3.463064821,27.78758938,51337.25045,48626.25008,31.73916639,1537.474547,1020.030138,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
3.75,3.763765181,27.80878849,51482.46866,48744.22433,31.82545488,1537.618123,1020.089408,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
4.05,4.064446641,27.83900237,51661.49132,48885.75579,31.92903701,1537.800066,1020.158758,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
4.35,4.365105511,27.85195782,51841.8153,49044.36604,32.04519044,1537.956557,1020.243097,2.7841307,-78.221696,03/05/2021,  9:26:15,A03,Alta
